Time	Species	Cell	State	Experiment	Dish	Plate	Well	ID
48	Human	A	CTRL	4	1	1	A8	CTRL.A.4.1.1.A8
48	Human	A	CTRL	4	3	1	A10	CTRL.A.4.3.1.A10
48	Human	A	CTRL	5	1	1	B11	CTRL.A.5.1.1.B11
48	Human	A	CTRL	5	2	1	B12	CTRL.A.5.2.1.B12
48	Human	A	CTRL	5	2	1	H10	CTRL.A.5.2.1.H10
48	Human	A	CTRL	5	2	1	H9	CTRL.A.5.2.1.H9
48	Human	A	CTRL	5	3	1	C1	CTRL.A.5.3.1.C1
48	Human	A	CTRL	6	1	1	C9	CTRL.A.6.1.1.C9
48	Human	A	CTRL	6	2	1	C10	CTRL.A.6.2.1.C10
48	Human	A	CTRL	6	3	1	C11	CTRL.A.6.3.1.C11
48	Human	A	CTRL	7	1	1	E3	CTRL.A.7.1.1.E3
48	Human	A	CTRL	7	2	1	E4	CTRL.A.7.2.1.E4
48	Human	A	CTRL	8	1	1	F11	CTRL.A.8.1.1.F11
48	Human	A	TRS	2	6	1	A1	TRS.A.2.6.1.A1
48	Human	A	TRS	4	4	1	A11	TRS.A.4.4.1.A11
48	Human	A	TRS	5	10	1	C6	TRS.A.5.10.1.C6
48	Human	A	TRS	5	10	1	H11	TRS.A.5.10.1.H11
48	Human	A	TRS	5	10	1	H12	TRS.A.5.10.1.H12
48	Human	A	TRS+URS	2	8	1	A3	TRS+URS.A.2.8.1.A3
48	Human	A	TRS+URS	3	8	1	A7	TRS+URS.A.3.8.1.A7
48	Human	A	TRS+URS	4	6	1	B1	TRS+URS.A.4.6.1.B1
48	Human	A	LOP	4	8	1	B2	LOP.A.4.8.1.B2
48	Human	A	LOP	4	9	1	B3	LOP.A.4.9.1.B3
48	Human	A	LOP	8	11	1	G8	LOP.A.8.11.1.G8
48	Human	A	TRS+LOP	4	10	1	B4	TRS+LOP.A.4.10.1.B4
48	Human	A	TRS+LOP	4	11	1	B5	TRS+LOP.A.4.11.1.B5
48	Human	A	TRS+LOP	4	12	1	B6	TRS+LOP.A.4.12.1.B6
48	Human	A	DOM	4	13	1	B7	DOM.A.4.13.1.B7
48	Human	A	DOM	4	14	1	B8	DOM.A.4.14.1.B8
48	Human	A	DOM	5	11	1	C7	DOM.A.5.11.1.C7
48	Human	A	TRS+DOM	4	15	1	B9	TRS+DOM.A.4.15.1.B9
48	Human	A	TRS+DOM	4	16	1	B10	TRS+DOM.A.4.16.1.B10
48	Human	A	TRS+DOM	5	12	1	C8	TRS+DOM.A.5.12.1.C8
48	Human	A	SOR	6	5	1	C12	SOR.A.6.5.1.C12
48	Human	A	SOR	7	3	1	E5	SOR.A.7.3.1.E5
48	Human	A	SOR	7	4	1	E6	SOR.A.7.4.1.E6
48	Human	A	SOR	8	2	1	F12	SOR.A.8.2.1.F12
48	Human	A	SOR+URS	5	7	1	C3	SOR+URS.A.5.7.1.C3
48	Human	A	SOR+URS	5	8	1	C4	SOR+URS.A.5.8.1.C4
48	Human	A	SOR+URS	5	9	1	C5	SOR+URS.A.5.9.1.C5
48	Human	A	ENT	6	10	1	D5	ENT.A.6.10.1.D5
48	Human	A	ENT	6	11	1	D6	ENT.A.6.11.1.D6
48	Human	A	ENT	6	12	1	D7	ENT.A.6.12.1.D7
48	Human	A	DTP	7	9	1	E11	DTP.A.7.9.1.E11
48	Human	A	DTP	7	10	1	E12	DTP.A.7.10.1.E12
48	Human	A	DTP	8	5	1	G3	DTP.A.8.5.1.G3
48	Human	A	SUN	6	7	1	D2	SUN.A.6.7.1.D2
48	Human	A	SUN	6	8	1	D3	SUN.A.6.8.1.D3
48	Human	A	SUN	6	9	1	D4	SUN.A.6.9.1.D4
48	Human	A	SUN	7	13	1	F3	SUN.A.7.13.1.F3
48	Human	A	SUN	7	14	1	F4	SUN.A.7.14.1.F4
48	Human	A	SUN+URS	6	19	1	D9	SUN+URS.A.6.19.1.D9
48	Human	A	SUN+URS	6	20	1	D10	SUN+URS.A.6.20.1.D10
48	Human	A	SUN+URS	6	21	1	D11	SUN+URS.A.6.21.1.D11
48	Human	A	SUN+DOM	6	22	1	D12	SUN+DOM.A.6.22.1.D12
48	Human	A	SUN+DOM	6	23	1	E1	SUN+DOM.A.6.23.1.E1
48	Human	A	SUN+DOM	6	24	1	E2	SUN+DOM.A.6.24.1.E2
48	Human	A	SUN+LOP	7	15	1	F5	SUN+LOP.A.7.15.1.F5
48	Human	A	SUN+LOP	7	16	1	F6	SUN+LOP.A.7.16.1.F6
48	Human	A	SUN+LOP	8	12	1	G9	SUN+LOP.A.8.12.1.G9
48	Human	A	ALE	7	17	1	F7	ALE.A.7.17.1.F7
48	Human	A	ALE	7	18	1	F8	ALE.A.7.18.1.F8
48	Human	A	ALE	8	13	1	G10	ALE.A.8.13.1.G10
48	Human	A	SUN+ALE	7	19	1	F9	SUN+ALE.A.7.19.1.F9
48	Human	A	SUN+ALE	7	20	1	F10	SUN+ALE.A.7.20.1.F10
48	Human	A	SUN+ALE	8	14	1	G11	SUN+ALE.A.8.14.1.G11
