Cell	Plate	Condition1	Condition2	Gene	logFC	logCPM	PValue	FDR
A	1	CTRL	DTP	BHLHE41	0.577683958808409	6.95359560664753	1.79178255574295e-06	0.00233100486136643
A	1	CTRL	DTP	C12orf57	0.453424019199515	8.87661525887635	1.63117471442054e-05	0.0142651666025124
A	1	CTRL	DTP	CCL11	0.524016447679695	6.59291749859506	3.74568093491849e-05	0.0272976902801449
A	1	CTRL	DTP	CCL2	0.484154666158093	7.78151503382577	1.96502700961846e-05	0.0153104245127813
A	1	CTRL	DTP	FABP4	-1.49048888003606	5.22622075572272	1.42884522161608e-11	6.24786387238656e-08
A	1	CTRL	DTP	HMGB2	0.609785206489571	7.59501109823662	8.08111793723197e-08	0.000156138039203783
A	1	CTRL	DTP	KLF10	0.706416358926117	5.21887589305961	1.14012359483562e-05	0.0106829580836098
A	1	CTRL	DTP	MSC	0.909651283058433	4.86082627029239	1.02456656937903e-07	0.000168003303213927
A	1	CTRL	DTP	MYPOP	-1.53059436007552	3.12410060453649	0.00012580533655084	0.0785864002320912
A	1	CTRL	DTP	NSA2	1.21507654587054	7.29043205566916	1.00746332347276e-26	1.32159038773157e-22
A	1	CTRL	DTP	RAC1	-0.589668921396334	7.37675205895995	2.39140103380218e-06	0.00261419989678475
A	1	CTRL	DTP	RPL18	0.575261018991507	8.493662094676	8.33180572058608e-08	0.000156138039203783
A	1	CTRL	DTP	RPL28	0.473725661610593	10.3954493983272	1.95464655244936e-06	0.00233100486136643
A	1	CTRL	DTP	RPS9	0.944993255401475	9.68327297960263	9.22014514416818e-22	6.04749320005991e-18
A	1	CTRL	DTP	SAA1	-3.48474637622594	2.76985017954931	3.83125210604145e-08	0.000100516730254103
A	1	CTRL	DTP	SERPING1	0.518589172419276	6.11581277924835	0.000154226001575637	0.091960758575873
A	1	CTRL	DTP	SLFN5	0.660347572795689	5.21486241170236	8.00131217909209e-05	0.0552427437712264
A	1	CTRL	DTP	TNFRSF1A	0.793024342683101	4.91655351394503	3.13326618698324e-06	0.00316170660314201
A	1	CTRL	DTP	VEGFA	0.562964859869036	6.23490366824951	1.98412270709927e-05	0.0153104245127813
A	1	CTRL	DTP	VIM	0.473355862519275	11.1583912048111	1.48982462508637e-06	0.00217150215909811
A	1	CTRL	DTP	WNK1	0.766058094904065	6.35832317056844	3.99523038764492e-09	1.31023580562815e-05
A	1	CTRL	DTP	ZNHIT1	-0.576266646491917	6.28281744143818	8.49515304997371e-05	0.0557197088547775
