Cell	Plate	Condition1	Condition2	Gene	logFC	logCPM	PValue	FDR
A	1	CTRL	SOR	A1BG	0.701772063615833	4.53417441425989	0.000214331194721144	0.00119600718827444
A	1	CTRL	SOR	AAAS	0.671862443838349	4.57273312820151	0.000372387004714649	0.00194131105990097
A	1	CTRL	SOR	AAK1	0.586310461883076	4.95408735371922	0.000610888936596586	0.00301337454702273
A	1	CTRL	SOR	AAMDC	-0.880088297030901	6.51832508336983	2.6279156252907e-08	3.31458120125074e-07
A	1	CTRL	SOR	AARS	0.949628248725883	4.91659282582412	3.84642312840103e-08	4.74429135145718e-07
A	1	CTRL	SOR	AATF	1.15500019197657	3.95255414256452	2.46735435533502e-07	2.62911451639018e-06
A	1	CTRL	SOR	ABAT	1.76981698925817	1.55239215414143	0.002659226226448	0.0107949619815341
A	1	CTRL	SOR	ABCA1	-1.23070759914275	7.47372434936533	7.86299897494835e-17	3.07807642799807e-15
A	1	CTRL	SOR	ABCA10	-0.945355890713315	3.02913774815758	0.00988632711433364	0.0328265942973995
A	1	CTRL	SOR	ABCA4	-4.5199948017003	1.70133401546296	0.00029240618346002	0.00156829381605123
A	1	CTRL	SOR	ABCA5	0.859846811890515	3.69706740937237	0.000317444796235701	0.0016842938775481
A	1	CTRL	SOR	ABCA6	-1.39593371042821	4.10403720922492	5.67715902538978e-07	5.62025612074053e-06
A	1	CTRL	SOR	ABCA9	0.876062675889589	5.57124335189942	2.60666624459926e-09	3.92375083008845e-08
A	1	CTRL	SOR	ABCD3	-0.610015742539419	4.64329320403683	0.00511425227570799	0.0189295464533662
A	1	CTRL	SOR	ABHD10	0.465994553690337	4.23055675085637	0.0296612494917467	0.0809803196840374
A	1	CTRL	SOR	ABHD12	1.18403527275255	2.74465730965395	0.000227222780496924	0.00125651779227257
A	1	CTRL	SOR	ABHD13	-0.494228472597046	4.27088176105976	0.0298674077090554	0.0813701495829135
A	1	CTRL	SOR	ABHD14B	0.678460185324064	3.72606857205815	0.00500987326310611	0.0185808124489551
A	1	CTRL	SOR	ABHD15	-0.834517153499588	3.04514853557011	0.0160039833390455	0.0486945843775697
A	1	CTRL	SOR	ABHD4	0.697615588975826	6.1577202663961	3.8672419758142e-07	3.95660453939875e-06
A	1	CTRL	SOR	ABHD6	1.32477850964035	2.26556303178799	0.00269886518706785	0.0109144658273862
A	1	CTRL	SOR	ABI1	0.45739918164859	5.69318827318649	0.00207808477553524	0.00871980670518707
A	1	CTRL	SOR	ABI3BP	0.309188087325539	6.12456905734881	0.027531214624048	0.0761691005759052
A	1	CTRL	SOR	ABL1	0.668549298099868	3.80425766326378	0.00726378963584735	0.0253995258508388
A	1	CTRL	SOR	ABL2	0.427210067465187	4.58423200365817	0.0346222118346133	0.0916028444630879
A	1	CTRL	SOR	ABLIM1	-0.591853830293843	6.11317808791969	0.000141008263087039	0.000822975499107991
A	1	CTRL	SOR	ABLIM3	1.12642485750482	4.03543327235596	9.76087972458851e-08	1.11901513985461e-06
A	1	CTRL	SOR	ABR	0.65898631532493	3.31880960084709	0.0216594787534705	0.0626489896892955
A	1	CTRL	SOR	ACAP2	1.13455602116964	5.92863315043883	1.96594066260989e-16	7.3593813725688e-15
A	1	CTRL	SOR	ACBD3	0.949062750413818	5.51196854237075	2.37412085395337e-10	4.23973738035623e-09
A	1	CTRL	SOR	ACLY	-1.08716772268193	5.1604073765735	5.05168056844607e-09	7.25543383656013e-08
A	1	CTRL	SOR	ACOT13	0.871496226869554	6.98267054013196	1.14236595705007e-11	2.47769913657482e-10
A	1	CTRL	SOR	ACOT9	0.418231092946806	5.92140207741112	0.00328671221022265	0.0128819855858543
