Cell	Plate	Condition1	Condition2	Gene	logFC	logCPM	PValue	FDR
A	1	CTRL	SUN+LOP	ACTB	-0.415703469997668	10.5181562848025	8.66813094897447e-05	0.0814351141966717
A	1	CTRL	SUN+LOP	CCL2	0.600586931204909	7.80450872057171	2.41060175786413e-06	0.00525511183214379
A	1	CTRL	SUN+LOP	CDKN2B	-0.58128251712111	6.10948907889725	0.000158594808970079	0.0942918227876651
A	1	CTRL	SUN+LOP	FABP4	0.964670018583308	5.64600851475524	9.85832518483531e-11	4.2982297805882e-07
A	1	CTRL	SUN+LOP	HBB	2.44672768734894	7.72956117957747	1.46021619271956e-79	1.90996278007718e-75
A	1	CTRL	SUN+LOP	HMGB2	0.628537222476795	7.60008821475499	3.74605378672333e-07	0.000979967670606824
A	1	CTRL	SUN+LOP	IRX3	3.02957002098311	1.54908111572958	5.95440130500543e-06	0.0086537298966079
A	1	CTRL	SUN+LOP	KDELR3	-0.571259544626511	6.78808715282421	0.000154963393867939	0.0942918227876651
A	1	CTRL	SUN+LOP	LBH	0.555090687404053	7.43601186700189	6.02793957923947e-05	0.0657045414137102
A	1	CTRL	SUN+LOP	MT2A	0.501461716394491	9.07154438791916	5.00572126788146e-06	0.00818435427298619
A	1	CTRL	SUN+LOP	MYH10	-0.420329205937617	9.65578100378837	9.4480791681124e-05	0.0814351141966717
A	1	CTRL	SUN+LOP	NCL	-0.460479033144514	8.69351257386474	4.62194122736994e-05	0.0549590829581807
A	1	CTRL	SUN+LOP	NSA2	0.665783881131473	7.10965482027067	3.57362418066085e-06	0.00667757204043485
A	1	CTRL	SUN+LOP	PRPF38B	-1.05579011324462	4.922502335445	0.000127997100626949	0.0887189794727544
A	1	CTRL	SUN+LOP	RMND1	0.778159615427464	5.0240371858226	9.67957225128147e-05	0.0814351141966717
A	1	CTRL	SUN+LOP	RRBP1	-0.599156121885883	7.27238965255158	0.000135655931915527	0.0887189794727544
A	1	CTRL	SUN+LOP	S100A4	-0.574118164921317	9.65915799264494	1.14556397469731e-07	0.00037459941972602
A	1	CTRL	SUN+LOP	SH3PXD2A	-0.513256287719392	7.37006153752837	0.000129973230114814	0.0887189794727544
A	1	CTRL	SUN+LOP	STK17B	-0.711353620864236	6.91186366631384	1.6870941935332e-05	0.0220671920514142
A	1	CTRL	SUN+LOP	SYNM	-0.947577371490013	5.0241842431456	0.000121503341574428	0.0887189794727544
A	1	CTRL	SUN+LOP	THBS1	-0.460946596223173	9.4147425790903	9.96148185892009e-05	0.0814351141966717
A	1	CTRL	SUN+LOP	VIM	0.778993629342233	11.2438409293875	3.92555782244987e-16	2.56731481588221e-12
