Cell	Plate	Condition1	Condition2	Gene	logFC	logCPM	PValue	FDR
A	1	CTRL	TRS	ACTA2	0.343622598678445	12.3836573168081	7.03545525907189e-06	0.00634497557864584
A	1	CTRL	TRS	AHNAK	0.397810248279506	8.34704494273323	6.88355673635825e-06	0.00634497557864584
A	1	CTRL	TRS	ASPN	0.460236310027429	7.36336685028569	3.60193007030073e-06	0.00410121071394862
A	1	CTRL	TRS	BRPF1	-2.26863747962593	2.5020783432105	4.5525592952115e-05	0.0287403068306702
A	1	CTRL	TRS	C6orf211	0.604184568389056	5.03921057252699	5.31098952130698e-05	0.0319316922362009
A	1	CTRL	TRS	DDIT3	0.423963671232772	7.79410496174596	2.85762033141554e-06	0.00360803143044526
A	1	CTRL	TRS	DHRS3	-0.598620690276871	6.70069552342507	5.06757515543651e-07	0.000914045770179162
A	1	CTRL	TRS	ERV3-1	-0.941850386238548	4.25426644752951	3.35469115683775e-05	0.0264727065913959
A	1	CTRL	TRS	FABP4	-1.18870895912176	5.18046302554465	1.67048783449025e-13	7.03052646609132e-10
A	1	CTRL	TRS	GADD45B	0.925360664667137	4.07592280660146	2.68485379702861e-06	0.00360803143044526
A	1	CTRL	TRS	HBB	-1.73869737496223	6.60166502945361	1.94969481149962e-44	2.46168466899942e-40
A	1	CTRL	TRS	KLF6	0.567371202356534	5.28619174542547	4.47076891077536e-05	0.0287403068306702
A	1	CTRL	TRS	NPL	1.66243751329903	1.94238502947811	0.000145451777468508	0.0834760973780629
A	1	CTRL	TRS	OGN	0.774362125583494	4.34033412147272	3.90910972626099e-05	0.0274202330020951
A	1	CTRL	TRS	OMD	0.98947825886213	3.93268812050653	1.45313170278698e-06	0.00229340510992356
A	1	CTRL	TRS	PTX3	0.625458195382715	6.97246511307305	3.08718440328732e-09	9.74469756897644e-06
A	1	CTRL	TRS	RGS5	0.942638878698683	6.37944245702801	1.72377657146725e-17	1.08822014956727e-13
A	1	CTRL	TRS	SAA1	-1.68258040353497	2.8033325716253	1.20443836213615e-05	0.010138159173554
A	1	CTRL	TRS	SLN	0.654228986199735	5.7507265610652	2.06122267460002e-07	0.000433749958158331
A	1	CTRL	TRS	SREBF1	1.84224760434409	1.88853815297949	3.69180022971629e-05	0.0274192174708223
A	1	CTRL	TRS	TNFAIP6	0.43862375891122	7.67595762540827	3.89787173826893e-06	0.00410121071394862
A	1	CTRL	TRS	TRIB3	0.872426054514084	4.7299933466741	5.55677302684923e-08	0.000140319632473997
