Time	Species	Cell	State	Experiment	Dish	Plate	Well	ID
48	Human	A	CTRL	4	1	1	A8	CTRL.A.4.1.1.A8
48	Human	A	CTRL	4	3	1	A10	CTRL.A.4.3.1.A10
48	Human	A	CTRL	5	1	1	B11	CTRL.A.5.1.1.B11
48	Human	A	CTRL	5	2	1	B12	CTRL.A.5.2.1.B12
48	Human	A	CTRL	5	2	1	H10	CTRL.A.5.2.1.H10
48	Human	A	CTRL	5	2	1	H9	CTRL.A.5.2.1.H9
48	Human	A	CTRL	5	3	1	C1	CTRL.A.5.3.1.C1
48	Human	A	CTRL	6	1	1	C9	CTRL.A.6.1.1.C9
48	Human	A	CTRL	6	2	1	C10	CTRL.A.6.2.1.C10
48	Human	A	CTRL	6	3	1	C11	CTRL.A.6.3.1.C11
48	Human	A	CTRL	7	1	1	E3	CTRL.A.7.1.1.E3
48	Human	A	CTRL	7	2	1	E4	CTRL.A.7.2.1.E4
48	Human	A	CTRL	8	1	1	F11	CTRL.A.8.1.1.F11
