Gene	ALE.A.7.17.1.F7	ALE.A.7.18.1.F8	ALE.A.8.13.1.G10	Min	Max	Median	Mean	Std
A1BG	11	13	23	11	23	13	15.6666666666667	6.42910050732864
A1BG-AS1	0	3	2	0	3	2	1.66666666666667	1.52752523165195
A1CF	0	0	0	0	0	0	0	0
A2M	9	3	12	3	12	9	8	4.58257569495584
A2M-AS1	3	0	1	0	3	1	1.33333333333333	1.52752523165195
A2ML1	7	0	4	0	7	4	3.66666666666667	3.51188458428425
A4GALT	0	3	2	0	3	2	1.66666666666667	1.52752523165195
A4GNT	0	0	0	0	0	0	0	0
AAAS	14	15	28	14	28	15	19	7.81024967590665
AACS	2	2	4	2	4	2	2.66666666666667	1.15470053837925
AADAC	0	0	0	0	0	0	0	0
AADAT	1	0	1	0	1	1	0.666666666666667	0.577350269189626
AAED1	3	9	9	3	9	9	7	3.46410161513775
AAGAB	33	29	67	29	67	33	43	20.8806130178211
AAK1	24	17	30	17	30	24	23.6666666666667	6.50640709864771
AAMDC	77	64	125	64	125	77	88.6666666666667	32.1299444962691
AAMP	20	12	28	12	28	20	20	8
AANAT	0	0	1	0	1	0	0.333333333333333	0.577350269189626
AAR2	35	20	43	20	43	35	32.6666666666667	11.6761865920913
AARD	1	1	2	1	2	1	1.33333333333333	0.577350269189626
AARS	18	14	33	14	33	18	21.6666666666667	10.0166528008778
AARS2	3	3	8	3	8	3	4.66666666666667	2.88675134594813
AARSD1	0	0	0	0	0	0	0	0
AASDH	7	9	20	7	20	9	12	7
AASDHPPT	51	48	98	48	98	51	65.6666666666667	28.0416357107308
AASS	7	6	9	6	9	7	7.33333333333333	1.52752523165195
AATF	4	4	10	4	10	4	6	3.46410161513775
AATK	0	0	0	0	0	0	0	0
ABAT	1	0	3	0	3	1	1.33333333333333	1.52752523165195
ABCA1	110	128	215	110	215	128	151	56.1515805654658
ABCA10	10	6	9	6	10	9	8.33333333333333	2.08166599946613
ABCA11P	3	3	6	3	6	3	4	1.73205080756888
ABCA12	1	0	2	0	2	1	1	1
ABCA13	3	1	3	1	3	3	2.33333333333333	1.15470053837925
ABCA17P	0	0	0	0	0	0	0	0
ABCA2	0	1	1	0	1	1	0.666666666666667	0.577350269189626
ABCA3	0	0	0	0	0	0	0	0
ABCA4	2	1	5	1	5	2	2.66666666666667	2.08166599946613
ABCA5	5	7	16	5	16	7	9.33333333333333	5.85946527708231
ABCA6	15	12	23	12	23	15	16.6666666666667	5.68624070307733
ABCA7	0	0	0	0	0	0	0	0
ABCA8	21	25	26	21	26	25	24	2.64575131106459
ABCA9	27	25	44	25	44	27	32	10.4403065089106
ABCB1	0	0	0	0	0	0	0	0
ABCB10	2	7	6	2	7	6	5	2.64575131106459
ABCB5	4	5	5	4	5	5	4.66666666666667	0.577350269189626
ABCB6	6	3	18	3	18	6	9	7.93725393319377
ABCB7	8	7	23	7	23	8	12.6666666666667	8.9628864398325
ABCB8	1	1	3	1	3	1	1.66666666666667	1.15470053837925
ABCB9	0	0	0	0	0	0	0	0
ABCC1	16	4	24	4	24	16	14.6666666666667	10.0664459136943
ABCC10	3	5	11	3	11	5	6.33333333333333	4.16333199893227
ABCC11	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0
ABCC13	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ABCC2	2	0	1	0	2	1	1	1
ABCC3	0	3	1	0	3	1	1.33333333333333	1.52752523165195
ABCC4	8	3	6	3	8	6	5.66666666666667	2.51661147842358
ABCC5	3	11	16	3	16	11	10	6.557438524302
ABCC5-AS1	0	0	0	0	0	0	0	0
ABCC6	0	0	0	0	0	0	0	0
ABCC9	3	1	1	1	3	1	1.66666666666667	1.15470053837925
ABCD1	0	0	0	0	0	0	0	0
ABCD2	0	0	0	0	0	0	0	0
ABCD3	14	15	26	14	26	15	18.3333333333333	6.65832811847939
ABCD4	7	7	23	7	23	7	12.3333333333333	9.23760430703401
ABCE1	46	52	79	46	79	52	59	17.5783958312469
ABCF1	63	61	88	61	88	63	70.6666666666667	15.0443787951957
ABCF2	33	35	45	33	45	35	37.6666666666667	6.42910050732864
ABCF3	10	12	23	10	23	12	15	7
ABCG1	3	3	5	3	5	3	3.66666666666667	1.15470053837925
ABCG2	1	0	2	0	2	1	1	1
ABCG4	0	0	0	0	0	0	0	0
ABCG5	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ABHD1	0	0	0	0	0	0	0	0
ABHD10	10	8	21	8	21	10	13	7
ABHD11	6	3	5	3	6	5	4.66666666666667	1.52752523165195
ABHD12	3	6	4	3	6	4	4.33333333333333	1.52752523165195
ABHD12B	0	0	0	0	0	0	0	0
ABHD13	13	10	20	10	20	13	14.3333333333333	5.13160143944688
ABHD14A	2	1	3	1	3	2	2	1
ABHD14A-ACY1	0	0	0	0	0	0	0	0
ABHD14B	8	8	11	8	11	8	9	1.73205080756888
ABHD15	6	11	10	6	11	10	9	2.64575131106459
ABHD16A	10	7	15	7	15	10	10.6666666666667	4.04145188432738
ABHD16B	0	0	0	0	0	0	0	0
ABHD17A	4	4	9	4	9	4	5.66666666666667	2.88675134594813
ABHD17B	3	2	3	2	3	3	2.66666666666667	0.577350269189626
ABHD17C	4	4	9	4	9	4	5.66666666666667	2.88675134594813
ABHD2	15	13	18	13	18	15	15.3333333333333	2.51661147842358
ABHD3	1	0	1	0	1	1	0.666666666666667	0.577350269189626
ABHD4	50	36	104	36	104	50	63.3333333333333	35.9072880253206
ABHD5	8	12	25	8	25	12	15	8.88819441731559
ABHD6	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ABHD8	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ABI1	39	41	55	39	55	41	45	8.71779788708135
ABI2	31	17	22	17	31	22	23.3333333333333	7.09459888459759
ABI3BP	61	47	91	47	91	61	66.3333333333333	22.4796204001165
ABL1	6	10	11	6	11	10	9	2.64575131106459
ABL2	23	23	23	23	23	23	23	0
ABLIM1	50	52	82	50	82	52	61.3333333333333	17.925772879665
ABLIM2	0	1	1	0	1	1	0.666666666666667	0.577350269189626
ABLIM3	7	9	23	7	23	9	13	8.71779788708135
ABR	4	4	7	4	7	4	5	1.73205080756888
ABRA	0	0	0	0	0	0	0	0
ABRACL	27	31	50	27	50	31	36	12.2882057274445
ABT1	11	6	17	6	17	11	11.3333333333333	5.5075705472861
ABTB1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ABTB2	3	0	2	0	3	2	1.66666666666667	1.52752523165195
ACAA1	4	7	3	3	7	4	4.66666666666667	2.08166599946613
ACAA2	59	76	114	59	114	76	83	28.1602556806574
ACACA	5	4	8	4	8	5	5.66666666666667	2.08166599946613
ACACB	1	1	1	1	1	1	1	0
ACAD10	0	0	5	0	5	0	1.66666666666667	2.88675134594813
ACAD11	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACAD8	5	2	7	2	7	5	4.66666666666667	2.51661147842358
ACAD9	6	5	10	5	10	6	7	2.64575131106459
ACADL	0	1	1	0	1	1	0.666666666666667	0.577350269189626
ACADM	36	44	60	36	60	44	46.6666666666667	12.2202018532156
ACADS	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACADSB	5	4	4	4	5	4	4.33333333333333	0.577350269189626
ACADVL	24	13	38	13	38	24	25	12.5299640861417
ACAN	0	0	0	0	0	0	0	0
ACAP1	1	3	3	1	3	3	2.33333333333333	1.15470053837925
ACAP2	36	37	69	36	69	37	47.3333333333333	18.7705443004015
ACAP3	0	0	0	0	0	0	0	0
ACAT1	73	62	111	62	111	73	82	25.7099202643649
ACAT2	4	2	7	2	7	4	4.33333333333333	2.51661147842358
ACBD3	22	21	29	21	29	22	24	4.35889894354067
ACBD4	0	1	3	0	3	1	1.33333333333333	1.52752523165195
ACBD5	21	14	25	14	25	21	20	5.56776436283002
ACBD6	13	8	26	8	26	13	15.6666666666667	9.29157324317757
ACBD7	3	4	5	3	5	4	4	1
ACCS	0	0	0	0	0	0	0	0
ACD	2	1	8	1	8	2	3.66666666666667	3.78593889720018
ACE	0	0	0	0	0	0	0	0
ACE2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACER1	0	0	0	0	0	0	0	0
ACER2	0	0	0	0	0	0	0	0
ACER3	2	2	3	2	3	2	2.33333333333333	0.577350269189626
ACIN1	43	43	53	43	53	43	46.3333333333333	5.77350269189626
ACLY	33	31	51	31	51	33	38.3333333333333	11.0151410945722
ACMSD	0	0	0	0	0	0	0	0
ACN9	31	32	53	31	53	32	38.6666666666667	12.4230967690561
ACO1	12	11	14	11	14	12	12.3333333333333	1.52752523165195
ACO2	7	3	8	3	8	7	6	2.64575131106459
ACOT1	0	0	0	0	0	0	0	0
ACOT11	0	0	0	0	0	0	0	0
ACOT13	74	94	162	74	162	94	110	46.1302503786832
ACOT2	1	2	8	1	8	2	3.66666666666667	3.78593889720018
ACOT4	2	0	1	0	2	1	1	1
ACOT6	0	0	0	0	0	0	0	0
ACOT7	8	6	15	6	15	8	9.66666666666667	4.72581562625261
ACOT8	6	2	10	2	10	6	6	4
ACOT9	45	47	77	45	77	47	56.3333333333333	17.925772879665
ACOX1	25	28	37	25	37	28	30	6.2449979983984
ACOX2	6	8	7	6	8	7	7	1
ACOX3	9	10	5	5	10	9	8	2.64575131106459
