Gene	DOM.A.4.13.1.B7	DOM.A.4.14.1.B8	DOM.A.5.11.1.C7	Min	Max	Median	Mean	Std
A1BG	16	20	19	16	20	19	18.3333333333333	2.08166599946613
A1BG-AS1	0	0	0	0	0	0	0	0
A1CF	0	0	0	0	0	0	0	0
A2M	6	11	16	6	16	11	11	5
A2M-AS1	0	0	0	0	0	0	0	0
A2ML1	2	2	5	2	5	2	3	1.73205080756888
A4GALT	0	2	0	0	2	0	0.666666666666667	1.15470053837925
A4GNT	0	0	0	0	0	0	0	0
AAAS	24	19	18	18	24	19	20.3333333333333	3.21455025366432
AACS	2	1	4	1	4	2	2.33333333333333	1.52752523165195
AADAC	0	0	0	0	0	0	0	0
AADAT	2	2	2	2	2	2	2	0
AAED1	6	6	6	6	6	6	6	0
AAGAB	49	48	52	48	52	49	49.6666666666667	2.08166599946613
AAK1	18	26	26	18	26	26	23.3333333333333	4.61880215351701
AAMDC	114	111	88	88	114	111	104.333333333333	14.2243921955679
AAMP	20	17	19	17	20	19	18.6666666666667	1.52752523165195
AANAT	1	1	0	0	1	1	0.666666666666667	0.577350269189626
AAR2	26	24	40	24	40	26	30	8.71779788708135
AARD	4	1	6	1	6	4	3.66666666666667	2.51661147842358
AARS	22	19	22	19	22	22	21	1.73205080756888
AARS2	2	8	6	2	8	6	5.33333333333333	3.05505046330389
AARSD1	0	0	0	0	0	0	0	0
AASDH	17	8	14	8	17	14	13	4.58257569495584
AASDHPPT	68	81	71	68	81	71	73.3333333333333	6.80685928555405
AASS	7	11	8	7	11	8	8.66666666666667	2.08166599946613
AATF	10	11	19	10	19	11	13.3333333333333	4.93288286231625
AATK	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ABAT	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ABCA1	244	214	238	214	244	238	232	15.8745078663875
ABCA10	10	3	3	3	10	3	5.33333333333333	4.04145188432738
ABCA11P	2	13	6	2	13	6	7	5.56776436283002
ABCA12	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ABCA13	0	0	3	0	3	0	1	1.73205080756888
ABCA17P	1	0	1	0	1	1	0.666666666666667	0.577350269189626
ABCA2	0	1	2	0	2	1	1	1
ABCA3	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ABCA4	1	3	1	1	3	1	1.66666666666667	1.15470053837925
ABCA5	4	9	6	4	9	6	6.33333333333333	2.51661147842358
ABCA6	10	23	20	10	23	20	17.6666666666667	6.80685928555405
ABCA7	1	0	0	0	1	0	0.333333333333333	0.577350269189626
