Gene	CTRL.A.4.1.1.A8	CTRL.A.4.3.1.A10	CTRL.A.5.1.1.B11	CTRL.A.5.2.1.B12	CTRL.A.5.2.1.H10	CTRL.A.5.2.1.H9	CTRL.A.5.3.1.C1	CTRL.A.6.1.1.C9	CTRL.A.6.2.1.C10	CTRL.A.6.3.1.C11	CTRL.A.7.1.1.E3	CTRL.A.7.2.1.E4	CTRL.A.8.1.1.F11	SUN+DOM.A.6.22.1.D12	SUN+DOM.A.6.23.1.E1	SUN+DOM.A.6.24.1.E2	CTRL.A.4.1.1.A8.Norm	CTRL.A.4.3.1.A10.Norm	CTRL.A.5.1.1.B11.Norm	CTRL.A.5.2.1.B12.Norm	CTRL.A.5.2.1.H10.Norm	CTRL.A.5.2.1.H9.Norm	CTRL.A.5.3.1.C1.Norm	CTRL.A.6.1.1.C9.Norm	CTRL.A.6.2.1.C10.Norm	CTRL.A.6.3.1.C11.Norm	CTRL.A.7.1.1.E3.Norm	CTRL.A.7.2.1.E4.Norm	CTRL.A.8.1.1.F11.Norm	SUN+DOM.A.6.22.1.D12.Norm	SUN+DOM.A.6.23.1.E1.Norm	SUN+DOM.A.6.24.1.E2.Norm
A1BG	27	31	26	13	16	23	15	19	27	34	20	27	21	22	17	13	18.3433592368785	23.3381816734785	18.7468654780205	10.3272349926525	15.1394555460112	16.597955995618	23.0363926298373	14.3284824023802	22.1894026314042	17.9016830886248	17.8456976052682	24.850495987781	14.5481443205161	15.4331855996907	18.3421522183077	12.0709001898718
A1BG-AS1	1	2	3	0	0	0	1	2	2	4	0	0	0	1	3	0	0.679383675439944	1.50568914022442	2.16309986284852	0	0	0	1.53575950865582	1.5082613055137	1.64365945417809	2.10608036336762	0	0	0	0.701508436349577	3.23685039146607	0
A2M	9	2	10	9	5	4	6	8	4	7	10	8	14	6	2	1	6.1144530789595	1.50568914022442	7.21033287616174	7.14962422568253	4.73107985812849	2.88660104271617	9.2145570519349	6.03304522205482	3.28731890835617	3.68564063589334	8.92284880263409	7.36310992230548	9.69876288034409	4.20905061809746	2.15790026097738	0.928530783836294
A2M-AS1	0	0	0	2	0	2	0	0	0	4	1	0	2	2	0	1	0	0	0	1.58880538348501	0	1.44330052135809	0	0	0	2.10608036336762	0.892284880263409	0	1.38553755433487	1.40301687269915	0	0.928530783836294
A2ML1	6	12	7	5	4	8	4	8	7	10	4	7	8	8	3	1	4.07630205263967	9.03413484134652	5.04723301331322	3.97201345871252	3.78486388650279	5.77320208543235	6.14303803462327	6.03304522205482	5.7528080896233	5.26520090841905	3.56913952105364	6.4427211820173	5.54215021733948	5.61206749079662	3.23685039146607	0.928530783836294
A4GALT	2	1	0	3	1	6	1	3	1	5	2	2	2	1	3	1	1.35876735087989	0.75284457011221	0	2.38320807522751	0.946215971625697	4.32990156407426	1.53575950865582	2.26239195827056	0.821829727089043	2.63260045420953	1.78456976052682	1.84077748057637	1.38553755433487	0.701508436349577	3.23685039146607	0.928530783836294
AAAS	26	22	29	18	27	25	15	29	22	36	20	14	28	28	17	22	17.6639755614386	16.5625805424686	20.9099653408691	14.2992484513651	25.5478312338938	18.0412565169761	23.0363926298373	21.8697889299487	18.0802539959589	18.9547232703086	17.8456976052682	12.8854423640346	19.3975257606882	19.6422362177882	18.3421522183077	20.4276772443985
AACS	4	5	3	4	2	8	0	10	8	6	0	3	3	9	1	3	2.71753470175978	3.76422285056105	2.16309986284852	3.17761076697001	1.89243194325139	5.77320208543235	0	7.54130652756852	6.57463781671234	3.15912054505143	0	2.76116622086456	2.07830633150231	6.3135759271462	1.07895013048869	2.78559235150888
AADAT	2	2	1	0	1	0	0	5	2	4	1	2	1	3	0	2	1.35876735087989	1.50568914022442	0.721033287616174	0	0.946215971625697	0	0	3.77065326378426	1.64365945417809	2.10608036336762	0.892284880263409	1.84077748057637	0.692768777167435	2.10452530904873	0	1.85706156767259
AAED1	8	10	4	9	5	11	3	8	8	12	8	6	10	6	6	7	5.43506940351956	7.5284457011221	2.8841331504647	7.14962422568253	4.73107985812849	7.93815286746948	4.60727852596745	6.03304522205482	6.57463781671234	6.31824109010286	7.13827904210727	5.52233244172911	6.92768777167435	4.20905061809746	6.47370078293213	6.49971548685406
AAGAB	25	33	52	55	36	84	24	46	40	87	43	42	57	71	41	41	16.9845918859986	24.8438708137029	37.4937309560411	43.6921480458377	34.0637749785251	60.6186218970396	36.8582282077396	34.6900100268152	32.8731890835617	45.8072479032458	38.3682498513266	38.6563270921038	39.4878202985438	49.80709898082	44.2369553500362	38.069762137288
AAK1	46	43	41	28	16	25	10	38	32	58	37	24	31	43	19	20	31.2516490702374	32.372316514825	29.5623647922631	22.2432753687901	15.1394555460112	18.0412565169761	15.3575950865582	28.6569648047604	26.2985512668494	30.5381652688305	33.0145405697461	22.0893297669164	21.4758320921905	30.1648627630318	20.5000524792851	18.5706156767259
AAMDC	117	112	126	107	123	133	47	125	132	186	116	116	183	181	96	120	79.4878900264735	84.3185918525675	90.8501942396379	85.0010880164479	116.384564509961	95.9794846703127	72.1806969068234	94.2663315946066	108.481523975754	97.9327368965944	103.505046110555	106.765093873429	126.776686221641	126.973026979273	103.579212526914	111.423694060355
AAMP	31	20	32	21	26	19	11	28	26	36	18	27	38	20	24	27	21.0608939386383	15.0568914022442	23.0730652037176	16.6824565265926	24.6016152622681	13.7113549529018	16.893354595214	21.1156582771919	21.3675729043151	18.9547232703086	16.0611278447414	24.850495987781	26.3252135323625	14.0301687269915	25.8948031317285	25.0703311635799
AAR2	36	30	49	28	43	57	28	37	27	43	43	41	70	39	26	33	24.457812315838	22.5853371033663	35.3306310931925	22.2432753687901	40.687286779905	41.1340648587055	43.0012662423629	27.9028341520035	22.1894026314042	22.6403639062019	38.3682498513266	37.7359383518156	48.4938144017205	27.3588290176335	28.0527033927059	30.6415158665977
AARD	1	1	5	4	2	3	0	1	3	8	1	1	2	1	2	2	0.679383675439944	0.75284457011221	3.60516643808087	3.17761076697001	1.89243194325139	2.16495078203713	0	0.754130652756852	2.46548918126713	4.21216072673524	0.892284880263409	0.920388740288185	1.38553755433487	0.701508436349577	2.15790026097738	1.85706156767259
AARS	34	29	31	34	27	39	18	26	26	24	30	24	28	30	19	31	23.0990449649581	21.8324925332541	22.3520319161014	27.0096915192451	25.5478312338938	28.1443601664827	27.6436711558047	19.6073969716782	21.3675729043151	12.6364821802057	26.7685464079023	22.0893297669164	19.3975257606882	21.0452530904873	20.5000524792851	28.7844542989251
AARS2	5	18	8	6	4	8	4	3	6	9	5	6	7	8	4	5	3.39691837719972	13.5512022620198	5.76826630092939	4.76641615045502	3.78486388650279	5.77320208543235	6.14303803462327	2.26239195827056	4.93097836253426	4.73868081757715	4.46142440131704	5.52233244172911	4.84938144017205	5.61206749079662	4.31580052195475	4.64265391918147
AASDH	19	10	11	13	9	11	9	6	16	23	18	8	16	12	9	6	12.9082898333589	7.5284457011221	7.93136616377792	10.3272349926525	8.51594374463128	7.93815286746948	13.8218355779024	4.52478391654111	13.1492756334247	12.1099620893638	16.0611278447414	7.36310992230548	11.084300434679	8.41810123619493	9.7105511743982	5.57118470301776
AASDHPPT	82	75	81	68	74	98	29	72	73	116	69	68	79	71	58	79	55.7094613860755	56.4633427584157	58.4036962969101	54.0193830384902	70.0199819003016	70.7217255465462	44.5370257510187	54.2974069984934	59.9935700775001	61.076330537661	61.5676567381752	62.5864343395966	54.7287333962274	49.80709898082	62.5791075683439	73.3539319230672
AASS	20	19	13	9	9	8	7	9	20	23	6	10	10	12	11	8	13.5876735087989	14.304046832132	9.37343273901026	7.14962422568253	8.51594374463128	5.77320208543235	10.7503165605907	6.78717587481167	16.4365945417809	12.1099620893638	5.35370928158045	9.20388740288185	6.92768777167435	8.41810123619493	11.8684514353756	7.42824627069035
AATF	15	7	14	15	14	22	11	13	11	19	8	15	6	13	10	11	10.1907551315992	5.26991199078547	10.0944660266264	11.9160403761376	13.2470236027598	15.876305734939	16.893354595214	9.80369848583908	9.04012699797947	10.0038817259962	7.13827904210727	13.8058311043228	4.15661266300461	9.1196096725445	10.7895013048869	10.2138386221992
ABAT	4	0	0	1	0	0	0	0	1	3	3	1	0	1	0	1	2.71753470175978	0	0	0.794402691742503	0	0	0	0	0.821829727089043	1.57956027252572	2.67685464079023	0.920388740288185	0	0.701508436349577	0	0.928530783836294
ABCA1	215	223	329	291	141	208	137	332	276	546	178	170	280	249	171	183	146.067490219588	167.884339135023	237.219951625721	231.171183297068	133.416451999223	150.103254221241	210.399052685847	250.371376715275	226.825004676576	287.47996959968	158.826708686887	156.466085848991	193.975257606882	174.675600651045	184.500472313566	169.921133442042
ABCA10	16	6	8	4	12	6	5	14	11	15	8	2	13	12	9	10	10.8701388070391	4.51706742067326	5.76826630092939	3.17761076697001	11.3545916595084	4.32990156407426	7.67879754327909	10.5578291385959	9.04012699797947	7.89780136262858	7.13827904210727	1.84077748057637	9.00599410317666	8.41810123619493	9.7105511743982	9.28530783836294
ABCA11P	8	6	6	5	7	8	2	4	6	9	3	4	4	5	7	3	5.43506940351956	4.51706742067326	4.32619972569704	3.97201345871252	6.62351180137988	5.77320208543235	3.07151901731163	3.01652261102741	4.93097836253426	4.73868081757715	2.67685464079023	3.68155496115274	2.77107510866974	3.50754218174789	7.55265091342082	2.78559235150888
ABCA13	1	3	5	3	0	4	1	4	1	10	5	2	0	3	3	3	0.679383675439944	2.25853371033663	3.60516643808087	2.38320807522751	0	2.88660104271617	1.53575950865582	3.01652261102741	0.821829727089043	5.26520090841905	4.46142440131704	1.84077748057637	0	2.10452530904873	3.23685039146607	2.78559235150888
ABCA2	1	1	2	2	0	0	1	1	3	4	0	2	1	4	1	0	0.679383675439944	0.75284457011221	1.44206657523235	1.58880538348501	0	0	1.53575950865582	0.754130652756852	2.46548918126713	2.10608036336762	0	1.84077748057637	0.692768777167435	2.80603374539831	1.07895013048869	0
ABCA4	6	2	2	3	1	5	2	1	4	1	3	2	3	3	1	1	4.07630205263967	1.50568914022442	1.44206657523235	2.38320807522751	0.946215971625697	3.60825130339522	3.07151901731163	0.754130652756852	3.28731890835617	0.526520090841905	2.67685464079023	1.84077748057637	2.07830633150231	2.10452530904873	1.07895013048869	0.928530783836294
ABCA5	17	15	11	10	6	11	5	15	8	19	11	6	20	10	17	12	11.5495224824791	11.2926685516831	7.93136616377792	7.94402691742503	5.67729582975418	7.93815286746948	7.67879754327909	11.3119597913528	6.57463781671234	10.0038817259962	9.8151336828975	5.52233244172911	13.8553755433487	7.01508436349577	18.3421522183077	11.1423694060355
ABCA6	30	31	28	16	16	22	9	29	20	30	18	12	36	23	21	26	20.3815102631983	23.3381816734785	20.1889320532529	12.7104430678801	15.1394555460112	15.876305734939	13.8218355779024	21.8697889299487	16.4365945417809	15.7956027252572	16.0611278447414	11.0446648834582	24.9396759780277	16.1346940360403	22.6579527402625	24.1418003797436
ABCA8	49	43	58	45	38	42	20	29	27	54	31	33	40	36	26	21	33.2898000965573	32.372316514825	41.8199306817381	35.7481211284127	35.9562069217765	30.3093109485198	30.7151901731163	21.8697889299487	22.1894026314042	28.4320849054629	27.6608312881657	30.3728284295101	27.7107510866974	25.2543037085848	28.0527033927059	19.4991464605622
ABCA9	56	39	46	45	25	54	25	61	56	74	37	28	74	56	43	43	38.0454858246369	29.3609382343762	33.167531230344	35.7481211284127	23.6553992906424	38.9691140766683	38.3939877163954	46.001969818168	46.0224647169864	38.962486722301	33.0145405697461	25.7708847280692	51.2648895103902	39.2844724355763	46.3948556110136	39.9268237049606
ABCB10	11	14	3	9	5	2	3	5	9	9	10	1	6	6	3	4	7.47322042983939	10.5398239815709	2.16309986284852	7.14962422568253	4.73107985812849	1.44330052135809	4.60727852596745	3.77065326378426	7.39646754380139	4.73868081757715	8.92284880263409	0.920388740288185	4.15661266300461	4.20905061809746	3.23685039146607	3.71412313534517
ABCB5	4	14	4	1	5	8	5	9	8	13	3	6	6	5	3	4	2.71753470175978	10.5398239815709	2.8841331504647	0.794402691742503	4.73107985812849	5.77320208543235	7.67879754327909	6.78717587481167	6.57463781671234	6.84476118094477	2.67685464079023	5.52233244172911	4.15661266300461	3.50754218174789	3.23685039146607	3.71412313534517
