Gene	CTRL.A.4.1.1.A8	CTRL.A.4.3.1.A10	CTRL.A.5.1.1.B11	CTRL.A.5.2.1.B12	CTRL.A.5.2.1.H10	CTRL.A.5.2.1.H9	CTRL.A.5.3.1.C1	CTRL.A.6.1.1.C9	CTRL.A.6.2.1.C10	CTRL.A.6.3.1.C11	CTRL.A.7.1.1.E3	CTRL.A.7.2.1.E4	CTRL.A.8.1.1.F11	TRS+DOM.A.4.15.1.B9	TRS+DOM.A.4.16.1.B10	TRS+DOM.A.5.12.1.C8	CTRL.A.4.1.1.A8.Norm	CTRL.A.4.3.1.A10.Norm	CTRL.A.5.1.1.B11.Norm	CTRL.A.5.2.1.B12.Norm	CTRL.A.5.2.1.H10.Norm	CTRL.A.5.2.1.H9.Norm	CTRL.A.5.3.1.C1.Norm	CTRL.A.6.1.1.C9.Norm	CTRL.A.6.2.1.C10.Norm	CTRL.A.6.3.1.C11.Norm	CTRL.A.7.1.1.E3.Norm	CTRL.A.7.2.1.E4.Norm	CTRL.A.8.1.1.F11.Norm	TRS+DOM.A.4.15.1.B9.Norm	TRS+DOM.A.4.16.1.B10.Norm	TRS+DOM.A.5.12.1.C8.Norm
A1BG	27	31	26	13	16	23	15	19	27	34	20	27	21	128	13	7	18.3889387995514	23.3838869850532	18.7968838465781	10.3591917618425	15.1849443725945	16.633389225431	23.1538105919937	14.3667159319869	22.2572567856562	17.9503674430373	17.8918875835433	24.9256631570886	14.5712339078023	18.1422670463405	9.22127398990478	12.1965723574452
A1BG-AS1	1	2	3	0	0	0	1	2	2	4	0	0	0	4	3	1	0.681071807390791	1.50863787000343	2.16887121306671	0	0	0	1.54358737279958	1.51228588757757	1.64868568782639	2.11180793447498	0	0	0	0.566945845198139	2.12798630536264	1.74236747963503
A2M	9	2	10	9	5	4	6	8	4	7	10	8	14	38	9	0	6.12964626651712	1.50863787000343	7.22957071022235	7.17174814281403	4.74529511643577	2.89276334355322	9.26152423679748	6.04914355031027	3.29737137565278	3.69566388533121	8.94594379177167	7.38538167617439	9.7141559385349	5.38598552938232	6.38395891608792	0
A2M-AS1	0	0	0	2	0	2	0	0	0	4	1	0	2	3	0	1	0	0	0	1.59372180951423	0	1.44638167177661	0	0	0	2.11180793447498	0.894594379177167	0	1.38773656264784	0.425209383898604	0	1.74236747963503
A2ML1	6	12	7	5	4	8	4	8	7	10	4	7	8	31	9	2	4.08643084434475	9.05182722002058	5.06069949715565	3.98430452378557	3.79623609314862	5.78552668710645	6.17434949119832	6.04914355031027	5.77039990739236	5.27951983618744	3.57837751670867	6.46220896665259	5.55094625059137	4.39383030028558	6.38395891608792	3.48473495927006
A4GALT	2	1	0	3	1	6	1	3	1	5	2	2	2	5	2	1	1.36214361478158	0.754318935001715	0	2.39058271427134	0.949059023287155	4.33914501532983	1.54358737279958	2.26842883136635	0.824342843913194	2.63975991809372	1.78918875835433	1.8463454190436	1.38773656264784	0.708682306497674	1.41865753690843	1.74236747963503
AAAS	26	22	29	18	27	25	15	29	22	36	20	14	28	164	39	9	17.7078669921606	16.5950165700377	20.9657550596448	14.3434962856281	25.6245936287532	18.0797708972076	23.1538105919937	21.9281453698747	18.1355425660903	19.0062714102748	17.8918875835433	12.9244179333052	19.4283118770698	23.2447796531237	27.6638219697143	15.6813073167152
AACS	4	5	3	4	2	8	0	10	8	6	0	3	3	20	5	3	2.72428722956316	3.77159467500858	2.16887121306671	3.18744361902846	1.89811804657431	5.78552668710645	0	7.56142943788783	6.59474275130555	3.16771190171247	0	2.76951812856539	2.08160484397176	2.8347292259907	3.54664384227107	5.22710243890508
AADAT	2	2	1	0	1	0	0	5	2	4	1	2	1	9	2	1	1.36214361478158	1.50863787000343	0.722957071022235	0	0.949059023287155	0	0	3.78071471894392	1.64868568782639	2.11180793447498	0.894594379177167	1.8463454190436	0.693868281323921	1.27562815169581	1.41865753690843	1.74236747963503
AAED1	8	10	4	9	5	11	3	8	8	12	8	6	10	44	9	4	5.44857445912633	7.54318935001715	2.89182828408894	7.17174814281403	4.74529511643577	7.95509919477136	4.63076211839874	6.04914355031027	6.59474275130555	6.33542380342493	7.15675503341734	5.53903625713079	6.93868281323921	6.23640429717953	6.38395891608792	6.96946991854011
AAGAB	25	33	52	55	36	84	24	46	40	87	43	42	57	250	46	22	17.0267951847698	24.8925248550566	37.5937676931562	43.8273497616413	34.1661248383376	60.7480302146177	37.0460969471899	34.782575414284	32.9737137565278	45.9318225748308	38.4675583046182	38.7732537999155	39.5504920354635	35.4341153248837	32.6291233488938	38.3320845519706
AAK1	46	43	41	28	16	25	10	38	32	58	37	24	31	157	30	19	31.3293031399764	32.4357142050738	29.6412399119116	22.3121053331992	15.1849443725945	18.0797708972076	15.4358737279958	28.7334318639738	26.3789710052222	30.6212150498872	33.0999920295552	22.1561450285232	21.5099167210416	22.252624424027	21.2798630536264	33.1049821130655
AAMDC	117	112	126	107	123	133	47	125	132	186	116	116	183	797	148	51	79.6854014647226	84.4837207201921	91.0925909488016	85.2641168090113	116.73425986432	96.1843811731447	72.5486065215803	94.5178679735979	108.813255396542	98.1990689530864	103.772947984551	107.088034304529	126.977895482278	112.963959655729	104.980657731224	88.8607414613864
