Gene	SOR+URS.A.5.7.1.C3	SOR+URS.A.5.8.1.C4	SOR+URS.A.5.9.1.C5	Min	Max	Median	Mean	Std
A1BG	1	2	4	1	4	2	2.33333333333333	1.52752523165195
A1BG-AS1	0	0	0	0	0	0	0	0
A1CF	0	0	0	0	0	0	0	0
A2M	4	0	7	0	7	4	3.66666666666667	3.51188458428425
A2M-AS1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
A2ML1	1	1	2	1	2	1	1.33333333333333	0.577350269189626
A4GALT	0	0	0	0	0	0	0	0
A4GNT	0	0	0	0	0	0	0	0
AAAS	5	1	6	1	6	5	4	2.64575131106459
AACS	1	3	4	1	4	3	2.66666666666667	1.52752523165195
AADAC	0	0	0	0	0	0	0	0
AADAT	2	1	1	1	2	1	1.33333333333333	0.577350269189626
AAED1	3	1	2	1	3	2	2	1
AAGAB	3	2	6	2	6	3	3.66666666666667	2.08166599946613
AAK1	4	7	19	4	19	7	10	7.93725393319377
AAMDC	4	9	10	4	10	9	7.66666666666667	3.21455025366432
AAMP	4	1	2	1	4	2	2.33333333333333	1.52752523165195
AANAT	0	0	0	0	0	0	0	0
AAR2	3	4	10	3	10	4	5.66666666666667	3.78593889720018
AARD	0	1	1	0	1	1	0.666666666666667	0.577350269189626
AARS	1	8	9	1	9	8	6	4.35889894354067
AARS2	1	1	2	1	2	1	1.33333333333333	0.577350269189626
AARSD1	0	0	0	0	0	0	0	0
AASDH	0	5	2	0	5	2	2.33333333333333	2.51661147842358
AASDHPPT	7	8	22	7	22	8	12.3333333333333	8.38649708360608
AASS	1	1	3	1	3	1	1.66666666666667	1.15470053837925
AATF	4	7	4	4	7	4	5	1.73205080756888
AATK	0	0	0	0	0	0	0	0
ABAT	0	0	0	0	0	0	0	0
ABCA1	21	23	39	21	39	23	27.6666666666667	9.8657657246325
ABCA10	1	2	4	1	4	2	2.33333333333333	1.52752523165195
ABCA11P	0	0	2	0	2	0	0.666666666666667	1.15470053837925
ABCA12	0	0	0	0	0	0	0	0
ABCA13	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ABCA17P	0	0	0	0	0	0	0	0
ABCA2	0	0	0	0	0	0	0	0
ABCA3	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ABCA4	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ABCA5	3	1	4	1	4	3	2.66666666666667	1.52752523165195
ABCA6	7	3	5	3	7	5	5	2
ABCA7	0	0	0	0	0	0	0	0
ABCA8	4	5	16	4	16	5	8.33333333333333	6.65832811847939
ABCA9	6	9	30	6	30	9	15	13.076696830622
ABCB1	0	0	0	0	0	0	0	0
ABCB10	1	4	2	1	4	2	2.33333333333333	1.52752523165195
ABCB5	0	5	7	0	7	5	4	3.60555127546399
ABCB6	4	1	4	1	4	4	3	1.73205080756888
ABCB7	0	6	3	0	6	3	3	3
ABCB8	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ABCB9	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ABCC1	2	2	9	2	9	2	4.33333333333333	4.04145188432738
ABCC10	1	2	3	1	3	2	2	1
ABCC11	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0
ABCC13	1	1	2	1	2	1	1.33333333333333	0.577350269189626
ABCC2	0	0	0	0	0	0	0	0
ABCC3	0	2	4	0	4	2	2	2
ABCC4	0	1	4	0	4	1	1.66666666666667	2.08166599946613
ABCC5	1	0	3	0	3	1	1.33333333333333	1.52752523165195
ABCC5-AS1	0	0	0	0	0	0	0	0
ABCC6	0	0	0	0	0	0	0	0
ABCC9	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ABCD1	0	0	0	0	0	0	0	0
ABCD2	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ABCD3	4	1	11	1	11	4	5.33333333333333	5.13160143944688
ABCD4	3	2	3	2	3	3	2.66666666666667	0.577350269189626
ABCE1	13	6	27	6	27	13	15.3333333333333	10.6926766215636
ABCF1	18	23	44	18	44	23	28.3333333333333	13.7961347243833
ABCF2	7	7	9	7	9	7	7.66666666666667	1.15470053837925
ABCF3	4	2	6	2	6	4	4	2
ABCG1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ABCG2	0	0	0	0	0	0	0	0
ABCG4	0	0	0	0	0	0	0	0
ABCG5	0	0	0	0	0	0	0	0
ABHD1	0	0	0	0	0	0	0	0
ABHD10	5	5	6	5	6	5	5.33333333333333	0.577350269189626
ABHD11	0	1	7	0	7	1	2.66666666666667	3.78593889720018
ABHD12	3	0	4	0	4	3	2.33333333333333	2.08166599946613
ABHD12B	0	0	0	0	0	0	0	0
ABHD13	3	5	8	3	8	5	5.33333333333333	2.51661147842358
ABHD14A	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ABHD14A-ACY1	0	0	0	0	0	0	0	0
ABHD14B	2	4	8	2	8	4	4.66666666666667	3.05505046330389
ABHD15	1	3	4	1	4	3	2.66666666666667	1.52752523165195
ABHD16A	3	3	5	3	5	3	3.66666666666667	1.15470053837925
ABHD16B	0	0	0	0	0	0	0	0
ABHD17A	0	3	1	0	3	1	1.33333333333333	1.52752523165195
ABHD17B	3	1	3	1	3	3	2.33333333333333	1.15470053837925
ABHD17C	1	2	2	1	2	2	1.66666666666667	0.577350269189626
ABHD2	1	3	10	1	10	3	4.66666666666667	4.72581562625261
ABHD3	0	0	0	0	0	0	0	0
ABHD4	6	13	23	6	23	13	14	8.54400374531753
ABHD5	3	7	4	3	7	4	4.66666666666667	2.08166599946613
ABHD6	0	1	3	0	3	1	1.33333333333333	1.52752523165195
ABHD8	0	0	0	0	0	0	0	0
ABI1	5	10	21	5	21	10	12	8.18535277187245
ABI2	4	9	12	4	12	9	8.33333333333333	4.04145188432738
ABI3BP	13	25	31	13	31	25	23	9.16515138991168
ABL1	2	6	10	2	10	6	6	4
ABL2	8	8	24	8	24	8	13.3333333333333	9.23760430703401
ABLIM1	16	19	47	16	47	19	27.3333333333333	17.0977581376429
ABLIM2	0	0	0	0	0	0	0	0
ABLIM3	2	1	5	1	5	2	2.66666666666667	2.08166599946613
ABR	2	2	6	2	6	2	3.33333333333333	2.3094010767585
ABRA	0	0	0	0	0	0	0	0
ABRACL	5	7	8	5	8	7	6.66666666666667	1.52752523165195
ABT1	2	3	0	0	3	2	1.66666666666667	1.52752523165195
ABTB1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ABTB2	1	0	1	0	1	1	0.666666666666667	0.577350269189626
ACAA1	1	1	2	1	2	1	1.33333333333333	0.577350269189626
ACAA2	13	10	13	10	13	13	12	1.73205080756888
ACACA	2	0	9	0	9	2	3.66666666666667	4.72581562625261
ACACB	1	1	5	1	5	1	2.33333333333333	2.3094010767585
ACAD10	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACAD11	0	0	0	0	0	0	0	0
ACAD8	2	0	1	0	2	1	1	1
ACAD9	1	3	5	1	5	3	3	2
ACADL	1	1	1	1	1	1	1	0
