Gene	SOR.A.6.5.1.C12	SOR.A.7.3.1.E5	SOR.A.7.4.1.E6	SOR.A.8.2.1.F12	Min	Max	Median	Mean	Std
A1BG	41	43	26	47	26	47	42	39.25	9.17877987534291
A1BG-AS1	3	2	2	1	1	3	2	2	0.816496580927726
A1CF	0	0	0	0	0	0	0	0	0
A2M	6	5	8	5	5	8	5.5	6	1.4142135623731
A2M-AS1	1	1	0	2	0	2	1	1	0.816496580927726
A2ML1	8	3	4	5	3	8	4.5	5	2.16024689946929
A4GALT	0	1	1	0	0	1	0.5	0.5	0.577350269189626
A4GNT	0	0	0	0	0	0	0	0	0
AAAS	44	31	33	53	31	53	38.5	40.25	10.2428837085396
AACS	13	3	4	11	3	13	7.5	7.75	4.99165971062398
AADAC	0	0	0	0	0	0	0	0	0
AADAT	5	1	2	1	1	5	1.5	2.25	1.89296944860009
AAED1	7	15	9	10	7	15	9.5	10.25	3.40342964277702
AAGAB	61	45	64	34	34	64	53	51	14.0712472794703
AAK1	97	26	34	58	26	97	46	53.75	31.8786762585902
AAMDC	64	92	72	46	46	92	68	68.5	19.0700463205171
AAMP	31	21	12	45	12	45	26	27.25	14.1509716980849
AANAT	0	0	0	0	0	0	0	0	0
AAR2	46	32	36	45	32	46	40.5	39.75	6.84957419601151
AARD	3	1	2	2	1	3	2	2	0.816496580927726
AARS	95	36	48	61	36	95	54.5	60	25.4689353265241
AARS2	6	2	5	5	2	6	5	4.5	1.73205080756888
AARSD1	0	0	0	0	0	0	0	0	0
AASDH	18	11	12	32	11	32	15	18.25	9.67384790728763
AASDHPPT	90	68	73	94	68	94	81.5	81.25	12.6852933220587
AASS	17	10	11	14	10	17	12.5	13	3.16227766016838
AATF	36	22	31	35	22	36	33	31	6.37704215656966
AATK	0	0	0	0	0	0	0	0	0
ABAT	9	1	2	4	1	9	3	4	3.55902608401044
ABCA1	153	109	110	76	76	153	109.5	112	31.5700279801375
ABCA10	6	5	2	7	2	7	5.5	5	2.16024689946929
ABCA11P	5	9	7	5	5	9	6	6.5	1.91485421551268
ABCA12	0	0	0	0	0	0	0	0	0
ABCA13	7	2	1	3	1	7	2.5	3.25	2.62995563967658
ABCA17P	0	0	0	0	0	0	0	0	0
