Gene	SUN+URS.A.6.19.1.D9	SUN+URS.A.6.20.1.D10	SUN+URS.A.6.21.1.D11	Min	Max	Median	Mean	Std
A1BG	42	18	27	18	42	27	29	12.1243556529821
A1BG-AS1	2	1	1	1	2	1	1.33333333333333	0.577350269189626
A1CF	0	0	0	0	0	0	0	0
A2M	7	4	5	4	7	5	5.33333333333333	1.52752523165195
A2M-AS1	1	0	1	0	1	1	0.666666666666667	0.577350269189626
A2ML1	8	4	5	4	8	5	5.66666666666667	2.08166599946613
A4GALT	5	1	0	0	5	1	2	2.64575131106459
A4GNT	0	0	0	0	0	0	0	0
AAAS	35	20	33	20	35	33	29.3333333333333	8.14452781524708
AACS	7	8	3	3	8	7	6	2.64575131106459
AADAC	0	0	0	0	0	0	0	0
AADAT	3	1	1	1	3	1	1.66666666666667	1.15470053837925
AAED1	10	7	16	7	16	10	11	4.58257569495584
AAGAB	64	30	48	30	64	48	47.3333333333333	17.0098010962308
AAK1	39	31	30	30	39	31	33.3333333333333	4.93288286231625
AAMDC	164	70	178	70	178	164	137.333333333333	58.7310253046321
AAMP	37	19	37	19	37	37	31	10.3923048454133
AANAT	0	0	0	0	0	0	0	0
AAR2	66	21	52	21	66	52	46.3333333333333	23.0289672658878
AARD	3	2	1	1	3	2	2	1
AARS	29	9	20	9	29	20	19.3333333333333	10.0166528008778
AARS2	0	3	4	0	4	3	2.33333333333333	2.08166599946613
AARSD1	0	0	0	0	0	0	0	0
AASDH	17	7	21	7	21	17	15	7.21110255092798
AASDHPPT	98	62	95	62	98	95	85	19.9749843554382
AASS	13	4	9	4	13	9	8.66666666666667	4.50924975282289
AATF	11	11	12	11	12	11	11.3333333333333	0.577350269189626
AATK	0	0	0	0	0	0	0	0
ABAT	0	2	1	0	2	1	1	1
ABCA1	350	157	267	157	350	267	258	96.8142551487125
ABCA10	8	3	6	3	8	6	5.66666666666667	2.51661147842358
ABCA11P	17	4	14	4	17	14	11.6666666666667	6.80685928555405
ABCA12	0	0	0	0	0	0	0	0
ABCA13	3	4	5	3	5	4	4	1
ABCA17P	0	0	0	0	0	0	0	0
ABCA2	1	1	4	1	4	1	2	1.73205080756888
ABCA3	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ABCA4	1	1	4	1	4	1	2	1.73205080756888
ABCA5	12	7	13	7	13	12	10.6666666666667	3.21455025366432
ABCA6	26	12	32	12	32	26	23.3333333333333	10.2632028788938
ABCA7	0	0	0	0	0	0	0	0
ABCA8	44	19	40	19	44	40	34.3333333333333	13.4288247189891
ABCA9	60	26	59	26	60	59	48.3333333333333	19.3476958145753
ABCB1	0	0	0	0	0	0	0	0
ABCB10	8	8	7	7	8	8	7.66666666666667	0.577350269189626
ABCB5	11	3	8	3	11	8	7.33333333333333	4.04145188432738
ABCB6	17	11	14	11	17	14	14	3
ABCB7	20	14	21	14	21	20	18.3333333333333	3.78593889720018
ABCB8	5	0	0	0	5	0	1.66666666666667	2.88675134594813
ABCB9	0	0	0	0	0	0	0	0
ABCC1	17	8	19	8	19	17	14.6666666666667	5.85946527708232
ABCC10	9	4	7	4	9	7	6.66666666666667	2.51661147842358
ABCC11	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0
ABCC13	2	1	2	1	2	2	1.66666666666667	0.577350269189626
ABCC2	0	0	0	0	0	0	0	0
ABCC3	2	0	1	0	2	1	1	1
ABCC4	10	4	8	4	10	8	7.33333333333333	3.05505046330389
ABCC5	22	11	17	11	22	17	16.6666666666667	5.5075705472861
ABCC5-AS1	0	0	0	0	0	0	0	0
ABCC6	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ABCC9	4	0	1	0	4	1	1.66666666666667	2.08166599946613
ABCD1	2	2	0	0	2	2	1.33333333333333	1.15470053837925
ABCD2	0	0	0	0	0	0	0	0
ABCD3	39	24	32	24	39	32	31.6666666666667	7.50555349946513
ABCD4	15	9	10	9	15	10	11.3333333333333	3.21455025366432
ABCE1	118	53	88	53	118	88	86.3333333333333	32.5320354932386
ABCF1	152	47	119	47	152	119	106	53.6935750346352
ABCF2	64	30	58	30	64	58	50.6666666666667	18.1475434517549
ABCF3	21	15	21	15	21	21	19	3.46410161513775
ABCG1	3	1	4	1	4	3	2.66666666666667	1.52752523165195
ABCG2	0	0	0	0	0	0	0	0
ABCG4	0	0	0	0	0	0	0	0
ABCG5	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ABHD1	0	0	0	0	0	0	0	0
ABHD10	19	28	20	19	28	20	22.3333333333333	4.93288286231625
ABHD11	13	7	4	4	13	7	8	4.58257569495584
ABHD12	7	3	3	3	7	3	4.33333333333333	2.3094010767585
ABHD12B	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ABHD13	24	20	29	20	29	24	24.3333333333333	4.50924975282289
ABHD14A	5	3	4	3	5	4	4	1
ABHD14A-ACY1	0	0	0	0	0	0	0	0
ABHD14B	12	7	22	7	22	12	13.6666666666667	7.63762615825973
ABHD15	11	12	6	6	12	11	9.66666666666667	3.21455025366432
ABHD16A	11	7	9	7	11	9	9	2
ABHD16B	0	0	0	0	0	0	0	0
ABHD17A	9	3	10	3	10	9	7.33333333333333	3.78593889720018
ABHD17B	5	2	3	2	5	3	3.33333333333333	1.52752523165195
ABHD17C	8	4	6	4	8	6	6	2
ABHD2	29	15	19	15	29	19	21	7.21110255092798
ABHD3	0	0	0	0	0	0	0	0
ABHD4	113	47	91	47	113	91	83.6666666666667	33.6055550963428
ABHD5	24	16	20	16	24	20	20	4
ABHD6	2	1	9	1	9	2	4	4.35889894354067
ABHD8	3	1	0	0	3	1	1.33333333333333	1.52752523165195
ABI1	96	27	71	27	96	71	64.6666666666667	34.9332697200439
ABI2	42	20	28	20	42	28	30	11.13552872566
