Gene	TRS+URS.A.2.8.1.A3	TRS+URS.A.3.8.1.A7	TRS+URS.A.4.6.1.B1	Min	Max	Median	Mean	Std
A1BG	26	19	17	17	26	19	20.6666666666667	4.72581562625261
A1BG-AS1	7	5	2	2	7	5	4.66666666666667	2.51661147842358
A1CF	0	0	0	0	0	0	0	0
A2M	31	5	13	5	31	13	16.3333333333333	13.3166562369588
A2M-AS1	2	0	2	0	2	2	1.33333333333333	1.15470053837925
A2ML1	7	10	5	5	10	7	7.33333333333333	2.51661147842358
A4GALT	0	0	1	0	1	0	0.333333333333333	0.577350269189626
A4GNT	0	0	0	0	0	0	0	0
AAAS	25	18	24	18	25	24	22.3333333333333	3.78593889720018
AACS	4	7	8	4	8	7	6.33333333333333	2.08166599946613
AADAC	0	0	0	0	0	0	0	0
AADAT	3	3	1	1	3	3	2.33333333333333	1.15470053837925
AAED1	7	8	10	7	10	8	8.33333333333333	1.52752523165195
AAGAB	41	38	46	38	46	41	41.6666666666667	4.04145188432738
AAK1	44	56	44	44	56	44	48	6.92820323027551
AAMDC	114	97	112	97	114	112	107.666666666667	9.29157324317757
AAMP	29	20	24	20	29	24	24.3333333333333	4.50924975282289
AANAT	0	0	0	0	0	0	0	0
AAR2	33	32	34	32	34	33	33	1
AARD	3	3	1	1	3	3	2.33333333333333	1.15470053837925
AARS	49	44	32	32	49	44	41.6666666666667	8.73689494805411
AARS2	7	10	6	6	10	7	7.66666666666667	2.08166599946613
AARSD1	0	0	0	0	0	0	0	0
AASDH	12	16	17	12	17	16	15	2.64575131106459
AASDHPPT	72	76	58	58	76	72	68.6666666666667	9.45163125250522
AASS	19	22	10	10	22	19	17	6.2449979983984
AATF	21	19	11	11	21	19	17	5.29150262212918
AATK	0	0	0	0	0	0	0	0
ABAT	3	0	1	0	3	1	1.33333333333333	1.52752523165195
ABCA1	233	252	290	233	290	252	258.333333333333	29.022979401387
ABCA10	15	13	10	10	15	13	12.6666666666667	2.51661147842358
ABCA11P	8	4	3	3	8	4	5	2.64575131106459
ABCA12	0	0	0	0	0	0	0	0
ABCA13	3	7	1	1	7	3	3.66666666666667	3.05505046330389
