Gene	TRS.A.2.6.1.A1	TRS.A.4.4.1.A11	TRS.A.5.10.1.C6	TRS.A.5.10.1.H11	TRS.A.5.10.1.H12	Min	Max	Median	Mean	Std
A1BG	20	19	16	31	13	13	31	19	19.8	6.83373982530795
A1BG-AS1	1	0	0	2	0	0	2	0	0.6	0.894427190999916
A1CF	0	0	0	0	0	0	0	0	0	0
A2M	10	5	12	13	8	5	13	10	9.6	3.20936130717624
A2M-AS1	2	0	0	2	0	0	2	0	0.8	1.09544511501033
A2ML1	5	3	7	3	1	1	7	3	3.8	2.28035085019828
A4GALT	0	1	3	1	1	0	3	1	1.2	1.09544511501033
A4GNT	0	0	1	0	0	0	1	0	0.2	0.447213595499958
AAAS	25	20	29	27	10	10	29	25	22.2	7.59605160593318
AACS	3	3	5	7	7	3	7	5	5	2
AADAC	0	0	0	0	0	0	0	0	0	0
AADAT	0	1	0	1	1	0	1	1	0.6	0.547722557505166
AAED1	7	7	3	6	3	3	7	6	5.2	2.04939015319192
AAGAB	20	43	35	77	40	20	77	40	43	20.9642552932366
AAK1	23	29	28	25	20	20	29	25	25	3.67423461417477
AAMDC	88	105	82	135	76	76	135	88	97.2	23.7423671945322
AAMP	19	13	31	43	20	13	43	20	25.2	11.8827606220104
AANAT	0	0	0	0	0	0	0	0	0	0
AAR2	23	33	26	45	31	23	45	31	31.6	8.47348806572595
AARD	0	1	3	7	0	0	7	1	2.2	2.94957624075053
AARS	20	27	36	34	18	18	36	27	27	8.06225774829855
AARS2	4	7	4	5	5	4	7	5	5	1.22474487139159
AARSD1	0	0	1	0	0	0	1	0	0.2	0.447213595499958
AASDH	9	12	13	15	9	9	15	12	11.6	2.60768096208106
AASDHPPT	60	58	62	93	58	58	93	60	66.2	15.0731549451334
AASS	11	5	7	4	8	4	11	7	7	2.73861278752583
AATF	13	13	18	15	10	10	18	13	13.8	2.94957624075052
AATK	0	0	0	0	0	0	0	0	0	0
ABAT	0	1	1	3	2	0	3	1	1.4	1.14017542509914
ABCA1	154	244	240	161	98	98	244	161	179.4	62.1594723272326
ABCA10	7	8	10	7	5	5	10	7	7.4	1.81659021245849
ABCA11P	5	6	1	8	2	1	8	5	4.4	2.88097205817759
ABCA12	0	0	0	0	0	0	0	0	0	0
ABCA13	1	3	1	4	1	1	4	1	2	1.4142135623731
ABCA17P	0	0	0	0	0	0	0	0	0	0
ABCA2	1	0	3	1	1	0	3	1	1.2	1.09544511501033
ABCA3	0	0	2	2	0	0	2	0	0.8	1.09544511501033
ABCA4	0	0	3	1	2	0	3	1	1.2	1.30384048104053
ABCA5	1	11	9	10	7	1	11	9	7.6	3.97492138287036
ABCA6	22	22	21	18	16	16	22	21	19.8	2.68328157299975
ABCA7	0	0	0	2	2	0	2	0	0.8	1.09544511501033
ABCA8	40	37	42	41	30	30	42	40	38	4.84767985741633
ABCA9	60	26	34	41	30	26	60	34	38.2	13.3865604245452
ABCB1	0	0	0	0	0	0	0	0	0	0
ABCB10	1	1	7	1	5	1	7	1	3	2.82842712474619
ABCB5	6	1	7	6	4	1	7	6	4.8	2.38746727726266
ABCB6	17	13	7	13	4	4	17	13	10.8	5.21536192416212
ABCB7	9	16	10	16	11	9	16	11	12.4	3.36154726279432
ABCB8	2	2	1	2	3	1	3	2	2	0.707106781186548
ABCB9	0	0	0	1	0	0	1	0	0.2	0.447213595499958
ABCC1	17	17	13	24	9	9	24	17	16	5.56776436283002
ABCC10	6	3	6	7	4	3	7	6	5.2	1.6431676725155
ABCC11	0	0	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0	0	0
ABCC13	2	2	1	0	2	0	2	2	1.4	0.894427190999916
ABCC2	0	0	0	0	1	0	1	0	0.2	0.447213595499958
ABCC3	1	1	1	5	1	1	5	1	1.8	1.78885438199983
ABCC4	5	7	4	5	2	2	7	5	4.6	1.81659021245849
ABCC5	9	5	12	12	4	4	12	9	8.4	3.78153408023781
ABCC5-AS1	0	0	0	0	0	0	0	0	0	0
ABCC6	0	0	0	0	0	0	0	0	0	0
ABCC9	2	2	1	1	0	0	2	1	1.2	0.836660026534076
ABCD1	2	1	1	0	0	0	2	1	0.8	0.836660026534076
ABCD2	0	0	0	0	0	0	0	0	0	0
ABCD3	17	32	21	28	17	17	32	21	23	6.74536878161602
ABCD4	8	5	17	18	5	5	18	8	10.6	6.42650760522385
ABCE1	72	67	67	101	52	52	101	67	71.8	17.9638525934723
ABCF1	52	97	115	88	79	52	115	88	86.2	23.2959223899806
ABCF2	37	46	44	60	31	31	60	44	43.6	10.9224539367305
ABCF3	13	9	14	14	7	7	14	13	11.4	3.20936130717624
ABCG1	0	0	0	1	1	0	1	0	0.4	0.547722557505166
ABCG2	0	1	0	1	0	0	1	0	0.4	0.547722557505166
ABCG4	0	0	0	0	0	0	0	0	0	0
ABCG5	0	0	0	0	0	0	0	0	0	0
ABHD1	1	0	0	0	0	0	1	0	0.2	0.447213595499958
ABHD10	10	25	23	26	13	10	26	23	19.4	7.36885337077622
ABHD11	8	8	8	6	6	6	8	8	7.2	1.09544511501033
ABHD12	1	4	4	6	3	1	6	4	3.6	1.81659021245849
ABHD12B	0	0	0	0	0	0	0	0	0	0
ABHD13	13	15	17	22	10	10	22	15	15.4	4.50555213042752
ABHD14A	3	3	3	5	1	1	5	3	3	1.4142135623731
ABHD14A-ACY1	0	0	0	0	0	0	0	0	0	0
ABHD14B	9	13	10	19	6	6	19	10	11.4	4.92950301754649
ABHD15	6	7	11	13	5	5	13	7	8.4	3.43511280746353
ABHD16A	6	10	10	13	7	6	13	10	9.2	2.77488738510232
ABHD16B	0	0	0	0	0	0	0	0	0	0
ABHD17A	9	3	5	5	5	3	9	5	5.4	2.19089023002066
ABHD17B	3	4	6	6	5	3	6	5	4.8	1.30384048104053
ABHD17C	3	5	8	10	6	3	10	6	6.4	2.70185121722126
ABHD2	20	12	12	24	12	12	24	12	16	5.65685424949238
ABHD3	1	1	0	0	1	0	1	1	0.6	0.547722557505166
ABHD4	80	56	70	86	53	53	86	70	69	14.456832294801
ABHD5	13	11	20	32	16	11	32	16	18.4	8.32466215530696
ABHD6	4	4	2	3	0	0	4	3	2.6	1.67332005306815
ABHD8	2	2	1	0	2	0	2	2	1.4	0.894427190999916
ABI1	50	50	66	79	47	47	79	50	58.4	13.7222447143315
ABI2	38	24	38	35	24	24	38	35	31.8	7.22495674727538
ABI3BP	38	64	69	78	56	38	78	64	61	15.1327459504216
ABL1	20	16	10	17	11	10	20	16	14.8	4.20713679359253
ABL2	19	17	19	28	20	17	28	19	20.6	4.27784992724149
ABLIM1	72	74	95	91	68	68	95	74	80	12.1449578014911
ABLIM2	0	0	0	0	0	0	0	0	0	0
ABLIM3	11	18	13	17	14	11	18	14	14.6	2.88097205817759
ABR	4	7	2	9	6	2	9	6	5.6	2.70185121722126
ABRA	0	0	1	0	1	0	1	0	0.4	0.547722557505166
ABRACL	23	39	37	59	28	23	59	37	37.2	13.8275088139549
ABT1	9	6	21	19	13	6	21	13	13.6	6.38748776906853
ABTB1	0	3	2	0	0	0	3	0	1	1.4142135623731
ABTB2	1	1	5	2	2	1	5	2	2.2	1.6431676725155
ACAA1	7	6	6	4	6	4	7	6	5.8	1.09544511501033
ACAA2	55	64	85	89	56	55	89	64	69.8	16.1462069849237
ACACA	7	6	8	6	9	6	9	7	7.2	1.30384048104053
ACACB	3	4	1	2	2	1	4	2	2.4	1.14017542509914
ACAD10	7	0	1	3	1	0	7	1	2.4	2.79284800875379
ACAD11	0	0	0	1	0	0	1	0	0.2	0.447213595499958
ACAD8	1	4	1	6	2	1	6	2	2.8	2.16794833886788
ACAD9	7	8	11	15	5	5	15	8	9.2	3.89871773792359
ACADL	1	4	1	3	1	1	4	1	2	1.4142135623731
ACADM	54	44	77	69	47	44	77	54	58.2	14.2723508925475
ACADS	0	0	0	1	1	0	1	0	0.4	0.547722557505166
ACADSB	1	8	9	8	9	1	9	8	7	3.39116499156263
ACADVL	21	36	24	39	12	12	39	24	26.4	11.104053313993
ACAN	0	0	0	0	0	0	0	0	0	0
ACAP1	0	3	5	4	3	0	5	3	3	1.87082869338697
ACAP2	44	63	48	52	28	28	63	48	47	12.7671453348037
ACAP3	0	1	0	1	0	0	1	0	0.4	0.547722557505166
ACAT1	67	95	105	130	74	67	130	95	94.2	25.2329150119442
ACAT2	2	3	4	7	3	2	7	3	3.8	1.92353840616713
ACBD3	24	41	30	29	13	13	41	29	27.4	10.1636607578175
ACBD4	2	1	0	2	5	0	5	2	2	1.87082869338697
ACBD5	24	18	15	25	18	15	25	18	20	4.30116263352131
