Cell	Plate	Condition1	Condition2	Gene	logFC	logCPM	PValue
A	1	CTRL	ALE	VIM	1.01159571256843	11.304115185744	2.97905330078795e-29
A	1	CTRL	ALE	RPS21	0.570868153635682	10.4903513310373	1.53692122033547e-09
A	1	CTRL	ALE	RPL10A	0.541405340585679	11.4291724031767	4.92380331074895e-09
A	1	CTRL	ALE	MTHFD2	0.548295533513488	8.7671906397095	1.09233803513228e-07
A	1	CTRL	ALE	TNFAIP6	0.587086769959876	7.65081687925021	3.44284505324172e-07
A	1	CTRL	ALE	LBH	0.575044088587287	7.45017463145783	5.02780524685624e-07
A	1	CTRL	ALE	TSLP	1.11995278366065	3.94162743540891	2.010934495585e-06
A	1	CTRL	ALE	RPL7A	0.425315487889961	11.1229895475314	5.5953747322365e-06
A	1	CTRL	ALE	RCAN1	0.882941830765048	4.74167400370969	6.56724446569305e-06
A	1	CTRL	ALE	FAM98A	-0.744173438339766	6.03018706970188	9.01653566841041e-06
A	1	CTRL	ALE	RPS4X	0.392564744244358	11.9614930542181	2.25419495170055e-05
A	1	CTRL	ALE	GPR1	0.548407932507087	6.72727978197902	2.31079382294825e-05
A	1	CTRL	ALE	AHNAK	-0.503706332979823	8.1248917804269	2.42597320973177e-05
A	1	CTRL	ALE	ALKBH7	0.823807826941341	4.48925490023925	3.31810410524844e-05
A	1	CTRL	ALE	RAC1	-0.541004664117417	7.38399978548147	3.63971477983525e-05
A	1	CTRL	ALE	THBS1	-0.433121511188575	9.40046027047945	5.05939411852771e-05
A	1	CTRL	ALE	CDR1	0.5118491199917	7.03012234664195	6.10041079387824e-05
A	1	CTRL	ALE	HMGB2	0.458824894114302	7.55092263978258	6.745412124232e-05
A	1	CTRL	ALE	BOD1L1	-0.841908331267939	5.43188333915746	7.4698747021399e-05
A	1	CTRL	ALE	GOLGA4	-0.545576826619616	7.19105082675281	8.07032927588098e-05
A	1	CTRL	ALE	CREB3L4	1.34305167431487	2.83643884065169	0.000110207458096748
A	1	CTRL	ALE	TARS	0.452174549203702	7.5043718100544	0.000114574836402659
A	1	CTRL	ALE	STK17B	-0.554127426806181	6.90692684773087	0.000115176074215694
A	1	CTRL	ALE	PAFAH1B2	-0.586929845483484	6.57231614399905	0.000118375401257952
A	1	CTRL	ALE	HERPUD1	0.497215038858866	6.60462951326758	0.00011940005408239
A	1	CTRL	ALE	MARCKS	-0.455043114753614	7.99698416916825	0.000126594584191523
A	1	CTRL	ALE	WNK1	0.51845476971688	6.2890255833342	0.000167690655625316
A	1	CTRL	ALE	PPP3CA	-0.669519817550288	5.58800222853857	0.00017759361781687
A	1	CTRL	ALE	RPS27A	0.342010118847692	12.2665374902137	0.000219888000727642
A	1	CTRL	ALE	MLEC	-0.694401419857631	5.40162232825327	0.00024389676756472
A	1	CTRL	ALE	UAP1	0.479234738089707	6.67107654967257	0.000244132528736773
A	1	CTRL	ALE	ENTPD7	-1.64105792839729	3.23017406152666	0.000265050250022347
A	1	CTRL	ALE	SMARCA5	-0.619463273058624	5.85493286033277	0.000289940016597941
A	1	CTRL	ALE	CD200	0.549977359874932	5.77125542940907	0.000292702736595694
A	1	CTRL	ALE	MSC	0.694393138984235	4.78738076591494	0.000373171408330155
A	1	CTRL	ALE	PRSS23	-0.409801617530659	8.26735109564442	0.000431541436406463
A	1	CTRL	ALE	SCG2	0.498028828902171	6.17721099545943	0.00049012317895348
A	1	CTRL	ALE	EIF2AK1	-0.947058374445882	4.53123583434233	0.000515031805510385
A	1	CTRL	ALE	JDP2	1.02714534302259	3.57175648133648	0.000541784982582358
A	1	CTRL	ALE	ANKRD50	-1.0486232887839	4.29037698406732	0.000587830337881028
