Cell	Plate	Condition1	Condition2	Gene	logFC	logCPM	PValue
A	1	CTRL	SOR+URS	HSPA1B	4.96178167078075	6.77866823558025	4.63512009991434e-276
A	1	CTRL	SOR+URS	DNAJB1	4.32894147373016	6.73563838921535	2.32047931736554e-211
A	1	CTRL	SOR+URS	HSP90AA1	2.69012159720554	10.0864296552778	4.78219194760475e-193
A	1	CTRL	SOR+URS	HSPA1A	4.5433264781927	5.74788981134484	2.28219987733441e-155
A	1	CTRL	SOR+URS	HSPH1	3.43888780768593	6.94374516905718	5.02934704146718e-145
A	1	CTRL	SOR+URS	HSPA6	7.31620446638757	3.96939685409147	6.19305802811045e-121
A	1	CTRL	SOR+URS	PRRC2C	2.17325352397641	7.63939469097596	8.56391939952487e-65
A	1	CTRL	SOR+URS	MAP1B	1.72643062702482	9.11170881008155	8.88477407662528e-61
A	1	CTRL	SOR+URS	BRD4	3.51736862799087	4.90944715365314	9.18850547826341e-61
A	1	CTRL	SOR+URS	ACTA2	-1.59136512470754	12.1920590161434	1.50190471024462e-46
A	1	CTRL	SOR+URS	ANP32B	2.18799498678957	6.60655157615902	1.15445439384634e-45
A	1	CTRL	SOR+URS	FTL	-1.49507755569157	14.5060055589116	1.18400445683303e-45
A	1	CTRL	SOR+URS	PPP1R15A	2.97193121821871	5.08314757402517	1.44996210899081e-45
A	1	CTRL	SOR+URS	GNB5	2.96032701415268	5.01899128432028	1.3168066054839e-44
A	1	CTRL	SOR+URS	CALD1	1.26535246114112	11.1789358617435	6.47406916353027e-43
A	1	CTRL	SOR+URS	SCNM1	3.01196858121637	4.89249284750945	4.89071382302862e-42
A	1	CTRL	SOR+URS	KTN1	1.80901297455946	7.54137670272386	6.22318562350223e-42
A	1	CTRL	SOR+URS	LDHA	-1.5032313111458	11.1412795062978	3.8644555657017e-39
A	1	CTRL	SOR+URS	DUSP1	3.33893098894858	4.32475367753637	3.74703377968491e-38
A	1	CTRL	SOR+URS	C5orf46	-1.84925587473849	9.45963310358363	7.96882829966849e-38
A	1	CTRL	SOR+URS	RPS23	-1.35109888967882	12.7842327321924	9.86567704066478e-37
A	1	CTRL	SOR+URS	RPS14	-1.33456269871898	12.7912700086802	6.05395806692869e-36
A	1	CTRL	SOR+URS	TMSB4X	-1.31116404930812	13.5791313871876	1.13857616714546e-35
A	1	CTRL	SOR+URS	CDR1	1.67491259205698	7.4559453866695	1.22157426705419e-35
A	1	CTRL	SOR+URS	LUM	-1.64550823475833	9.66840964913695	7.07184184900344e-35
A	1	CTRL	SOR+URS	TIMP1	-1.3184782695954	12.6378901623707	1.21998812990481e-34
A	1	CTRL	SOR+URS	PPIB	-1.72602746568468	9.36568706891613	2.27264808749076e-34
A	1	CTRL	SOR+URS	BAG3	2.64892100227914	5.05450359013853	4.42943583214173e-34
A	1	CTRL	SOR+URS	MYL6	-1.32546303615796	12.1524711461903	5.60663731009007e-34
A	1	CTRL	SOR+URS	RPS18	-1.28222023179329	13.1139954337788	5.77317381629341e-34
A	1	CTRL	SOR+URS	BIRC3	5.7726345785437	2.50509197436513	1.000397591196e-33
A	1	CTRL	SOR+URS	NDUFA4	-1.41162593464019	10.5680904310977	1.15935623537563e-32
A	1	CTRL	SOR+URS	RAB12	1.95192852571107	6.39262258909243	1.89543935109917e-32
A	1	CTRL	SOR+URS	RPLP0	-1.23753073935237	12.6455651976276	1.93182201008885e-31
A	1	CTRL	SOR+URS	TPI1	-1.38695618213414	10.4851286396072	3.00273272970658e-31
A	1	CTRL	SOR+URS	NFKBIA	2.96069377774011	4.47126436295071	5.59780618477355e-31
A	1	CTRL	SOR+URS	RPL15	-1.22234306242761	12.5839539268377	1.09126326801103e-30
A	1	CTRL	SOR+URS	SPARC	-1.20455779523284	13.4377246402256	1.10274477732649e-30
A	1	CTRL	SOR+URS	SERF2	-1.25866916033862	11.7638133446108	1.37738644643643e-30
A	1	CTRL	SOR+URS	OST4	-1.3533178363871	10.6450709475718	1.40193645729729e-30
