Cell	Plate	Condition1	Condition2	Gene	logFC	logCPM	PValue
A	1	CTRL	SOR	PLIN2	3.49087907826292	9.04666591523578	5.88439480968823e-203
A	1	CTRL	SOR	GDF15	3.70825795399023	7.2407639584407	1.39358840426548e-197
A	1	CTRL	SOR	SUPV3L1	3.77519755636925	6.42735756454214	1.89573550387707e-177
A	1	CTRL	SOR	HSPA1B	3.56831165873677	6.18954330696804	1.84102074987902e-154
A	1	CTRL	SOR	ATF3	4.28275740780304	5.26252878440721	1.01732837128292e-150
A	1	CTRL	SOR	SLC3A2	3.12562371831212	6.42196972629179	5.02143653084299e-129
A	1	CTRL	SOR	PPP1R15A	3.3593231515839	5.8977982006845	2.393875249281e-128
A	1	CTRL	SOR	ACTA2	-4.06758154844979	11.955903812541	8.56024547511341e-127
A	1	CTRL	SOR	CREB5	5.08889705203702	4.25486773626422	2.73697192194933e-111
A	1	CTRL	SOR	DNAJB1	2.93493890810653	6.18925839877241	7.75988489754808e-109
A	1	CTRL	SOR	HSPA1A	3.28666204469529	5.47459788320795	1.24349089528429e-108
A	1	CTRL	SOR	FGF7	-4.03296610740033	8.75455577125788	2.00122497454267e-108
A	1	CTRL	SOR	DDIT3	2.49960094952728	8.76487007534586	4.38250067759382e-104
A	1	CTRL	SOR	GADD45A	2.67302043083696	6.608391434247	2.51799820245829e-99
A	1	CTRL	SOR	HBB	-6.17363450315869	6.58103422245154	8.55779272002647e-98
A	1	CTRL	SOR	SNHG1	3.30997905287013	5.07603390745062	1.83019053645898e-96
A	1	CTRL	SOR	DUSP1	3.3541799898363	5.02342490958748	7.60708450748364e-93
A	1	CTRL	SOR	SAT1	2.32494745092568	8.98146872001846	2.63885473057625e-89
A	1	CTRL	SOR	MT2A	2.30888875629838	9.95772161776926	1.80785715845626e-88
A	1	CTRL	SOR	MYH10	-3.00264174593184	9.43648361470228	1.26926919585158e-77
A	1	CTRL	SOR	PTX3	2.16696876448282	7.67023737124989	1.29516378048143e-72
A	1	CTRL	SOR	HMGB2	2.10024806178877	8.332687713584	1.76017675956501e-71
A	1	CTRL	SOR	NAMPT	2.48804010039762	5.68558208497789	9.64226217007124e-71
A	1	CTRL	SOR	HSPA5	2.07013178822552	9.9292681931823	1.1449865565412e-70
A	1	CTRL	SOR	TAGLN	-2.74447139587819	10.9603983110566	4.89942202074507e-70
A	1	CTRL	SOR	COL1A1	-2.70651092668481	11.5932779210636	1.58875420788171e-68
A	1	CTRL	SOR	RND3	2.05127079368784	7.99847275394728	1.52529479045031e-67
A	1	CTRL	SOR	C5orf46	-2.74773176281255	9.26606228405947	1.03996771801934e-66
A	1	CTRL	SOR	KLF6	2.26125829328567	6.05129662594925	1.07004053151156e-64
A	1	CTRL	SOR	ARL4C	2.72674597497082	4.95518741481798	2.72849693240087e-63
A	1	CTRL	SOR	COL3A1	-2.634953612829	9.25384753675109	4.42462473372403e-63
A	1	CTRL	SOR	MT1E	2.47345970138994	5.35030122697187	4.52098941381364e-62
A	1	CTRL	SOR	CDH11	-2.71278273364763	8.05065259366947	7.65341764770638e-61
A	1	CTRL	SOR	PTGIS	-2.71457779495478	7.86082348225501	6.21171006225012e-60
A	1	CTRL	SOR	TIMP3	-2.54139272937954	9.5735207039295	6.91167982770252e-60
A	1	CTRL	SOR	HSPH1	2.08215148530734	6.44659281306665	1.27070183307918e-59
A	1	CTRL	SOR	THBS1	-2.50882178158007	9.21632140441658	4.51161318050782e-59
A	1	CTRL	SOR	ACTB	-2.43936527575811	10.3216303248627	2.06297011821959e-58
A	1	CTRL	SOR	SPINK1	2.65322268532569	4.87953364158245	2.3549490325156e-58
A	1	CTRL	SOR	TRIB3	2.3532521434308	5.42853324781046	5.82121877876888e-58
