Cell	Plate	Condition1	Condition2	Gene	logFC	logCPM	PValue
A	1	CTRL	SUN+ALE	VIM	0.870005223870345	11.2642687937629	5.03848312794644e-23
A	1	CTRL	SUN+ALE	NSA2	1.00915691267273	7.22336201219436	4.68515848328174e-19
A	1	CTRL	SUN+ALE	HBB	-0.890283885840012	6.76671150457513	4.82635475814953e-12
A	1	CTRL	SUN+ALE	HMGB2	0.679727138680706	7.6115673575585	4.67351030119975e-10
A	1	CTRL	SUN+ALE	S100A4	-0.56723177234318	9.65273753823313	3.48194105211503e-08
A	1	CTRL	SUN+ALE	RPS15	0.51581650444954	9.92244775065686	3.70401842646149e-08
A	1	CTRL	SUN+ALE	MT2A	0.522792718601937	9.07346458172686	7.31477682727924e-08
A	1	CTRL	SUN+ALE	DHRS3	0.577550253403978	6.9511626927792	9.89726308364124e-07
A	1	CTRL	SUN+ALE	C12orf23	-0.719521068783615	6.54518319558838	1.23098338767958e-06
A	1	CTRL	SUN+ALE	NPR3	-0.601156325724353	7.4260365385799	1.65605522134292e-06
A	1	CTRL	SUN+ALE	FAM98A	-0.790170360279014	6.02796423278948	1.94565338601106e-06
A	1	CTRL	SUN+ALE	GOT1	0.627430443894435	6.22072162084718	2.70314105703636e-06
A	1	CTRL	SUN+ALE	PPP3CA	-0.848553413793334	5.57194629928468	4.69844683395417e-06
A	1	CTRL	SUN+ALE	MTHFD2	0.45377444590286	8.74913065758262	5.70440029488101e-06
A	1	CTRL	SUN+ALE	PRSS23	-0.508067177241212	8.25702419156311	6.96220810827371e-06
A	1	CTRL	SUN+ALE	THBS1	-0.461206133371964	9.40042122537137	8.12649704734669e-06
A	1	CTRL	SUN+ALE	ACBD3	-0.934013081770893	5.06049878170944	1.00017948585987e-05
A	1	CTRL	SUN+ALE	ACTB	-0.41400932354609	10.5088521798013	2.67982901890011e-05
A	1	CTRL	SUN+ALE	RPL13	0.387535654001382	10.0830254960106	3.67726142597044e-05
A	1	CTRL	SUN+ALE	SLC3A2	0.672501466454979	5.05770795879837	7.25303728831851e-05
A	1	CTRL	SUN+ALE	IFNGR1	0.454212732280444	7.22474188250834	7.48730997509218e-05
A	1	CTRL	SUN+ALE	H19	-0.741101378306295	5.27593056009379	9.55967768545437e-05
A	1	CTRL	SUN+ALE	STK17B	-0.52949077678452	6.91155849599245	9.86592015287661e-05
A	1	CTRL	SUN+ALE	ALKBH7	0.764201102258102	4.47827229543808	0.000106949781236363
A	1	CTRL	SUN+ALE	RAC1	-0.482371025730228	7.3965346837566	0.000141354128426025
A	1	CTRL	SUN+ALE	MARCKS	-0.4411725777421	8.00423582627004	0.00014223209534403
A	1	CTRL	SUN+ALE	CCL2	0.418576856985884	7.76407799655526	0.00014625060953569
A	1	CTRL	SUN+ALE	ZNF670-ZNF695	2.06810049341993	1.73389542562846	0.000157261084366311
A	1	CTRL	SUN+ALE	ZNF737	0.894642917248051	3.87553857360218	0.000173939900652707
A	1	CTRL	SUN+ALE	EXOSC6	0.950447087964265	3.72533108349977	0.000201910015219689
A	1	CTRL	SUN+ALE	ORMDL3	-0.756755225563088	5.10551754544767	0.000213294177628215
A	1	CTRL	SUN+ALE	GDF6	-0.899615161992736	4.52600383917114	0.000213881186989442
A	1	CTRL	SUN+ALE	PLIN2	0.421203917482283	7.32328251933054	0.0002321857080303
A	1	CTRL	SUN+ALE	EIF4G1	-0.723653160312266	5.1727626412618	0.000239793171050208
A	1	CTRL	SUN+ALE	TAOK1	-0.638393172542839	5.62767643851637	0.000248767577471035
A	1	CTRL	SUN+ALE	LMOD1	-0.614919564237144	5.68586592046407	0.000280115026689944
A	1	CTRL	SUN+ALE	H3F3B	0.350463460835435	9.54487729745319	0.000282339508022007
A	1	CTRL	SUN+ALE	COL15A1	-0.559164255797438	6.10902434979139	0.000294096422929514
A	1	CTRL	SUN+ALE	SLC36A2	1.08859265784246	3.12290196982012	0.000299949920993061
A	1	CTRL	SUN+ALE	LBH	0.411830628812876	7.41085569317049	0.000326810430318039
