Cell	Plate	Condition1	Condition2	Gene	logFC	logCPM	PValue
A	1	CTRL	SUN+DOM	HBB	-2.93604938641177	6.65478654735852	1.60081290995367e-50
A	1	CTRL	SUN+DOM	RPS9	0.9637561755197	9.68746469360163	2.0730291030623e-25
A	1	CTRL	SUN+DOM	RPL18	0.827826002018369	8.56460472294269	8.56340681717294e-17
A	1	CTRL	SUN+DOM	MT2A	0.734055304156953	9.12844028406119	2.37784056421448e-14
A	1	CTRL	SUN+DOM	RBM3	0.711705228532236	7.81286795255524	2.01999429856005e-11
A	1	CTRL	SUN+DOM	OGN	-2.3619740079676	3.89503729334449	1.01533889932238e-09
A	1	CTRL	SUN+DOM	COL21A1	-1.30495487001903	4.96136119611007	1.33509267731563e-08
A	1	CTRL	SUN+DOM	CCL11	0.697694360892201	6.63421735409022	1.95786274122126e-08
A	1	CTRL	SUN+DOM	S100A4	-0.547909734541517	9.65546198939062	1.21973325190818e-07
A	1	CTRL	SUN+DOM	FABP4	-1.02870755472472	5.26486579132237	2.85143164344346e-07
A	1	CTRL	SUN+DOM	COL14A1	-0.637851834049447	7.19239455833803	1.15070329683444e-06
A	1	CTRL	SUN+DOM	NTM	0.633974766382203	6.11851610038809	2.32118672013139e-06
A	1	CTRL	SUN+DOM	ITGA8	-1.95989011086633	3.13082885101918	1.15736333199024e-05
A	1	CTRL	SUN+DOM	PGK1	0.414333726545638	9.9332792665204	1.22184963087598e-05
A	1	CTRL	SUN+DOM	VCAM1	-0.958627185966557	4.98028800412938	1.27411438504489e-05
A	1	CTRL	SUN+DOM	SH3BGR	0.433713827599929	8.72322573029455	1.50931914993708e-05
A	1	CTRL	SUN+DOM	DDIT3	0.455944674339031	7.74912231978038	1.97278735709122e-05
A	1	CTRL	SUN+DOM	RPS15	0.404285196465102	9.89642124016027	1.9957791115602e-05
A	1	CTRL	SUN+DOM	ANGPT1	-0.791214876607314	5.43430978320337	2.34324155293593e-05
A	1	CTRL	SUN+DOM	C10orf10	0.525862015057325	6.54157745280808	2.97917358944952e-05
A	1	CTRL	SUN+DOM	FKBP2	0.71924814616323	4.8769617485801	4.93335344198088e-05
A	1	CTRL	SUN+DOM	PTPRR	1.390230462267	2.65143130733507	5.00255263436853e-05
A	1	CTRL	SUN+DOM	SLN	-0.727901959184826	5.42808804032498	5.92565474239299e-05
A	1	CTRL	SUN+DOM	LDHA	0.362666225038356	11.282702629341	7.5204778056934e-05
A	1	CTRL	SUN+DOM	RHEB	0.604656173335665	5.41367606185032	0.000125944144311249
A	1	CTRL	SUN+DOM	ENO1	0.350044290636516	10.9211096367159	0.000149687866065711
A	1	CTRL	SUN+DOM	DDIT4	0.640131285551256	4.89598887353398	0.000170613193288072
A	1	CTRL	SUN+DOM	TXNIP	0.440143807237544	6.94443593477076	0.00020596507374479
A	1	CTRL	SUN+DOM	RALA	0.444638533606225	6.82378440017283	0.000239765988303265
A	1	CTRL	SUN+DOM	HTR2B	-1.3537229977905	3.71121586238372	0.000243485558249276
A	1	CTRL	SUN+DOM	AMIGO2	0.608309538237784	5.13563188624479	0.000262889480070954
A	1	CTRL	SUN+DOM	PCOLCE	-0.555204908430361	6.1463452955128	0.000288895399536276
A	1	CTRL	SUN+DOM	C15orf48	0.990335293973922	3.24173489484593	0.000428114587837993
A	1	CTRL	SUN+DOM	OMD	-1.26974220874373	3.48041355082788	0.000487362532043445
A	1	CTRL	SUN+DOM	JMJD1C	-0.465613554833847	7.1083467115591	0.000489903141329637
A	1	CTRL	SUN+DOM	TPI1	0.324814088450235	10.6066590689313	0.000499488426588861
A	1	CTRL	SUN+DOM	TNFRSF10D	0.441711321697233	6.5013210787459	0.000527741494211661
A	1	CTRL	SUN+DOM	EFEMP1	-0.340356695892407	10.6880681864812	0.000539595533318634
A	1	CTRL	SUN+DOM	TGFBI	0.492704660349296	5.84845133198713	0.000547829786870256
A	1	CTRL	SUN+DOM	AFAP1	0.51948583968212	5.66646621104544	0.000648934285674427
