Cell	Plate	Condition1	Condition2	Gene	logFC	logCPM	PValue
A	1	CTRL	SUN+LOP	HBB	2.44672768734894	7.72956117957747	1.46021619271956e-79
A	1	CTRL	SUN+LOP	VIM	0.778993629342233	11.2438409293875	3.92555782244987e-16
A	1	CTRL	SUN+LOP	FABP4	0.964670018583308	5.64600851475524	9.85832518483531e-11
A	1	CTRL	SUN+LOP	S100A4	-0.574118164921317	9.65915799264494	1.14556397469731e-07
A	1	CTRL	SUN+LOP	HMGB2	0.628537222476795	7.60008821475499	3.74605378672333e-07
A	1	CTRL	SUN+LOP	CCL2	0.600586931204909	7.80450872057171	2.41060175786413e-06
A	1	CTRL	SUN+LOP	NSA2	0.665783881131473	7.10965482027067	3.57362418066085e-06
A	1	CTRL	SUN+LOP	MT2A	0.501461716394491	9.07154438791916	5.00572126788146e-06
A	1	CTRL	SUN+LOP	IRX3	3.02957002098311	1.54908111572958	5.95440130500543e-06
A	1	CTRL	SUN+LOP	STK17B	-0.711353620864236	6.91186366631384	1.6870941935332e-05
A	1	CTRL	SUN+LOP	NCL	-0.460479033144514	8.69351257386474	4.62194122736994e-05
A	1	CTRL	SUN+LOP	LBH	0.555090687404053	7.43601186700189	6.02793957923947e-05
A	1	CTRL	SUN+LOP	ACTB	-0.415703469997668	10.5181562848025	8.66813094897447e-05
A	1	CTRL	SUN+LOP	MYH10	-0.420329205937617	9.65578100378837	9.4480791681124e-05
A	1	CTRL	SUN+LOP	RMND1	0.778159615427464	5.0240371858226	9.67957225128147e-05
A	1	CTRL	SUN+LOP	THBS1	-0.460946596223173	9.4147425790903	9.96148185892009e-05
A	1	CTRL	SUN+LOP	SYNM	-0.947577371490013	5.0241842431456	0.000121503341574428
A	1	CTRL	SUN+LOP	PRPF38B	-1.05579011324462	4.922502335445	0.000127997100626949
A	1	CTRL	SUN+LOP	SH3PXD2A	-0.513256287719392	7.37006153752837	0.000129973230114814
A	1	CTRL	SUN+LOP	RRBP1	-0.599156121885883	7.27238965255158	0.000135655931915527
A	1	CTRL	SUN+LOP	KDELR3	-0.571259544626511	6.78808715282421	0.000154963393867939
A	1	CTRL	SUN+LOP	CDKN2B	-0.58128251712111	6.10948907889725	0.000158594808970079
A	1	CTRL	SUN+LOP	SLN	-0.844458072443347	5.45345771917251	0.000186696701737555
A	1	CTRL	SUN+LOP	OXTR	-0.867211046024619	4.45437150213438	0.000193407976605902
A	1	CTRL	SUN+LOP	AMOTL1	-1.01630875608345	4.75360988775682	0.000214827069166883
A	1	CTRL	SUN+LOP	PTRF	-0.545118299118321	7.30059080441429	0.000215787909861012
A	1	CTRL	SUN+LOP	OMD	-1.46167828022946	3.53604634298488	0.000218269855260544
A	1	CTRL	SUN+LOP	AHNAK	-0.44590901780634	8.14597171952864	0.00025724773821277
A	1	CTRL	SUN+LOP	FAM98A	-0.701370690813248	6.06487454657763	0.000284406266463502
A	1	CTRL	SUN+LOP	RPE	-0.927022884100758	4.27754079412437	0.000298800301601759
A	1	CTRL	SUN+LOP	LETMD1	0.598354214442896	5.84682463507658	0.000309682518703715
A	1	CTRL	SUN+LOP	ACTA2	-0.362903520806128	12.2134597626163	0.000332008729357749
A	1	CTRL	SUN+LOP	ADAMTS1	-0.683486372850161	5.49898089863131	0.000344921856466087
A	1	CTRL	SUN+LOP	RGS5	-0.630740365552997	5.97696501222514	0.000358464345075336
A	1	CTRL	SUN+LOP	C12orf23	-0.568526253401258	6.58127615890176	0.000361790221876688
A	1	CTRL	SUN+LOP	LOC339524	2.73999710282081	1.31889041003223	0.000404658365611564
A	1	CTRL	SUN+LOP	LMOD1	-0.561181091392857	5.71175473349877	0.000405537602196475
A	1	CTRL	SUN+LOP	VCAN	-0.382023295837054	9.49629710249366	0.000407659492185961
A	1	CTRL	SUN+LOP	MEIS1	-0.890631630232823	4.38328521734525	0.000425469218525897
A	1	CTRL	SUN+LOP	EXOG	-1.84630363457248	3.29585696186014	0.000441337486303096
