Cell	Plate	Condition1	Condition2	Gene	logFC	logCPM	PValue
A	1	CTRL	SUN+URS	HBB	-2.20846509598389	6.67074113325465	2.27669179996653e-43
A	1	CTRL	SUN+URS	VIM	0.82555211125336	11.2462264003717	2.67721867823034e-21
A	1	CTRL	SUN+URS	RPL28	0.732698123371707	10.4561681625665	2.31047346763889e-16
A	1	CTRL	SUN+URS	S100A4	-0.767064602282347	9.62127904006227	6.36023289304012e-14
A	1	CTRL	SUN+URS	COL21A1	-1.46211972509037	4.93437836230851	1.095790320278e-10
A	1	CTRL	SUN+URS	MT2A	0.587336163646613	9.08291420060782	8.03779297923695e-10
A	1	CTRL	SUN+URS	COL14A1	-0.678999864622534	7.17866512906882	7.49217070153086e-08
A	1	CTRL	SUN+URS	RBM3	0.550702633492564	7.76496731470946	1.93015692737653e-07
A	1	CTRL	SUN+URS	RAB31	0.552528576242674	7.09540377863024	1.46374836347616e-06
A	1	CTRL	SUN+URS	BEND5	2.76487793905644	1.47985444302442	1.98725124446713e-06
A	1	CTRL	SUN+URS	ACTN4	0.644702259234786	5.80924809679072	3.76198118761419e-06
A	1	CTRL	SUN+URS	TIMP3	-0.459647158431639	9.75423568986583	4.50820648359578e-06
A	1	CTRL	SUN+URS	C10orf10	0.562250488304448	6.54553520576842	5.08584710976648e-06
A	1	CTRL	SUN+URS	SH3BGR	0.441026208773441	8.71867062802883	7.91994950710455e-06
A	1	CTRL	SUN+URS	PTK7	1.05603772696103	3.60487337969464	1.76284228388908e-05
A	1	CTRL	SUN+URS	GREM1	-0.697506534280602	5.85538473248685	1.99769806748161e-05
A	1	CTRL	SUN+URS	PTX3	-0.578269021427155	6.665413343621	2.03706555865937e-05
A	1	CTRL	SUN+URS	VCAM1	-0.853601984145269	4.97524276238456	2.10579794568592e-05
A	1	CTRL	SUN+URS	FGF7	-0.440195283670615	8.98406873143588	2.29753385384416e-05
A	1	CTRL	SUN+URS	OGN	-1.22458155129444	3.93812360086629	2.9466275900127e-05
A	1	CTRL	SUN+URS	OMD	-1.48295876284378	3.44261352873478	3.01052614356442e-05
A	1	CTRL	SUN+URS	TAGLN	0.371505793097973	11.3037285830945	3.43172947862384e-05
A	1	CTRL	SUN+URS	ZNF449	1.2890829793495	2.79549915037582	5.21826643398851e-05
A	1	CTRL	SUN+URS	TXNIP	0.446205247571545	6.9433443636039	9.45004557676286e-05
A	1	CTRL	SUN+URS	MGP	-0.378431057699693	10.2005765392254	0.000104702386412019
A	1	CTRL	SUN+URS	ANTXR2	0.528907264122866	6.14711684077356	0.000114705652015448
A	1	CTRL	SUN+URS	FOXP1	-0.575049754655556	6.19742708543846	0.000147050954390663
A	1	CTRL	SUN+URS	NPR3	-0.463447948409294	7.43992322885649	0.000152706900444724
A	1	CTRL	SUN+URS	BMP6	0.899071885261884	3.7379237362164	0.000157881662003296
A	1	CTRL	SUN+URS	C3	0.841838535508848	3.79709449619525	0.000230491363765991
A	1	CTRL	SUN+URS	COL12A1	-0.430715829233702	7.79762595511176	0.000238555904234081
A	1	CTRL	SUN+URS	PRSS23	-0.403943542968208	8.2674277338852	0.000244038564674992
A	1	CTRL	SUN+URS	DTD1	0.629447929013913	4.92360076878618	0.000257880312221663
A	1	CTRL	SUN+URS	COL11A1	1.20155574930735	2.83778678151316	0.000270212192897606
A	1	CTRL	SUN+URS	PFKFB4	1.22799934435477	2.63481602014894	0.000303274045504676
A	1	CTRL	SUN+URS	LOC645638	-0.506052999542051	6.30949225216765	0.000330323390127808
A	1	CTRL	SUN+URS	H19	-0.65408936756965	5.27608887078998	0.000344688112237512
A	1	CTRL	SUN+URS	ACADSB	1.13513808000873	2.87548319879159	0.000346593620522533
A	1	CTRL	SUN+URS	CCPG1	0.393446158340569	7.29867097313331	0.000385394215849879
A	1	CTRL	SUN+URS	HDX	1.60340004942982	1.97572066102638	0.000386038328717118
