Cell	Plate	Condition1	Condition2	Gene	logFC	logCPM	PValue
A	1	CTRL	TRS+DOM	HBB	-3.71886701013608	6.64493426701561	1.42612752554901e-55
A	1	CTRL	TRS+DOM	PDGFA	0.691874470883026	5.71995039292644	9.46275668678555e-07
A	1	CTRL	TRS+DOM	CSNK1G3	-1.0407529691594	4.02464941946215	1.41807209816294e-05
A	1	CTRL	TRS+DOM	ADAM19	1.08481835000139	2.76241092523598	2.64487033760018e-05
A	1	CTRL	TRS+DOM	SAA1	-2.15747965245827	2.70663678910985	6.20602657901192e-05
A	1	CTRL	TRS+DOM	MYOZ2	0.985420746558141	3.29873120221801	9.87464156864202e-05
A	1	CTRL	TRS+DOM	ARFGEF2	-0.800143684139854	4.09707577628204	0.000156665345361296
A	1	CTRL	TRS+DOM	CTDSP2	-0.554196844859178	5.72423362222123	0.00016609834936664
A	1	CTRL	TRS+DOM	MYH11	0.682894659958389	3.58849181961211	0.000423862480837709
A	1	CTRL	TRS+DOM	PRDM6	2.06542156587406	1.0080733127584	0.000453913958970831
A	1	CTRL	TRS+DOM	ZNF449	1.085134408097	2.72435880236685	0.000483170005930101
A	1	CTRL	TRS+DOM	DHRS3	-0.459752203919195	6.74438578772155	0.000490464440898413
A	1	CTRL	TRS+DOM	CA3	0.649635743727594	4.39483165550264	0.000511976862131026
A	1	CTRL	TRS+DOM	TNFAIP3	-1.85033940182296	2.37686992259083	0.000520605305809886
A	1	CTRL	TRS+DOM	OIP5-AS1	0.578419123317134	4.12244470861153	0.000761909360395875
A	1	CTRL	TRS+DOM	OPA1	-0.651259792552292	4.14339154351614	0.000897935775573792
A	1	CTRL	TRS+DOM	TSHZ1	-1.23453018763145	2.3397890289592	0.000927049406237794
A	1	CTRL	TRS+DOM	COL14A1	0.399106542528085	7.3721491546229	0.000985450361883215
A	1	CTRL	TRS+DOM	GATS	-1.86686455538239	2.01498657326735	0.000986454041100443
A	1	CTRL	TRS+DOM	RALGAPA2	-1.36529229702924	1.84982789440371	0.00100045623417034
A	1	CTRL	TRS+DOM	ZXDC	-0.610696699906284	4.70123808888612	0.00110013779642042
A	1	CTRL	TRS+DOM	FABP4	-0.95653459936519	5.29710651817165	0.00110283587349248
A	1	CTRL	TRS+DOM	C7orf10	0.432772606296167	6.13615568509756	0.00132593101155137
A	1	CTRL	TRS+DOM	ANP32E	0.407271349987579	6.76936420010365	0.00133320520053387
A	1	CTRL	TRS+DOM	PELI1	-1.78618483060466	2.3827543795927	0.0016542726542515
A	1	CTRL	TRS+DOM	WBP4	0.453485531343142	5.59084508732157	0.00166172671806042
A	1	CTRL	TRS+DOM	C3	-1.01902465322142	3.43673255278449	0.00169360940894953
A	1	CTRL	TRS+DOM	CDKN3	0.848123196925428	2.92778629615452	0.00174031989353103
A	1	CTRL	TRS+DOM	VEPH1	0.367096476285091	7.48905813803274	0.0019938287499024
A	1	CTRL	TRS+DOM	CMSS1	0.448064403571342	5.71297362999463	0.00211581714208873
A	1	CTRL	TRS+DOM	MB21D1	1.32624286240505	1.69027508293552	0.00222464831851443
A	1	CTRL	TRS+DOM	LRR1	0.650849294260094	3.91540393917723	0.00236636868431809
A	1	CTRL	TRS+DOM	IRS1	-1.23513747339019	2.10451698664245	0.00244935074140918
A	1	CTRL	TRS+DOM	IL8	-1.23614158239703	2.48736676696469	0.00263186098109456
A	1	CTRL	TRS+DOM	GEM	0.366559902783719	7.42585321159761	0.00279188837642571
A	1	CTRL	TRS+DOM	TGM2	-1.21403741003794	2.34568882286573	0.00283722381837063
A	1	CTRL	TRS+DOM	TEX261	-0.715209895269233	4.23217234814372	0.0028890553674465
A	1	CTRL	TRS+DOM	HBA2	-3.22996116089645	1.35525735149803	0.00297591254273335
A	1	CTRL	TRS+DOM	SLC39A1	-0.624990110253244	4.28099312480506	0.0029866724751557
A	1	CTRL	TRS+DOM	LRP11	-1.0265526230264	3.29689852933035	0.0030109375193723
