Cell	Plate	Condition1	Condition2	Gene	logFC	logCPM	PValue
A	1	CTRL	TRS+LOP	HBB	-1.52946425598124	6.73017989100157	9.21754965520625e-26
A	1	CTRL	TRS+LOP	DDIT3	0.553828018351401	7.78451411951169	5.22573609354811e-08
A	1	CTRL	TRS+LOP	CCL2	-0.534947684399639	7.60156187974557	4.86640786949366e-06
A	1	CTRL	TRS+LOP	LEP	0.625543050229779	5.39409421368638	4.29762334434047e-05
A	1	CTRL	TRS+LOP	LGR4	0.630299311536205	4.8452126680778	0.000192476276174535
A	1	CTRL	TRS+LOP	DHRS3	-0.499038874544373	6.75381625097024	0.000202857227863215
A	1	CTRL	TRS+LOP	SRSF5	-0.450931389947949	7.14284944881515	0.000257038357748142
A	1	CTRL	TRS+LOP	ZNF449	1.16231267549515	2.7791569601838	0.000278299733933668
A	1	CTRL	TRS+LOP	CHORDC1	0.676047298033394	4.48478481053717	0.000395613775241002
A	1	CTRL	TRS+LOP	SLC20A1	0.465665337992968	6.12103281246029	0.000574714346805066
A	1	CTRL	TRS+LOP	BDH2	-0.536640470294729	5.94361799856392	0.000602540838592627
A	1	CTRL	TRS+LOP	MAP3K6	1.9883342478508	1.61365705337545	0.00061767836844166
A	1	CTRL	TRS+LOP	FAM135A	1.5946398260174	1.91983322125708	0.000643536965126399
A	1	CTRL	TRS+LOP	DCTN2	-0.764060998303718	4.59117984621538	0.00066921249915018
A	1	CTRL	TRS+LOP	JAG1	0.557257947415156	4.93218947313607	0.000929531419958908
A	1	CTRL	TRS+LOP	LANCL2	0.677561605736462	4.31142874370095	0.00104208242400048
A	1	CTRL	TRS+LOP	RPL6	-0.295966571037801	12.203462716334	0.00107124637447489
A	1	CTRL	TRS+LOP	TM4SF1	-0.381856731412909	7.44866447438735	0.00107440966707432
A	1	CTRL	TRS+LOP	LTA4H	-0.405956668639985	7.04020701069378	0.00119184142786917
A	1	CTRL	TRS+LOP	MMP1	-1.43838946989363	3.09556670221042	0.00119205004562482
A	1	CTRL	TRS+LOP	UBAC1	-1.28506152943318	3.07926013428009	0.00149544710227967
A	1	CTRL	TRS+LOP	ANKRD27	1.17923617260997	2.57432241702191	0.00152174591064457
A	1	CTRL	TRS+LOP	LINC00672	-1.87378497899681	2.56265125420888	0.00153545377960047
A	1	CTRL	TRS+LOP	CDC34	1.33044535699569	2.11001093738667	0.00162059985179411
A	1	CTRL	TRS+LOP	TRIM33	0.830886006053776	3.50347630252267	0.00165737610843857
A	1	CTRL	TRS+LOP	DUSP10	0.759745326208025	3.73475215572302	0.00173641146416941
A	1	CTRL	TRS+LOP	PPP4R1	0.643863008377408	4.14583273252677	0.00204525095100284
A	1	CTRL	TRS+LOP	ALDH2	-0.683152874779054	4.53151157175461	0.00221396452101197
A	1	CTRL	TRS+LOP	FAM173A	1.86765322165667	1.48890076520892	0.002485124682191
A	1	CTRL	TRS+LOP	NDRG3	-0.596630469054488	4.85713189757074	0.00251189413439635
A	1	CTRL	TRS+LOP	PRR26	2.06115032897261	1.32594722932812	0.00256791817037702
A	1	CTRL	TRS+LOP	AHCY	-0.43665760777064	6.16738755077698	0.00270400919505395
A	1	CTRL	TRS+LOP	PDHA1	-0.464571631978492	5.84936312148988	0.00273624347951929
A	1	CTRL	TRS+LOP	C9orf69	1.21884691868903	2.36664332119433	0.00278115600287156
A	1	CTRL	TRS+LOP	TIMP3	0.273407337282792	9.90081745288476	0.00292284337534914
A	1	CTRL	TRS+LOP	F5	1.43701928000613	1.87994652071612	0.00292509094827877
A	1	CTRL	TRS+LOP	AASS	-1.05521974879963	3.38150903875647	0.00296207750156543
A	1	CTRL	TRS+LOP	MDK	0.820210287821788	3.38156872297315	0.00296583835971811
A	1	CTRL	TRS+LOP	PRUNE2	0.746280124240146	3.64702461253947	0.00301043695443642
A	1	CTRL	TRS+LOP	PPP2R5E	0.748893761833548	3.51984425867163	0.00304428521781307
