Cell	Plate	Condition1	Condition2	Gene	logFC	logCPM	PValue
A	1	CTRL	TRS	HBB	-1.73869737496223	6.60166502945361	1.94969481149962e-44
A	1	CTRL	TRS	RGS5	0.942638878698683	6.37944245702801	1.72377657146725e-17
A	1	CTRL	TRS	FABP4	-1.18870895912176	5.18046302554465	1.67048783449025e-13
A	1	CTRL	TRS	PTX3	0.625458195382715	6.97246511307305	3.08718440328732e-09
A	1	CTRL	TRS	TRIB3	0.872426054514084	4.7299933466741	5.55677302684923e-08
A	1	CTRL	TRS	SLN	0.654228986199735	5.7507265610652	2.06122267460002e-07
A	1	CTRL	TRS	DHRS3	-0.598620690276871	6.70069552342507	5.06757515543651e-07
A	1	CTRL	TRS	OMD	0.98947825886213	3.93268812050653	1.45313170278698e-06
A	1	CTRL	TRS	GADD45B	0.925360664667137	4.07592280660146	2.68485379702861e-06
A	1	CTRL	TRS	DDIT3	0.423963671232772	7.79410496174596	2.85762033141554e-06
A	1	CTRL	TRS	ASPN	0.460236310027429	7.36336685028569	3.60193007030073e-06
A	1	CTRL	TRS	TNFAIP6	0.43862375891122	7.67595762540827	3.89787173826893e-06
A	1	CTRL	TRS	AHNAK	0.397810248279506	8.34704494273323	6.88355673635825e-06
A	1	CTRL	TRS	ACTA2	0.343622598678445	12.3836573168081	7.03545525907189e-06
A	1	CTRL	TRS	SAA1	-1.68258040353497	2.8033325716253	1.20443836213615e-05
A	1	CTRL	TRS	ERV3-1	-0.941850386238548	4.25426644752951	3.35469115683775e-05
A	1	CTRL	TRS	SREBF1	1.84224760434409	1.88853815297949	3.69180022971629e-05
A	1	CTRL	TRS	OGN	0.774362125583494	4.34033412147272	3.90910972626099e-05
A	1	CTRL	TRS	KLF6	0.567371202356534	5.28619174542547	4.47076891077536e-05
A	1	CTRL	TRS	BRPF1	-2.26863747962593	2.5020783432105	4.5525592952115e-05
A	1	CTRL	TRS	C6orf211	0.604184568389056	5.03921057252699	5.31098952130698e-05
A	1	CTRL	TRS	NPL	1.66243751329903	1.94238502947811	0.000145451777468508
A	1	CTRL	TRS	LOC646762	-1.09848596370652	3.59720349355331	0.000209554307745431
A	1	CTRL	TRS	MT2A	-0.33105053810685	8.88807803447026	0.000212138488067839
A	1	CTRL	TRS	PPRC1	-1.24555821806431	3.31895980530111	0.000223542689204546
A	1	CTRL	TRS	SAA2	-4.13903397284609	1.57118271820596	0.000224775782219211
A	1	CTRL	TRS	HILPDA	-0.474857681492922	6.13084173593535	0.000261241275914229
A	1	CTRL	TRS	LOC643401	-0.770800823194352	4.42123060935549	0.000326659573406642
A	1	CTRL	TRS	HERPUD1	0.388047992599497	6.63214199672124	0.000364208169123194
A	1	CTRL	TRS	INHBA	0.331981071883563	7.82629503965414	0.000385807020532592
A	1	CTRL	TRS	MDK	0.850104900869609	3.45902313896722	0.000397763454066233
A	1	CTRL	TRS	LOC100134229	1.74148531228133	1.73846458740603	0.000419058560924244
A	1	CTRL	TRS	MBTPS2	-0.820933870988511	4.0380117213638	0.000432045120487344
A	1	CTRL	TRS	PPP1R14A	0.680073631407554	4.17092832929559	0.000451715052476955
A	1	CTRL	TRS	RPS24	0.271352910016585	11.3520015536712	0.000473287023117194
A	1	CTRL	TRS	ADAM21	-2.95556786428233	1.74683499946103	0.000477693545732638
A	1	CTRL	TRS	FIBIN	0.568837518570485	4.67410196648455	0.000487815266075173
A	1	CTRL	TRS	SDPR	0.310697569529362	8.21571506715427	0.000516018976629697
A	1	CTRL	TRS	RGS4	0.398570119746322	6.30765609134638	0.000536765467232738
A	1	CTRL	TRS	DIO2	1.34364184176804	2.18571190922899	0.000691530666285508
