Time	Species	Cell	State	Experiment	Dish	Plate	Well	ID
48	Human	A	ALE	7	17	1	F7	ALE.A.7.17.1.F7
48	Human	A	ALE	7	18	1	F8	ALE.A.7.18.1.F8
48	Human	A	ALE	8	13	1	G10	ALE.A.8.13.1.G10
48	Human	A	CRI	8	20	1	H5	CRI.A.8.20.1.H5
48	Human	A	CTRL	3	5	1	A4	CTRL.A.3.5.1.A4
48	Human	A	CTRL	4	1	1	A8	CTRL.A.4.1.1.A8
48	Human	A	CTRL	4	2	1	A9	CTRL.A.4.2.1.A9
48	Human	A	CTRL	4	3	1	A10	CTRL.A.4.3.1.A10
48	Human	A	CTRL	5	1	1	B11	CTRL.A.5.1.1.B11
48	Human	A	CTRL	5	2	1	B12	CTRL.A.5.2.1.B12
48	Human	A	CTRL	5	2	1	H10	CTRL.A.5.2.1.H10
48	Human	A	CTRL	5	2	1	H9	CTRL.A.5.2.1.H9
48	Human	A	CTRL	5	3	1	C1	CTRL.A.5.3.1.C1
48	Human	A	CTRL	6	1	1	C9	CTRL.A.6.1.1.C9
48	Human	A	CTRL	6	2	1	C10	CTRL.A.6.2.1.C10
48	Human	A	CTRL	6	3	1	C11	CTRL.A.6.3.1.C11
48	Human	A	CTRL	7	1	1	E3	CTRL.A.7.1.1.E3
48	Human	A	CTRL	7	2	1	E4	CTRL.A.7.2.1.E4
48	Human	A	CTRL	8	1	1	F11	CTRL.A.8.1.1.F11
48	Human	A	DIC	8	7	1	G5	DIC.A.8.7.1.G5
48	Human	A	DIC	8	8	1	G6	DIC.A.8.8.1.G6
48	Human	A	DOM	4	13	1	B7	DOM.A.4.13.1.B7
48	Human	A	DOM	4	14	1	B8	DOM.A.4.14.1.B8
48	Human	A	DOM	5	11	1	C7	DOM.A.5.11.1.C7
48	Human	A	DTP	7	9	1	E11	DTP.A.7.9.1.E11
48	Human	A	DTP	7	10	1	E12	DTP.A.7.10.1.E12
