Cell	Plate	Condition1	Condition2	Gene	logFC	logCPM	PValue	FDR
A	1	CTRL	ALE	AHNAK	-0.503706332979823	8.1248917804269	2.42597320973177e-05	0.0245975022134419
A	1	CTRL	ALE	ALKBH7	0.823807826941341	4.48925490023925	3.31810410524844e-05	0.0312399501509141
A	1	CTRL	ALE	BOD1L1	-0.841908331267939	5.43188333915746	7.4698747021399e-05	0.0518212728678452
A	1	CTRL	ALE	CDR1	0.5118491199917	7.03012234664195	6.10041079387824e-05	0.0472997145141818
A	1	CTRL	ALE	CREB3L4	1.34305167431487	2.83643884065169	0.000110207458096748	0.0629524845143993
A	1	CTRL	ALE	FAM98A	-0.744173438339766	6.03018706970188	9.01653566841041e-06	0.0118846956645318
A	1	CTRL	ALE	GOLGA4	-0.545576826619616	7.19105082675281	8.07032927588098e-05	0.0531875050926936
A	1	CTRL	ALE	GPR1	0.548407932507087	6.72727978197902	2.31079382294825e-05	0.0245975022134419
A	1	CTRL	ALE	HERPUD1	0.497215038858866	6.60462951326758	0.00011940005408239	0.0629524845143993
A	1	CTRL	ALE	HMGB2	0.458824894114302	7.55092263978258	6.745412124232e-05	0.0493951540052789
A	1	CTRL	ALE	LBH	0.575044088587287	7.45017463145783	5.02780524685624e-07	0.0011045250159802
A	1	CTRL	ALE	MARCKS	-0.455043114753614	7.99698416916825	0.000126594584191523	0.0641785851626332
A	1	CTRL	ALE	MTHFD2	0.548295533513488	8.7671906397095	1.09233803513228e-07	0.000359952691026963
A	1	CTRL	ALE	PAFAH1B2	-0.586929845483484	6.57231614399905	0.000118375401257952	0.0629524845143993
A	1	CTRL	ALE	PPP3CA	-0.669519817550288	5.58800222853857	0.00017759361781687	0.0836021955872916
A	1	CTRL	ALE	RAC1	-0.541004664117417	7.38399978548147	3.63971477983525e-05	0.0319833870086723
A	1	CTRL	ALE	RCAN1	0.882941830765048	4.74167400370969	6.56724446569305e-06	0.00961809436692224
A	1	CTRL	ALE	RPL10A	0.541405340585679	11.4291724031767	4.92380331074895e-09	2.16335504796606e-05
A	1	CTRL	ALE	RPL7A	0.425315487889961	11.1229895475314	5.5953747322365e-06	0.00921907929320116
A	1	CTRL	ALE	RPS21	0.570868153635682	10.4903513310373	1.53692122033547e-09	1.01290793026209e-05
A	1	CTRL	ALE	RPS27A	0.342010118847692	12.2665374902137	0.000219888000727642	0.0999428875031397
A	1	CTRL	ALE	RPS4X	0.392564744244358	11.9614930542181	2.25419495170055e-05	0.0245975022134419
A	1	CTRL	ALE	STK17B	-0.554127426806181	6.90692684773087	0.000115176074215694	0.0629524845143993
A	1	CTRL	ALE	TARS	0.452174549203702	7.5043718100544	0.000114574836402659	0.0629524845143993
A	1	CTRL	ALE	THBS1	-0.433121511188575	9.40046027047945	5.05939411852771e-05	0.0416799211726961
A	1	CTRL	ALE	TNFAIP6	0.587086769959876	7.65081687925021	3.44284505324172e-07	0.000907602812935581
A	1	CTRL	ALE	TSLP	1.11995278366065	3.94162743540891	2.010934495585e-06	0.00378658965518655
A	1	CTRL	ALE	VIM	1.01159571256843	11.304115185744	2.97905330078795e-29	3.9266901557686e-25
A	1	CTRL	ALE	WNK1	0.51845476971688	6.2890255833342	0.000167690655625316	0.08186409377027
