Cell	Plate	Condition1	Condition2	Gene	logFC	logCPM	PValue	FDR
A	1	CTRL	SOR+URS	A1BG	-1.24363987180161	4.36270724744353	0.0137944760096869	0.0656997109951161
A	1	CTRL	SOR+URS	AAGAB	-1.64688241317565	5.30565372692879	2.46717194213708e-05	0.000279164243392117
A	1	CTRL	SOR+URS	AAMDC	-1.96345553404684	6.59958870645204	8.61384725742832e-13	3.01000988789654e-11
A	1	CTRL	SOR+URS	AAMP	-1.38158557507164	4.49168740877077	0.0124840161358136	0.0607874839340344
A	1	CTRL	SOR+URS	AAR2	-0.814712600020431	5.15432232457276	0.0148809048840231	0.0699408307005487
A	1	CTRL	SOR+URS	AASDHPPT	-0.574976459310728	5.98229426672488	0.020928799413769	0.0908208580553774
A	1	CTRL	SOR+URS	ABCA1	-1.12723433833371	7.62435716850604	1.22220463880988e-09	2.87284036413784e-08
A	1	CTRL	SOR+URS	ABCC13	2.41018247006163	1.57686820373067	0.0182344672393033	0.0821476017191999
A	1	CTRL	SOR+URS	ABL2	1.0880434866903	4.69603506429099	0.000404693286738939	0.00334531091991853
A	1	CTRL	SOR+URS	ABRACL	-0.851826962246179	5.40979325704939	0.0174185560363087	0.0792077622959355
A	1	CTRL	SOR+URS	ACAA2	-0.699123891508175	6.09505013050517	0.0146378631176308	0.0690871192070482
A	1	CTRL	SOR+URS	ACACB	2.32398824341272	1.96105600115973	0.00374229134713974	0.0226675395736083
A	1	CTRL	SOR+URS	ACADM	-0.716607779091124	5.78380043768019	0.0137160620001924	0.0654216110512826
A	1	CTRL	SOR+URS	ACADVL	0.94443649836047	4.99673487745178	0.00058769158966094	0.00464361631516253
A	1	CTRL	SOR+URS	ACAT1	-0.622967326778759	6.34704659187057	0.00335739776529906	0.0206970902805157
A	1	CTRL	SOR+URS	ACBD3	1.41470329548294	5.54533279792309	3.00498800002994e-11	8.82521082525646e-10
A	1	CTRL	SOR+URS	ACN9	-1.19972698946046	5.41512948863842	0.000507639824694904	0.00407015022634215
A	1	CTRL	SOR+URS	ACO2	-5.53434460543123	2.84521681525578	0.00232535137412612	0.0151646791958354
A	1	CTRL	SOR+URS	ACOT13	-0.85339986965489	6.70935363365982	0.000290401402500946	0.00252930834631451
A	1	CTRL	SOR+URS	ACOT8	-5.98380806332613	3.18770322248734	0.000239503771291472	0.0021394906267999
A	1	CTRL	SOR+URS	ACOT9	-0.742785030862037	5.81801484296977	0.0112996701075933	0.0562787304253571
A	1	CTRL	SOR+URS	ACP1	-1.17809691400641	8.22390482760793	4.67581362563137e-13	1.69274815161708e-11
A	1	CTRL	SOR+URS	ACTA2	-1.59136512470754	12.1920590161434	1.50190471024462e-46	1.96283926581869e-43
A	1	CTRL	SOR+URS	ACTG1	-0.761891405888291	11.8333053561653	3.64347494270178e-13	1.34510096119123e-11
A	1	CTRL	SOR+URS	ACTL6A	-1.54577946004752	5.88994528055301	3.1098010160066e-06	4.19855263204444e-05
A	1	CTRL	SOR+URS	ACTN4	-0.668474786935202	5.73630175123382	0.0214089210917681	0.0923105211970694
A	1	CTRL	SOR+URS	ACTR10	-0.681046415475923	7.104085645484	0.000622142830035773	0.00486873332080091
A	1	CTRL	SOR+URS	ACTR1A	-0.65789946629012	6.28057922866924	0.00835117805301507	0.0439101093690169
A	1	CTRL	SOR+URS	ACTR2	-0.636787636061108	7.13018491667056	0.000590932793542447	0.00466640524399169
A	1	CTRL	SOR+URS	ADAM10	-0.937437022920787	5.27145252500602	0.00665491152076373	0.0363447716944677
A	1	CTRL	SOR+URS	ADH1B	1.90568716438534	2.88520291700289	0.000411050988684876	0.00338929045496697
A	1	CTRL	SOR+URS	ADH5	-0.999074039454748	7.97898605641103	1.38515888834325e-09	3.22685231938645e-08
A	1	CTRL	SOR+URS	ADIPOQ	1.4328563319524	3.11469723198345	0.0042385743397249	0.0251790582026658
A	1	CTRL	SOR+URS	ADK	-1.35963290088797	5.37884812967967	0.000227141031480022	0.00204583469359918
A	1	CTRL	SOR+URS	ADNP	0.960589177735183	4.05618782378246	0.0210835681287868	0.0914166102213868
A	1	CTRL	SOR+URS	ADO	1.2904587487932	3.69068996968257	0.00330456040344458	0.0204386469184269
A	1	CTRL	SOR+URS	ADRBK1	-1.58565123118659	3.61019182341656	0.0164612897733696	0.0758577560113425
A	1	CTRL	SOR+URS	ADRM1	-1.12825088761985	4.7141561589342	0.00904505434976922	0.0468445576655505
A	1	CTRL	SOR+URS	ADSL	-1.21851068522538	6.511500120785	2.62529847773133e-06	3.63069056142548e-05
A	1	CTRL	SOR+URS	AEBP1	1.26834501387874	6.45100995737204	4.58830822495264e-13	1.66568333866406e-11
A	1	CTRL	SOR+URS	AFF2	2.25084961476846	2.19212043511115	0.00093078952779276	0.00688426051993412
A	1	CTRL	SOR+URS	AFF4	0.617598589196171	5.76358605558042	0.0102595531436256	0.0520303065712233
A	1	CTRL	SOR+URS	AFG3L2	-0.854028229035333	5.54365314703853	0.00991006405988659	0.0505772365755392
A	1	CTRL	SOR+URS	AGA	-0.755309388324345	5.80112993573279	0.00628161178459433	0.0345806168546181
A	1	CTRL	SOR+URS	AGMAT	1.59265285424532	2.82931763969089	0.00914311588234122	0.0472858652419143
A	1	CTRL	SOR+URS	AHR	0.985877430151844	6.09601832093685	5.93632468165187e-07	9.26243594967072e-06
A	1	CTRL	SOR+URS	AHSA2	1.55627630535054	3.12503499912104	0.0015853306852683	0.0108702448718633
A	1	CTRL	SOR+URS	AIF1	2.85051033123623	1.34681238151829	0.0106067986450313	0.0535420052112452
A	1	CTRL	SOR+URS	AIG1	-1.40897761060665	5.39865362947372	1.80833365733725e-05	0.000211576656828474
A	1	CTRL	SOR+URS	AK1	-1.29219360178142	5.73078114982787	7.48335522641094e-05	0.000757552048442793
A	1	CTRL	SOR+URS	AK3	0.663641488934539	5.54025546344239	0.00717271823040351	0.0387196425250489
A	1	CTRL	SOR+URS	AKAP12	2.03983652703055	6.01972596715788	4.88693184851272e-30	1.52065029352887e-27
A	1	CTRL	SOR+URS	AKAP17A	1.81766119657978	3.57070732295602	8.38090245620996e-06	0.000104813410717902
A	1	CTRL	SOR+URS	AKAP9	0.829933382790156	6.97679335492158	4.07020999778635e-07	6.54287508746246e-06
A	1	CTRL	SOR+URS	AKIRIN2	1.4201558320274	3.71223721480989	0.000346381261060732	0.00294909231322652
A	1	CTRL	SOR+URS	AKR1A1	-0.877194350039037	7.14600116590361	5.61387100889614e-06	7.18586485947734e-05
A	1	CTRL	SOR+URS	AKR1C2	-1.76646845538843	3.29954999996503	0.0208653152257632	0.0907485626312462
A	1	CTRL	SOR+URS	AKR1C3	-1.79909907199144	6.99474565939809	1.2123022103461e-13	4.78657933142392e-12
A	1	CTRL	SOR+URS	AKR7A2	-1.90360454959315	6.43758601995091	9.42808416386465e-11	2.58856369616695e-09
A	1	CTRL	SOR+URS	ALDH1L2	0.732880974869685	6.18382446908742	0.000352859796478838	0.00299449654557268
