Cell	Plate	Condition1	Condition2	Gene	logFC	logCPM	PValue	FDR
A	1	CTRL	SUN+DOM	ANGPT1	-0.791214876607314	5.43430978320337	2.34324155293593e-05	0.016194265700843
A	1	CTRL	SUN+DOM	C10orf10	0.525862015057325	6.54157745280808	2.97917358944952e-05	0.0195597642015309
A	1	CTRL	SUN+DOM	CCL11	0.697694360892201	6.63421735409022	1.95786274122126e-08	3.21358695687204e-05
A	1	CTRL	SUN+DOM	COL14A1	-0.637851834049447	7.19239455833803	1.15070329683444e-06	0.00137362590824846
A	1	CTRL	SUN+DOM	COL21A1	-1.30495487001903	4.96136119611007	1.33509267731563e-08	2.50444313511878e-05
A	1	CTRL	SUN+DOM	DDIT3	0.455944674339031	7.74912231978038	1.97278735709122e-05	0.0145592086188317
A	1	CTRL	SUN+DOM	DDIT4	0.640131285551256	4.89598887353398	0.000170613193288072	0.0829748830024321
A	1	CTRL	SUN+DOM	ENO1	0.350044290636516	10.9211096367159	0.000149687866065711	0.0755981295888022
A	1	CTRL	SUN+DOM	FABP4	-1.02870755472472	5.26486579132237	2.85143164344346e-07	0.000374421489100561
A	1	CTRL	SUN+DOM	FKBP2	0.71924814616323	4.8769617485801	4.93335344198088e-05	0.0298584175644969
A	1	CTRL	SUN+DOM	HBB	-2.93604938641177	6.65478654735852	1.60081290995367e-50	2.10202743206017e-46
A	1	CTRL	SUN+DOM	ITGA8	-1.95989011086633	3.13082885101918	1.15736333199024e-05	0.011153597326683
A	1	CTRL	SUN+DOM	LDHA	0.362666225038356	11.282702629341	7.5204778056934e-05	0.0411464141944
A	1	CTRL	SUN+DOM	MT2A	0.734055304156953	9.12844028406119	2.37784056421448e-14	7.80585611217507e-11
A	1	CTRL	SUN+DOM	NTM	0.633974766382203	6.11851610038809	2.32118672013139e-06	0.00253995856850377
A	1	CTRL	SUN+DOM	OGN	-2.3619740079676	3.89503729334449	1.01533889932238e-09	2.22206918116704e-06
A	1	CTRL	SUN+DOM	PGK1	0.414333726545638	9.9332792665204	1.22184963087598e-05	0.011153597326683
A	1	CTRL	SUN+DOM	PTPRR	1.390230462267	2.65143130733507	5.00255263436853e-05	0.0298584175644969
A	1	CTRL	SUN+DOM	RBM3	0.711705228532236	7.81286795255524	2.01999429856005e-11	5.30490902687839e-08
A	1	CTRL	SUN+DOM	RHEB	0.604656173335665	5.41367606185032	0.000125944144311249	0.0661509023580404
A	1	CTRL	SUN+DOM	RPL18	0.827826002018369	8.56460472294269	8.56340681717294e-17	3.74820316387659e-13
A	1	CTRL	SUN+DOM	RPS15	0.404285196465102	9.89642124016027	1.9957791115602e-05	0.0145592086188317
A	1	CTRL	SUN+DOM	RPS9	0.9637561755197	9.68746469360163	2.0730291030623e-25	1.36104725761556e-21
A	1	CTRL	SUN+DOM	S100A4	-0.547909734541517	9.65546198939062	1.21973325190818e-07	0.000177959081453404
A	1	CTRL	SUN+DOM	SH3BGR	0.433713827599929	8.72322573029455	1.50931914993708e-05	0.0123867935986398
A	1	CTRL	SUN+DOM	SLN	-0.727901959184826	5.42808804032498	5.92565474239299e-05	0.0338303358358097
A	1	CTRL	SUN+DOM	TXNIP	0.440143807237544	6.94443593477076	0.00020596507374479	0.0965902636908154
A	1	CTRL	SUN+DOM	VCAM1	-0.958627185966557	4.98028800412938	1.27411438504489e-05	0.011153597326683
