Cell	Plate	Condition1	Condition2	Gene	logFC	logCPM	PValue	FDR
A	1	CTRL	SUN+URS	ACTN4	0.644702259234786	5.80924809679072	3.76198118761419e-06	0.00449796150722744
A	1	CTRL	SUN+URS	ANTXR2	0.528907264122866	6.14711684077356	0.000114705652015448	0.0580234128964298
A	1	CTRL	SUN+URS	BEND5	2.76487793905644	1.47985444302442	1.98725124446713e-06	0.00261363283672316
A	1	CTRL	SUN+URS	BMP6	0.899071885261884	3.7379237362164	0.000157881662003296	0.0716020558161153
A	1	CTRL	SUN+URS	C10orf10	0.562250488304448	6.54553520576842	5.08584710976648e-06	0.00514531239904991
A	1	CTRL	SUN+URS	COL14A1	-0.678999864622534	7.17866512906882	7.49217070153086e-08	0.000140767184380763
A	1	CTRL	SUN+URS	COL21A1	-1.46211972509037	4.93437836230851	1.095790320278e-10	2.88236685845926e-07
A	1	CTRL	SUN+URS	FGF7	-0.440195283670615	8.98406873143588	2.29753385384416e-05	0.0159037711819781
A	1	CTRL	SUN+URS	FOXP1	-0.575049754655556	6.19742708543846	0.000147050954390663	0.0716020558161153
A	1	CTRL	SUN+URS	GREM1	-0.697506534280602	5.85538473248685	1.99769806748161e-05	0.0153863636564785
A	1	CTRL	SUN+URS	HBB	-2.20846509598389	6.67074113325465	2.27669179996653e-43	2.99430505531598e-39
A	1	CTRL	SUN+URS	MGP	-0.378431057699693	10.2005765392254	0.000104702386412019	0.0550818314436348
A	1	CTRL	SUN+URS	MT2A	0.587336163646613	9.08291420060782	8.03779297923695e-10	1.76188422104874e-06
A	1	CTRL	SUN+URS	NPR3	-0.463447948409294	7.43992322885649	0.000152706900444724	0.0716020558161153
A	1	CTRL	SUN+URS	OGN	-1.22458155129444	3.93812360086629	2.9466275900127e-05	0.0188544951619806
A	1	CTRL	SUN+URS	OMD	-1.48295876284378	3.44261352873478	3.01052614356442e-05	0.0188544951619806
A	1	CTRL	SUN+URS	PTK7	1.05603772696103	3.60487337969464	1.76284228388908e-05	0.0153863636564785
A	1	CTRL	SUN+URS	PTX3	-0.578269021427155	6.665413343621	2.03706555865937e-05	0.0153863636564785
A	1	CTRL	SUN+URS	RAB31	0.552528576242674	7.09540377863024	1.46374836347616e-06	0.00213902427515984
A	1	CTRL	SUN+URS	RBM3	0.550702633492564	7.76496731470946	1.93015692737653e-07	0.000317317798860701
A	1	CTRL	SUN+URS	RPL28	0.732698123371707	10.4561681625665	2.31047346763889e-16	1.01291156821289e-12
A	1	CTRL	SUN+URS	S100A4	-0.767064602282347	9.62127904006227	6.36023289304012e-14	2.09124457523159e-10
A	1	CTRL	SUN+URS	SH3BGR	0.441026208773441	8.71867062802883	7.91994950710455e-06	0.00744022685124565
A	1	CTRL	SUN+URS	TAGLN	0.371505793097973	11.3037285830945	3.43172947862384e-05	0.0205155027740276
A	1	CTRL	SUN+URS	TIMP3	-0.459647158431639	9.75423568986583	4.50820648359578e-06	0.00494099430602097
A	1	CTRL	SUN+URS	TXNIP	0.446205247571545	6.9433443636039	9.45004557676286e-05	0.0517862497606605
A	1	CTRL	SUN+URS	VCAM1	-0.853601984145269	4.97524276238456	2.10579794568592e-05	0.0153863636564785
A	1	CTRL	SUN+URS	VIM	0.82555211125336	11.2462264003717	2.67721867823034e-21	1.76053900280427e-17
A	1	CTRL	SUN+URS	ZNF449	1.2890829793495	2.79549915037582	5.21826643398851e-05	0.0298394087564422
