Cell	Plate	Condition1	Condition2	Gene	logFC	logCPM	PValue	FDR
A	1	CTRL	SUN	AHNAK	-0.348752997543696	8.11733055939431	6.02157296014439e-05	0.0542070600119284
A	1	CTRL	SUN	COL15A1	-0.499057699797539	6.06665074271426	1.95368514074941e-05	0.0246222938288648
A	1	CTRL	SUN	COL21A1	-0.882044435395036	4.91611910490857	2.52583337951011e-08	6.36661561639319e-05
A	1	CTRL	SUN	GPR1	0.385026453008112	6.73080901665193	9.08208935005023e-05	0.076307714719122
A	1	CTRL	SUN	HAPLN1	0.344225945020533	7.70217681698421	5.91830680707781e-05	0.0542070600119284
A	1	CTRL	SUN	HBB	-1.5189399299277	6.60924271520113	4.70134349091455e-37	5.92510320159961e-33
A	1	CTRL	SUN	HMGB2	0.336135609476051	7.5579845211132	0.000133428679421629	0.0989177439265167
A	1	CTRL	SUN	MT2A	0.507719017875402	9.1158487015275	5.23372848735882e-11	3.29803400630916e-07
A	1	CTRL	SUN	PRRX1	-0.583096008174811	4.90669180594372	0.000106884673365092	0.0841917211512659
A	1	CTRL	SUN	RBM3	0.449280229428175	7.78572581768431	1.49385849518875e-07	0.000313784976914398
A	1	CTRL	SUN	RPL22	0.309855654843725	10.8042464163128	2.35740049941041e-05	0.027009380449154
A	1	CTRL	SUN	RPS9	0.383197215057928	9.56694413592075	4.83065924463444e-07	0.000809693668956746
A	1	CTRL	SUN	S100A4	-0.494870783219334	9.6189464565319	5.34766065977749e-10	1.68491418237939e-06
A	1	CTRL	SUN	SH3BGR	0.320414540050067	8.72411435079338	5.94782476782492e-05	0.0542070600119284
A	1	CTRL	SUN	SLN	-0.688268115486247	5.3669775109824	5.13968844850747e-07	0.000809693668956746
A	1	CTRL	SUN	THBS1	-0.349960088519714	9.38456541147647	1.23937897820098e-05	0.0173554369580743
A	1	CTRL	SUN	VIM	0.450804531472984	11.1930276421421	4.45050492001436e-10	1.68491418237939e-06
