Gene	DTP.A.7.9.1.E11	DTP.A.7.10.1.E12	DTP.A.8.5.1.G3	Min	Max	Median	Mean	Std
A1BG	29	16	29	16	29	29	24.6666666666667	7.50555349946513
A1BG-AS1	2	1	2	1	2	2	1.66666666666667	0.577350269189626
A1CF	0	0	0	0	0	0	0	0
A2M	15	10	5	5	15	10	10	5
A2M-AS1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
A2ML1	23	2	6	2	23	6	10.3333333333333	11.1504857891185
A4GALT	5	0	1	0	5	1	2	2.64575131106459
A4GNT	0	0	0	0	0	0	0	0
AAAS	43	29	19	19	43	29	30.3333333333333	12.0554275466834
AACS	8	3	1	1	8	3	4	3.60555127546399
AADAC	0	0	0	0	0	0	0	0
AADAT	1	1	0	0	1	1	0.666666666666667	0.577350269189626
AAED1	21	5	7	5	21	7	11	8.71779788708135
AAGAB	100	44	31	31	100	44	58.3333333333333	36.6651514838454
AAK1	70	26	20	20	70	26	38.6666666666667	27.3007936392577
AAMDC	219	78	113	78	219	113	136.666666666667	73.4188894858355
AAMP	40	24	19	19	40	24	27.6666666666667	10.9696551146029
AANAT	0	0	0	0	0	0	0	0
AAR2	60	28	31	28	60	31	39.6666666666667	17.6729548557487
AARD	4	3	2	2	4	3	3	1
AARS	45	26	26	26	45	26	32.3333333333333	10.9696551146029
AARS2	10	4	2	2	10	4	5.33333333333333	4.16333199893227
AARSD1	0	0	0	0	0	0	0	0
AASDH	22	13	8	8	22	13	14.3333333333333	7.09459888459759
AASDHPPT	126	48	63	48	126	63	79	41.3884041731498
AASS	20	6	4	4	20	6	10	8.71779788708135
AATF	25	11	11	11	25	11	15.6666666666667	8.08290376865476
AATK	0	0	0	0	0	0	0	0
ABAT	2	1	0	0	2	1	1	1
ABCA1	373	151	231	151	373	231	251.666666666667	112.433684157966
ABCA10	13	5	7	5	13	7	8.33333333333333	4.16333199893227
ABCA11P	9	4	4	4	9	4	5.66666666666667	2.88675134594813
ABCA12	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ABCA13	7	3	3	3	7	3	4.33333333333333	2.3094010767585
ABCA17P	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ABCA2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ABCA3	2	1	1	1	2	1	1.33333333333333	0.577350269189626
ABCA4	3	0	4	0	4	3	2.33333333333333	2.08166599946613
ABCA5	18	4	14	4	18	14	12	7.21110255092798
ABCA6	40	23	23	23	40	23	28.6666666666667	9.81495457622364
ABCA7	0	0	0	0	0	0	0	0
ABCA8	68	36	37	36	68	37	47	18.1934053986603
ABCA9	103	43	53	43	103	53	66.3333333333333	32.1455025366432
ABCB1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ABCB10	13	7	3	3	13	7	7.66666666666667	5.03322295684717
ABCB5	15	6	6	6	15	6	9	5.19615242270663
ABCB6	30	18	11	11	30	18	19.6666666666667	9.60902353693305
ABCB7	42	12	15	12	42	15	23	16.5227116418583
ABCB8	6	3	1	1	6	3	3.33333333333333	2.51661147842358
ABCB9	0	0	0	0	0	0	0	0
ABCC1	48	14	9	9	48	14	23.6666666666667	21.221058723196
ABCC10	17	7	7	7	17	7	10.3333333333333	5.77350269189626
ABCC11	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0
ABCC13	2	0	1	0	2	1	1	1
ABCC2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ABCC3	7	5	3	3	7	5	5	2
ABCC4	13	4	7	4	13	7	8	4.58257569495584
ABCC5	24	5	17	5	24	17	15.3333333333333	9.60902353693305
ABCC5-AS1	0	0	0	0	0	0	0	0
ABCC6	0	0	0	0	0	0	0	0
ABCC9	3	1	1	1	3	1	1.66666666666667	1.15470053837925
ABCD1	2	0	1	0	2	1	1	1
ABCD2	0	0	0	0	0	0	0	0
ABCD3	39	21	19	19	39	21	26.3333333333333	11.0151410945722
ABCD4	22	6	13	6	22	13	13.6666666666667	8.02080627701064
ABCE1	142	68	74	68	142	74	94.6666666666667	41.1015003781289
ABCF1	184	56	85	56	184	85	108.333333333333	67.1143303127829
ABCF2	87	37	60	37	87	60	61.3333333333333	25.0266524595946
ABCF3	22	8	10	8	22	10	13.3333333333333	7.57187779440036
ABCG1	4	2	5	2	5	4	3.66666666666667	1.52752523165195
ABCG2	0	1	1	0	1	1	0.666666666666667	0.577350269189626
ABCG4	0	0	0	0	0	0	0	0
ABCG5	0	0	0	0	0	0	0	0
ABHD1	0	0	0	0	0	0	0	0
ABHD10	20	10	14	10	20	14	14.6666666666667	5.03322295684717
ABHD11	12	3	5	3	12	5	6.66666666666667	4.72581562625261
ABHD12	10	8	1	1	10	8	6.33333333333333	4.72581562625261
ABHD12B	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ABHD13	41	17	17	17	41	17	25	13.856406460551
ABHD14A	6	1	1	1	6	1	2.66666666666667	2.88675134594813
ABHD14A-ACY1	0	0	0	0	0	0	0	0
