Gene	ENT.A.6.10.1.D5	ENT.A.6.11.1.D6	ENT.A.6.12.1.D7	Min	Max	Median	Mean	Std
A1BG	23	14	7	7	23	14	14.6666666666667	8.02080627701064
A1BG-AS1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
A1CF	0	0	0	0	0	0	0	0
A2M	8	6	1	1	8	6	5	3.60555127546399
A2M-AS1	2	0	0	0	2	0	0.666666666666667	1.15470053837925
A2ML1	5	7	0	0	7	5	4	3.60555127546399
A4GALT	3	2	0	0	3	2	1.66666666666667	1.52752523165195
A4GNT	0	0	0	0	0	0	0	0
AAAS	29	16	10	10	29	16	18.3333333333333	9.71253485622231
AACS	2	3	2	2	3	2	2.33333333333333	0.577350269189626
AADAC	0	0	0	0	0	0	0	0
AADAT	1	2	0	0	2	1	1	1
AAED1	10	5	2	2	10	5	5.66666666666667	4.04145188432738
AAGAB	57	43	20	20	57	43	40	18.6815416922694
AAK1	40	29	13	13	40	29	27.3333333333333	13.5769412362775
AAMDC	169	114	48	48	169	114	110.333333333333	60.5832760201471
AAMP	14	24	11	11	24	14	16.3333333333333	6.80685928555405
AANAT	0	0	0	0	0	0	0	0
AAR2	40	38	9	9	40	38	29	17.3493515728975
AARD	3	3	2	2	3	3	2.66666666666667	0.577350269189626
AARS	30	24	9	9	30	24	21	10.816653826392
AARS2	7	3	2	2	7	3	4	2.64575131106459
AARSD1	0	0	0	0	0	0	0	0
AASDH	16	13	6	6	16	13	11.6666666666667	5.13160143944688
AASDHPPT	77	48	24	24	77	48	49.6666666666667	26.5392790658174
AASS	8	7	1	1	8	7	5.33333333333333	3.78593889720018
AATF	7	9	6	6	9	7	7.33333333333333	1.52752523165195
AATK	0	0	0	0	0	0	0	0
ABAT	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ABCA1	317	226	68	68	317	226	203.666666666667	125.993386069799
ABCA10	9	10	1	1	10	9	6.66666666666667	4.93288286231625
ABCA11P	9	5	2	2	9	5	5.33333333333333	3.51188458428425
ABCA12	0	0	0	0	0	0	0	0
ABCA13	3	3	2	2	3	3	2.66666666666667	0.577350269189626
ABCA17P	0	0	0	0	0	0	0	0
ABCA2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ABCA3	2	4	0	0	4	2	2	2
ABCA4	2	1	2	1	2	2	1.66666666666667	0.577350269189626
ABCA5	7	11	10	7	11	10	9.33333333333333	2.08166599946613
ABCA6	20	24	8	8	24	20	17.3333333333333	8.32666399786453
ABCA7	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ABCA8	39	31	8	8	39	31	26	16.0934769394311
ABCA9	52	34	15	15	52	34	33.6666666666667	18.5022521151706
ABCB1	0	0	0	0	0	0	0	0
ABCB10	10	1	3	1	10	3	4.66666666666667	4.72581562625261
ABCB5	5	1	3	1	5	3	3	2
ABCB6	12	13	2	2	13	12	9	6.08276253029822
ABCB7	14	19	8	8	19	14	13.6666666666667	5.5075705472861
ABCB8	3	4	0	0	4	3	2.33333333333333	2.08166599946613
ABCB9	0	0	0	0	0	0	0	0
ABCC1	30	23	13	13	30	23	22	8.54400374531753
ABCC10	8	3	0	0	8	3	3.66666666666667	4.04145188432738
ABCC11	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0
ABCC13	2	4	0	0	4	2	2	2
ABCC2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ABCC3	1	2	1	1	2	1	1.33333333333333	0.577350269189626
ABCC4	9	7	4	4	9	7	6.66666666666667	2.51661147842358
ABCC5	14	8	4	4	14	8	8.66666666666667	5.03322295684717
ABCC5-AS1	0	0	0	0	0	0	0	0
ABCC6	0	0	0	0	0	0	0	0
ABCC9	4	0	1	0	4	1	1.66666666666667	2.08166599946613
ABCD1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ABCD2	0	0	0	0	0	0	0	0
ABCD3	36	23	13	13	36	23	24	11.5325625946708
ABCD4	18	8	3	3	18	8	9.66666666666667	7.63762615825973
ABCE1	83	68	25	25	83	68	58.6666666666667	30.1053705064949
ABCF1	92	69	38	38	92	69	66.3333333333333	27.0985854489369
ABCF2	50	26	13	13	50	26	29.6666666666667	18.7705443004015
ABCF3	23	7	4	4	23	7	11.3333333333333	10.2143689640297
ABCG1	1	0	2	0	2	1	1	1
ABCG2	0	0	0	0	0	0	0	0
ABCG4	0	0	0	0	0	0	0	0
ABCG5	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ABHD1	0	0	0	0	0	0	0	0
ABHD10	15	13	10	10	15	13	12.6666666666667	2.51661147842358
ABHD11	10	11	2	2	11	10	7.66666666666667	4.93288286231625
ABHD12	1	5	2	1	5	2	2.66666666666667	2.08166599946613
ABHD12B	0	0	0	0	0	0	0	0
ABHD13	18	16	7	7	18	16	13.6666666666667	5.85946527708231
ABHD14A	5	3	3	3	5	3	3.66666666666667	1.15470053837925
ABHD14A-ACY1	0	0	0	0	0	0	0	0
ABHD14B	15	7	5	5	15	7	9	5.29150262212918
ABHD15	12	8	2	2	12	8	7.33333333333333	5.03322295684717
ABHD16A	12	5	5	5	12	5	7.33333333333333	4.04145188432738
ABHD16B	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ABHD17A	8	3	1	1	8	3	4	3.60555127546399
ABHD17B	1	0	1	0	1	1	0.666666666666667	0.577350269189626
ABHD17C	6	8	1	1	8	6	5	3.60555127546399
ABHD2	24	11	4	4	24	11	13	10.1488915650922
ABHD3	0	0	0	0	0	0	0	0
ABHD4	75	56	34	34	75	56	55	20.5182845286832
ABHD5	18	9	7	7	18	9	11.3333333333333	5.85946527708232
ABHD6	2	2	1	1	2	2	1.66666666666667	0.577350269189626
ABHD8	0	0	0	0	0	0	0	0
ABI1	53	51	20	20	53	51	41.3333333333333	18.5022521151706
ABI2	28	28	13	13	28	28	23	8.66025403784439
ABI3BP	76	65	25	25	76	65	55.3333333333333	26.8390263112009
ABL1	19	9	6	6	19	9	11.3333333333333	6.80685928555405
ABL2	22	20	13	13	22	20	18.3333333333333	4.72581562625261
ABLIM1	124	89	47	47	124	89	86.6666666666667	38.5529938310027
ABLIM2	0	0	0	0	0	0	0	0
ABLIM3	15	10	8	8	15	10	11	3.60555127546399
ABR	4	11	3	3	11	4	6	4.35889894354067
ABRA	0	0	0	0	0	0	0	0
ABRACL	54	41	19	19	54	41	38	17.6918060129541
