Gene	LOP.A.4.8.1.B2	LOP.A.4.9.1.B3	LOP.A.8.11.1.G8	Min	Max	Median	Mean	Std
A1BG	13	13	19	13	19	13	15	3.46410161513775
A1BG-AS1	0	0	0	0	0	0	0	0
A1CF	0	0	0	0	0	0	0	0
A2M	10	2	9	2	10	9	7	4.35889894354067
A2M-AS1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
A2ML1	4	2	8	2	8	4	4.66666666666667	3.05505046330389
A4GALT	0	1	0	0	1	0	0.333333333333333	0.577350269189626
A4GNT	0	0	0	0	0	0	0	0
AAAS	28	17	24	17	28	24	23	5.56776436283002
AACS	7	5	3	3	7	5	5	2
AADAC	0	0	0	0	0	0	0	0
AADAT	2	2	3	2	3	2	2.33333333333333	0.577350269189626
AAED1	6	7	13	6	13	7	8.66666666666667	3.78593889720018
AAGAB	53	39	60	39	60	53	50.6666666666667	10.6926766215636
AAK1	35	25	29	25	35	29	29.6666666666667	5.03322295684717
AAMDC	97	87	129	87	129	97	104.333333333333	21.9393102292058
AAMP	39	12	19	12	39	19	23.3333333333333	14.0118997046558
AANAT	0	0	0	0	0	0	0	0
AAR2	42	36	40	36	42	40	39.3333333333333	3.05505046330389
AARD	1	2	2	1	2	2	1.66666666666667	0.577350269189626
AARS	26	23	29	23	29	26	26	3
AARS2	4	9	10	4	10	9	7.66666666666667	3.21455025366432
AARSD1	0	0	0	0	0	0	0	0
AASDH	14	8	14	8	14	14	12	3.46410161513775
AASDHPPT	74	68	99	68	99	74	80.3333333333333	16.4418166068514
AASS	7	5	13	5	13	7	8.33333333333333	4.16333199893227
AATF	13	11	8	8	13	11	10.6666666666667	2.51661147842358
AATK	0	0	0	0	0	0	0	0
ABAT	0	0	2	0	2	0	0.666666666666667	1.15470053837925
ABCA1	222	231	176	176	231	222	209.666666666667	29.5014123955673
ABCA10	9	12	5	5	12	9	8.66666666666667	3.51188458428425
ABCA11P	5	1	7	1	7	5	4.33333333333333	3.05505046330389
ABCA12	0	0	0	0	0	0	0	0
ABCA13	1	2	2	1	2	2	1.66666666666667	0.577350269189626
ABCA17P	0	0	0	0	0	0	0	0
ABCA2	1	2	2	1	2	2	1.66666666666667	0.577350269189626
ABCA3	0	0	0	0	0	0	0	0
ABCA4	3	2	0	0	3	2	1.66666666666667	1.52752523165195
ABCA5	8	3	12	3	12	8	7.66666666666667	4.50924975282289
ABCA6	17	17	23	17	23	17	19	3.46410161513775
ABCA7	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ABCA8	39	33	34	33	39	34	35.3333333333333	3.21455025366432
ABCA9	41	35	34	34	41	35	36.6666666666667	3.78593889720018
ABCB1	0	0	0	0	0	0	0	0
ABCB10	8	7	9	7	9	8	8	1
ABCB5	7	3	6	3	7	6	5.33333333333333	2.08166599946613
ABCB6	13	12	9	9	13	12	11.3333333333333	2.08166599946613
ABCB7	20	20	11	11	20	20	17	5.19615242270663
ABCB8	1	3	2	1	3	2	2	1
ABCB9	0	1	2	0	2	1	1	1
ABCC1	19	7	20	7	20	19	15.3333333333333	7.23417813807024
ABCC10	4	1	7	1	7	4	4	3
ABCC11	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0
ABCC13	0	0	2	0	2	0	0.666666666666667	1.15470053837925
ABCC2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ABCC3	4	1	4	1	4	4	3	1.73205080756888
ABCC4	6	6	7	6	7	6	6.33333333333333	0.577350269189626
ABCC5	16	8	12	8	16	12	12	4
ABCC5-AS1	0	0	0	0	0	0	0	0
ABCC6	0	0	0	0	0	0	0	0
ABCC9	3	0	0	0	3	0	1	1.73205080756888
ABCD1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ABCD2	0	0	0	0	0	0	0	0
ABCD3	20	20	21	20	21	20	20.3333333333333	0.577350269189626
ABCD4	14	11	19	11	19	14	14.6666666666667	4.04145188432738
ABCE1	96	78	86	78	96	86	86.6666666666667	9.01849950564579
ABCF1	95	87	90	87	95	90	90.6666666666667	4.04145188432738
ABCF2	58	51	52	51	58	52	53.6666666666667	3.78593889720018
ABCF3	19	10	16	10	19	16	15	4.58257569495584
ABCG1	2	1	3	1	3	2	2	1
ABCG2	0	1	2	0	2	1	1	1
ABCG4	0	0	0	0	0	0	0	0
ABCG5	0	0	0	0	0	0	0	0
ABHD1	0	0	0	0	0	0	0	0
ABHD10	24	17	11	11	24	17	17.3333333333333	6.50640709864771
ABHD11	5	10	6	5	10	6	7	2.64575131106459
ABHD12	6	4	1	1	6	4	3.66666666666667	2.51661147842358
ABHD12B	0	0	0	0	0	0	0	0
ABHD13	18	10	8	8	18	10	12	5.29150262212918
ABHD14A	2	4	4	2	4	4	3.33333333333333	1.15470053837925
ABHD14A-ACY1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ABHD14B	15	13	9	9	15	13	12.3333333333333	3.05505046330389
ABHD15	11	4	8	4	11	8	7.66666666666667	3.51188458428425
