Gene	CTRL.A.4.1.1.A8	CTRL.A.4.3.1.A10	CTRL.A.5.1.1.B11	CTRL.A.5.2.1.B12	CTRL.A.5.2.1.H10	CTRL.A.5.2.1.H9	CTRL.A.5.3.1.C1	CTRL.A.6.1.1.C9	CTRL.A.6.2.1.C10	CTRL.A.6.3.1.C11	CTRL.A.7.1.1.E3	CTRL.A.7.2.1.E4	CTRL.A.8.1.1.F11	ALE.A.7.17.1.F7	ALE.A.7.18.1.F8	ALE.A.8.13.1.G10	CTRL.A.4.1.1.A8.Norm	CTRL.A.4.3.1.A10.Norm	CTRL.A.5.1.1.B11.Norm	CTRL.A.5.2.1.B12.Norm	CTRL.A.5.2.1.H10.Norm	CTRL.A.5.2.1.H9.Norm	CTRL.A.5.3.1.C1.Norm	CTRL.A.6.1.1.C9.Norm	CTRL.A.6.2.1.C10.Norm	CTRL.A.6.3.1.C11.Norm	CTRL.A.7.1.1.E3.Norm	CTRL.A.7.2.1.E4.Norm	CTRL.A.8.1.1.F11.Norm	ALE.A.7.17.1.F7.Norm	ALE.A.7.18.1.F8.Norm	ALE.A.8.13.1.G10.Norm
A1BG	27	31	26	13	16	23	15	19	27	34	20	27	21	11	13	23	18.3205316498646	22.9223816647226	18.550644967223	10.3704218575343	15.2260237224986	16.4413938548914	23.0694452477657	14.1523852247459	22.2896886619	17.9586250880541	17.8416206851965	24.8470285884625	14.5395071676442	13.6403825330335	17.5381681068237	17.1210484149216
A1BG-AS1	1	2	3	0	0	0	1	2	2	4	0	0	0	0	3	2	0.678538209254245	1.47886333320791	2.14045903467958	0	0	0	1.53796301651771	1.48972476049956	1.65108804902963	2.11277942212401	0	0	0	0	4.04726956311315	1.48878681868884
A2M	9	2	10	9	5	4	6	8	4	7	10	8	14	9	3	12	6.10684388328821	1.47886333320791	7.13486344893193	7.17952282444686	4.75813241328081	2.85937284432894	9.22777809910629	5.95889904199826	3.30217609805926	3.69736398871701	8.92081034259825	7.36208254472963	9.69300477842944	11.1603129815728	4.04726956311315	8.93272091213301
A2M-AS1	0	0	0	2	0	2	0	0	0	4	1	0	2	3	0	1	0	0	0	1.59544951654375	0	1.42968642216447	0	0	0	2.11277942212401	0.892081034259825	0	1.38471496834706	3.72010432719094	0	0.744393409344418
A2ML1	6	12	7	5	4	8	4	8	7	10	4	7	8	7	0	4	4.07122925552547	8.87317999924744	4.99440441425235	3.98862379135937	3.80650593062464	5.71874568865788	6.15185206607086	5.95889904199826	5.7788081716037	5.28194855531002	3.5683241370393	6.44182222663842	5.53885987338825	8.6802434301122	0	2.97757363737767
A4GALT	2	1	0	3	1	6	1	3	1	5	2	2	2	0	3	2	1.35707641850849	0.739431666603954	0	2.39317427481562	0.951626482656161	4.28905926649341	1.53796301651771	2.23458714074935	0.825544024514814	2.64097427765501	1.78416206851965	1.84052063618241	1.38471496834706	0	4.04726956311315	1.48878681868884
AAAS	26	22	29	18	27	25	15	29	22	36	20	14	28	14	15	28	17.6419934406104	16.267496665287	20.6911040019026	14.3590456488937	25.6939150317164	17.8710802770559	23.0694452477657	21.6010090272437	18.1619685393259	19.0150147991161	17.8416206851965	12.8836444532768	19.3860095568589	17.3604868602244	20.2363478155658	20.8430154616437
AACS	4	5	3	4	2	8	0	10	8	6	0	3	3	2	2	4	2.71415283701698	3.69715833301977	2.14045903467958	3.19089903308749	1.90325296531232	5.71874568865788	0	7.44862380249782	6.60435219611851	3.16916913318601	0	2.76078095427361	2.07707245252059	2.48006955146063	2.6981797087421	2.97757363737767
AADAT	2	2	1	0	1	0	0	5	2	4	1	2	1	1	0	1	1.35707641850849	1.47886333320791	0.713486344893193	0	0.951626482656161	0	0	3.72431190124891	1.65108804902963	2.11277942212401	0.892081034259825	1.84052063618241	0.692357484173531	1.24003477573031	0	0.744393409344418
AAED1	8	10	4	9	5	11	3	8	8	12	8	6	10	3	9	9	5.42830567403396	7.39431666603954	2.85394537957277	7.17952282444686	4.75813241328081	7.86327532190458	4.61388904955314	5.95889904199826	6.60435219611851	6.33833826637202	7.1366482740786	5.52156190854722	6.92357484173531	3.72010432719094	12.1418086893395	6.69954068409976
