Gene	CTRL.A.4.1.1.A8	CTRL.A.4.3.1.A10	CTRL.A.5.1.1.B11	CTRL.A.5.2.1.B12	CTRL.A.5.2.1.H10	CTRL.A.5.2.1.H9	CTRL.A.5.3.1.C1	CTRL.A.6.1.1.C9	CTRL.A.6.2.1.C10	CTRL.A.6.3.1.C11	CTRL.A.7.1.1.E3	CTRL.A.7.2.1.E4	CTRL.A.8.1.1.F11	DOM.A.4.13.1.B7	DOM.A.4.14.1.B8	DOM.A.5.11.1.C7	CTRL.A.4.1.1.A8.Norm	CTRL.A.4.3.1.A10.Norm	CTRL.A.5.1.1.B11.Norm	CTRL.A.5.2.1.B12.Norm	CTRL.A.5.2.1.H10.Norm	CTRL.A.5.2.1.H9.Norm	CTRL.A.5.3.1.C1.Norm	CTRL.A.6.1.1.C9.Norm	CTRL.A.6.2.1.C10.Norm	CTRL.A.6.3.1.C11.Norm	CTRL.A.7.1.1.E3.Norm	CTRL.A.7.2.1.E4.Norm	CTRL.A.8.1.1.F11.Norm	DOM.A.4.13.1.B7.Norm	DOM.A.4.14.1.B8.Norm	DOM.A.5.11.1.C7.Norm
A1BG	27	31	26	13	16	23	15	19	27	34	20	27	21	16	20	19	18.4243232030338	22.9081470609439	18.5642631362659	10.5796643154597	15.5360029879051	16.4874683101604	23.5283767722566	14.237921432325	22.576035077273	17.9834021817939	18.0702232937014	25.2793885195001	14.2270783605881	14.434210662218	17.416957823559	16.4178564133262
A1BG-AS1	1	2	3	0	0	0	1	2	2	4	0	0	0	0	0	0	0.682382340853105	1.4779449716738	2.14203036187683	0	0	0	1.56855845148377	1.49872857182368	1.67229889461282	2.11569437432869	0	0	0	0	0	0
A2M	9	2	10	9	5	4	6	8	4	7	10	8	14	6	11	16	6.14144106767795	1.4779449716738	7.14010120625611	7.32438298762591	4.85500093372035	2.86738579307137	9.41135070890263	5.99491428729474	3.34459778922563	3.70246515507521	9.03511164685068	7.49018919096299	9.48471890705875	5.41282899833175	9.57932680295743	13.8255632954326
A2M-AS1	0	0	0	2	0	2	0	0	0	4	1	0	2	0	0	0	0	0	0	1.62764066391687	0	1.43369289653569	0	0	0	2.11569437432869	0.903511164685068	0	1.35495984386554	0	0	0
A2ML1	6	12	7	5	4	8	4	8	7	10	4	7	8	2	2	5	4.09429404511863	8.8676698300428	4.99807084437928	4.06910165979217	3.88400074697628	5.73477158614274	6.27423380593509	5.99491428729474	5.85304613114485	5.28923593582172	3.61404465874027	6.55391554209262	5.41983937546214	1.80427633277725	1.7416957823559	4.32048852982268
A4GALT	2	1	0	3	1	6	1	3	1	5	2	2	2	0	2	0	1.36476468170621	0.7389724858369	0	2.4414609958753	0.971000186744069	4.30107868960706	1.56855845148377	2.24809285773553	0.836149447306408	2.64461796791086	1.80702232937014	1.87254729774075	1.35495984386554	0	1.7416957823559	0
AAAS	26	22	29	18	27	25	15	29	22	36	20	14	28	24	19	18	17.7419408621807	16.2573946884118	20.7062934981427	14.6487659752518	26.2170050420899	17.9211612066961	23.5283767722566	21.7315642914434	18.395287840741	19.0412493689582	18.0702232937014	13.1078310841852	18.9694378141175	21.651315993327	16.546109932381	15.5537587073617
AACS	4	5	3	4	2	8	0	10	8	6	0	3	3	2	1	4	2.72952936341242	3.6948624291845	2.14203036187683	3.25528132783374	1.94200037348814	5.73477158614274	0	7.49364285911842	6.68919557845126	3.17354156149303	0	2.80882094661112	2.0324397657983	1.80427633277725	0.870847891177948	3.45639082385815
AADAT	2	2	1	0	1	0	0	5	2	4	1	2	1	2	2	2	1.36476468170621	1.4779449716738	0.714010120625611	0	0.971000186744069	0	0	3.74682142955921	1.67229889461282	2.11569437432869	0.903511164685068	1.87254729774075	0.677479921932768	1.80427633277725	1.7416957823559	1.72819541192907
AAED1	8	10	4	9	5	11	3	8	8	12	8	6	10	6	6	6	5.45905872682484	7.389724858369	2.85604048250245	7.32438298762591	4.85500093372035	7.88531093094627	4.70567535445131	5.99491428729474	6.68919557845126	6.34708312298607	7.22808931748054	5.61764189322224	6.77479921932768	5.41282899833175	5.22508734706769	5.18458623578722
