Gene	CTRL.A.4.1.1.A8	CTRL.A.4.3.1.A10	CTRL.A.5.1.1.B11	CTRL.A.5.2.1.B12	CTRL.A.5.2.1.H10	CTRL.A.5.2.1.H9	CTRL.A.5.3.1.C1	CTRL.A.6.1.1.C9	CTRL.A.6.2.1.C10	CTRL.A.6.3.1.C11	CTRL.A.7.1.1.E3	CTRL.A.7.2.1.E4	CTRL.A.8.1.1.F11	DTP.A.7.9.1.E11	DTP.A.7.10.1.E12	DTP.A.8.5.1.G3	CTRL.A.4.1.1.A8.Norm	CTRL.A.4.3.1.A10.Norm	CTRL.A.5.1.1.B11.Norm	CTRL.A.5.2.1.B12.Norm	CTRL.A.5.2.1.H10.Norm	CTRL.A.5.2.1.H9.Norm	CTRL.A.5.3.1.C1.Norm	CTRL.A.6.1.1.C9.Norm	CTRL.A.6.2.1.C10.Norm	CTRL.A.6.3.1.C11.Norm	CTRL.A.7.1.1.E3.Norm	CTRL.A.7.2.1.E4.Norm	CTRL.A.8.1.1.F11.Norm	DTP.A.7.9.1.E11.Norm	DTP.A.7.10.1.E12.Norm	DTP.A.8.5.1.G3.Norm
A1BG	27	31	26	13	16	23	15	19	27	34	20	27	21	29	16	29	18.3488098393083	23.3698311689171	18.7689674096944	10.3363728413936	15.1528251767243	16.5911685275057	23.0379980814427	14.3421642263453	22.2142024827239	17.9174037634808	17.8794861159337	24.8724414239331	14.5619656752517	13.1862832189764	17.0925887598353	27.3317596895744
A1BG-AS1	1	2	3	0	0	0	1	2	2	4	0	0	0	2	1	2	0.679585549604012	1.50773104315594	2.16565008573396	0	0	0	1.53586653876284	1.50970149751003	1.64549648020177	2.10792985452716	0	0	0	0.909398842688024	1.06828679748971	1.88494894410858
A2M	9	2	10	9	5	4	6	8	4	7	10	8	14	15	10	5	6.11626994643611	1.50773104315594	7.21883361911321	7.15595042865713	4.73525786772635	2.88542061347925	9.21519923257706	6.03880599004012	3.29099296040354	3.68887724542252	8.93974305796684	7.36961227375797	9.70797711683447	6.82049132016018	10.6828679748971	4.71237236027145
A2M-AS1	0	0	0	2	0	2	0	0	0	4	1	0	2	1	0	0	0	0	0	1.59021120636825	0	1.44271030673962	0	0	0	2.10792985452716	0.893974305796684	0	1.3868538738335	0.454699421344012	0	0
A2ML1	6	12	7	5	4	8	4	8	7	10	4	7	8	23	2	6	4.07751329762407	9.04638625893565	5.05318353337925	3.97552801592063	3.78820629418108	5.7708412269585	6.14346615505137	6.03880599004012	5.7592376807062	5.26982463631789	3.57589722318674	6.44841073953822	5.54741549533398	10.4580866909123	2.13657359497941	5.65484683232574
A4GALT	2	1	0	3	1	6	1	3	1	5	2	2	2	5	0	1	1.35917109920802	0.753865521577971	0	2.38531680955238	0.94705157354527	4.32813092021887	1.53586653876284	2.26455224626505	0.822748240100886	2.63491231815895	1.78794861159337	1.84240306843949	1.3868538738335	2.27349710672006	0	0.942474472054291
AAAS	26	22	29	18	27	25	15	29	22	36	20	14	28	43	29	19	17.6692242897043	16.5850414747154	20.9346174954283	14.3119008573143	25.5703924857223	18.0338788342453	23.0379980814427	21.8906717138954	18.1004612822195	18.9713686907444	17.8794861159337	12.8968214790764	19.4159542336689	19.5520751177925	30.9803171272015	17.9070149690315
AACS	4	5	3	4	2	8	0	10	8	6	0	3	3	8	3	1	2.71834219841605	3.76932760788985	2.16565008573396	3.1804224127365	1.89410314709054	5.7708412269585	0	7.54850748755015	6.58198592080709	3.16189478179074	0	2.76360460265924	2.08028081075024	3.6375953707521	3.20486039246912	0.942474472054291
AADAT	2	2	1	0	1	0	0	5	2	4	1	2	1	1	1	0	1.35917109920802	1.50773104315594	0.721883361911321	0	0.94705157354527	0	0	3.77425374377508	1.64549648020177	2.10792985452716	0.893974305796684	1.84240306843949	0.693426936916748	0.454699421344012	1.06828679748971	0
AAED1	8	10	4	9	5	11	3	8	8	12	8	6	10	21	5	7	5.43668439683209	7.53865521577971	2.88753344764529	7.15595042865713	4.73525786772635	7.93490668706793	4.60759961628853	6.03880599004012	6.58198592080709	6.32378956358147	7.15179444637347	5.52720920531848	6.93426936916747	9.54868784822426	5.34143398744853	6.59732130438004
AAGAB	25	33	52	55	36	84	24	46	40	87	43	42	57	100	44	31	16.9896387401003	24.877562212073	37.5379348193887	43.7308081751269	34.0938566476297	60.5938328830642	36.8607969303082	34.7231344427307	32.9099296040354	45.8474743359657	38.4408951492574	38.6904644372293	39.5253354042546	45.4699421344012	47.0046190895471	29.216708633683
AAK1	46	43	41	28	16	25	10	38	32	58	37	24	31	70	26	20	31.2609352817845	32.4162174278527	29.5972178383642	22.2629568891555	15.1528251767243	18.0338788342453	15.3586653876284	28.6843284526906	26.3279436832283	30.5649828906438	33.0770493144773	22.1088368212739	21.4962350444192	31.8289594940809	27.7754567347324	18.8494894410858
AAMDC	117	112	126	107	123	133	47	125	132	186	116	116	183	219	78	113	79.5115093036694	84.4329384167327	90.9573036008265	85.0762995407014	116.487343546068	95.940235398185	72.1857273218536	94.3563435943769	108.602767693317	98.0187382355128	103.701019472415	106.859377969491	126.897129455765	99.5791732743387	83.3263702041971	106.499615342135
AAMP	31	20	32	21	26	19	11	28	26	36	18	27	38	40	24	19	21.0671520377244	15.0773104315594	23.1002675811623	16.6972176668666	24.623340912177	13.7057479140264	16.8945319263913	21.1358209651404	21.391454242623	18.9713686907444	16.0915375043403	24.8724414239331	26.3502236028364	18.1879768537605	25.638883139753	17.9070149690315
AAR2	36	30	49	28	43	57	28	37	27	43	43	41	70	60	28	31	24.4650797857444	22.6159656473391	35.3722847336548	22.2629568891555	40.7232176624466	41.1172437420793	43.0042630853596	27.9294777039356	22.2142024827239	22.6602459361669	38.4408951492574	37.7692629030096	48.5398855841723	27.2819652806407	29.9120303297118	29.216708633683
AARD	1	1	5	4	2	3	0	1	3	8	1	1	2	4	3	2	0.679585549604012	0.753865521577971	3.60941680955661	3.1804224127365	1.89410314709054	2.16406546010944	0	0.754850748755015	2.46824472030266	4.21585970905431	0.893974305796684	0.921201534219746	1.3868538738335	1.81879768537605	3.20486039246912	1.88494894410858
AARS	34	29	31	34	27	39	18	26	26	24	30	24	28	45	26	26	23.1059086865364	21.8621001257612	22.378384219251	27.0335905082603	25.5703924857223	28.1328509814227	27.6455976977312	19.6261194676304	21.391454242623	12.6475791271629	26.8192291739005	22.1088368212739	19.4159542336689	20.4614739604806	27.7754567347324	24.5043362734116
AARS2	5	18	8	6	4	8	4	3	6	9	5	6	7	10	4	2	3.39792774802006	13.5695793884035	5.77506689529057	4.77063361910475	3.78820629418108	5.7708412269585	6.14346615505137	2.26455224626505	4.93648944060531	4.7428421726861	4.46987152898342	5.52720920531848	4.85398855841723	4.54699421344012	4.27314718995883	1.88494894410858
AASDH	19	10	11	13	9	11	9	6	16	23	18	8	16	22	13	8	12.9121254424762	7.53865521577971	7.94071698102454	10.3363728413936	8.52346416190743	7.93490668706793	13.8227988488656	4.52910449253009	13.1639718416142	12.1205966635312	16.0915375043403	7.36961227375797	11.094830990668	10.0033872695683	13.8877283673662	7.53979577643433
AASDHPPT	82	75	81	68	74	98	29	72	73	116	69	68	79	126	48	63	55.726015067529	56.5399141183478	58.472552314817	54.0671810165205	70.08181644235	70.6928050302416	44.5401296241225	54.3492539103611	60.0606215273647	61.1299657812875	61.6842270999712	62.6417043269427	54.7807280164231	57.2921270893455	51.2777662795059	59.3758917394203
AASS	20	19	13	9	9	8	7	9	20	23	6	10	10	20	6	4	13.5917109920802	14.3234449099814	9.38448370484718	7.15595042865713	8.52346416190743	5.7708412269585	10.7510657713399	6.79365673879514	16.4549648020177	12.1205966635312	5.36384583478011	9.21201534219746	6.93426936916747	9.09398842688024	6.40972078493824	3.76989788821716
AATF	15	7	14	15	14	22	11	13	11	19	8	15	6	25	11	11	10.1937832440602	5.2770586510458	10.1063670667585	11.9265840477619	13.2587220296338	15.8698133741359	16.8945319263913	9.8130597338152	9.05023064110974	10.012666809004	7.15179444637347	13.8180230132962	4.16056162150049	11.3674855336003	11.7511547723868	10.3672191925972
ABAT	4	0	0	1	0	0	0	0	1	3	3	1	0	2	1	0	2.71834219841605	0	0	0.795105603184125	0	0	0	0	0.822748240100886	1.58094739089537	2.68192291739005	0.921201534219746	0	0.909398842688024	1.06828679748971	0
ABCA1	215	223	329	291	141	208	137	332	276	546	178	170	280	373	151	231	146.110893164863	168.112011311887	237.499626068825	231.37573052658	133.534271869883	150.041871900921	210.41371581051	250.610448586665	227.078514267844	287.732425142957	159.12742643181	156.604260817357	194.159542336689	169.602884161317	161.311306420946	217.711603044541
ABCA10	16	6	8	4	12	6	5	14	11	15	8	2	13	13	5	7	10.8733687936642	4.52319312946782	5.77506689529057	3.1804224127365	11.3646188825432	4.32813092021887	7.67933269381422	10.5679104825702	9.05023064110974	7.90473695447684	7.15179444637347	1.84240306843949	9.01455017991772	5.91109247747216	5.34143398744853	6.59732130438004
ABCA11P	8	6	6	5	7	8	2	4	6	9	3	4	4	9	4	4	5.43668439683209	4.52319312946782	4.33130017146793	3.97552801592063	6.62936101481689	5.7708412269585	3.07173307752569	3.01940299502006	4.93648944060531	4.7428421726861	2.68192291739005	3.68480613687898	2.77370774766699	4.09229479209611	4.27314718995883	3.76989788821716
