Gene	CTRL.A.4.1.1.A8	CTRL.A.4.3.1.A10	CTRL.A.5.1.1.B11	CTRL.A.5.2.1.B12	CTRL.A.5.2.1.H10	CTRL.A.5.2.1.H9	CTRL.A.5.3.1.C1	CTRL.A.6.1.1.C9	CTRL.A.6.2.1.C10	CTRL.A.6.3.1.C11	CTRL.A.7.1.1.E3	CTRL.A.7.2.1.E4	CTRL.A.8.1.1.F11	SOR+URS.A.5.7.1.C3	SOR+URS.A.5.8.1.C4	SOR+URS.A.5.9.1.C5	CTRL.A.4.1.1.A8.Norm	CTRL.A.4.3.1.A10.Norm	CTRL.A.5.1.1.B11.Norm	CTRL.A.5.2.1.B12.Norm	CTRL.A.5.2.1.H10.Norm	CTRL.A.5.2.1.H9.Norm	CTRL.A.5.3.1.C1.Norm	CTRL.A.6.1.1.C9.Norm	CTRL.A.6.2.1.C10.Norm	CTRL.A.6.3.1.C11.Norm	CTRL.A.7.1.1.E3.Norm	CTRL.A.7.2.1.E4.Norm	CTRL.A.8.1.1.F11.Norm	SOR+URS.A.5.7.1.C3.Norm	SOR+URS.A.5.8.1.C4.Norm	SOR+URS.A.5.9.1.C5.Norm
A1BG	27	31	26	13	16	23	15	19	27	34	20	27	21	1	2	4	19.5184946895685	24.8210084976339	20.0948734607207	11.4071300072789	16.6797938853277	17.9011570109434	25.2488034672999	15.4617325884981	24.2532956741767	19.3231146592242	19.5361515871895	27.1951011548444	15.6330649660209	5.22969331814218	8.32427454856799	9.4520352741347
A1BG-AS1	1	2	3	0	0	0	1	2	2	4	0	0	0	0	0	0	0.72290721072476	1.60135538694413	2.31863924546777	0	0	0	1.68325356448666	1.62755079878927	1.79654042030939	2.27330760696755	0	0	0	0	0	0
A2M	9	2	10	9	5	4	6	8	4	7	10	8	14	4	0	7	6.50616489652284	1.60135538694413	7.72879748489258	7.89724385119306	5.21243558916492	3.11324469755537	10.09952138692	6.5102031951571	3.59308084061878	3.97828831219321	9.76807579359473	8.05780774958354	10.4220433106806	20.9187732725687	0	16.5410617297357
A2M-AS1	0	0	0	2	0	2	0	0	0	4	1	0	2	0	0	1	0	0	0	1.7549430780429	0	1.55662234877768	0	0	0	2.27330760696755	0.976807579359473	0	1.48886333009723	0	0	2.36300881853367
A2ML1	6	12	7	5	4	8	4	8	7	10	4	7	8	1	1	2	4.33744326434856	9.60813232166475	5.4101582394248	4.38735769510726	4.16994847133193	6.22648939511074	6.73301425794665	6.5102031951571	6.28789147108286	5.68326901741888	3.90723031743789	7.05058178088559	5.95545332038892	5.22969331814218	4.16213727428399	4.72601763706735
A4GALT	2	1	0	3	1	6	1	3	1	5	2	2	2	0	0	0	1.44581442144952	0.800677693472063	0	2.63241461706435	1.04248711783298	4.66986704633305	1.68325356448666	2.44132619818391	0.898270210154694	2.84163450870944	1.95361515871895	2.01445193739588	1.48886333009723	0	0	0
AAAS	26	22	29	18	27	25	15	29	22	36	20	14	28	5	1	6	18.7955874788438	17.6149092563854	22.4135127061885	15.7944877023861	28.1471521814905	19.4577793597211	25.2488034672999	23.5994865824445	19.7619446234033	20.459768462708	19.5361515871895	14.1011635617712	20.8440866213612	26.1484665907109	4.16213727428399	14.178052911202
AACS	4	5	3	4	2	8	0	10	8	6	0	3	3	1	3	4	2.89162884289904	4.00338846736031	2.31863924546777	3.5098861560858	2.08497423566597	6.22648939511074	0	8.13775399394637	7.18616168123755	3.40996141045133	0	3.02167790609383	2.23329499514584	5.22969331814218	12.486411822852	9.4520352741347
AADAT	2	2	1	0	1	0	0	5	2	4	1	2	1	2	1	1	1.44581442144952	1.60135538694413	0.772879748489258	0	1.04248711783298	0	0	4.06887699697319	1.79654042030939	2.27330760696755	0.976807579359473	2.01445193739588	0.744431665048615	10.4593866362844	4.16213727428399	2.36300881853367
AAED1	8	10	4	9	5	11	3	8	8	12	8	6	10	3	1	2	5.78325768579808	8.00677693472063	3.09151899395703	7.89724385119306	5.21243558916492	8.56142291827727	5.04976069345999	6.5102031951571	7.18616168123755	6.81992282090265	7.81446063487578	6.04335581218765	7.44431665048615	15.6890799544265	4.16213727428399	4.72601763706735
AAGAB	25	33	52	55	36	84	24	46	40	87	43	42	57	3	2	6	18.072680268119	26.4223638845781	40.1897469214414	48.2609346461798	37.5295362419874	65.3781386486628	40.3980855476799	37.4336683721533	35.9308084061878	49.4444404515442	42.0027259124573	42.3034906853136	42.4326049077711	15.6890799544265	8.32427454856799	14.178052911202
AAK1	46	43	41	28	16	25	10	38	32	58	37	24	31	4	7	19	33.253731693339	34.4291408192987	31.6880696880596	24.5692030926006	16.6797938853277	19.4577793597211	16.8325356448666	30.9234651769962	28.7446467249502	32.9629603010295	36.1418804363005	24.1734232487506	23.0773816165071	20.9187732725687	29.134960919988	44.8971675521398
AAMDC	117	112	126	107	123	133	47	125	132	186	116	116	183	4	9	10	84.5801436547969	89.675901668871	97.3828483096465	93.8894546752953	128.225915493457	103.515386193716	79.1129175308731	101.72192492433	118.57166774042	105.708803723991	113.309679205699	116.838212368961	136.230994703897	20.9187732725687	37.4592354685559	23.6300881853367
AAMP	31	20	32	21	26	19	11	28	26	36	18	27	38	4	1	2	22.4101235324676	16.0135538694413	24.7321519516563	18.4269023194505	27.1046650636576	14.787912313388	18.5157892093533	22.7857111830498	23.355025464022	20.459768462708	17.5825364284705	27.1951011548444	28.2884032718474	20.9187732725687	4.16213727428399	4.72601763706735
