Gene	CTRL.A.4.1.1.A8	CTRL.A.4.3.1.A10	CTRL.A.5.1.1.B11	CTRL.A.5.2.1.B12	CTRL.A.5.2.1.H10	CTRL.A.5.2.1.H9	CTRL.A.5.3.1.C1	CTRL.A.6.1.1.C9	CTRL.A.6.2.1.C10	CTRL.A.6.3.1.C11	CTRL.A.7.1.1.E3	CTRL.A.7.2.1.E4	CTRL.A.8.1.1.F11	TRS+LOP.A.4.10.1.B4	TRS+LOP.A.4.11.1.B5	TRS+LOP.A.4.12.1.B6	CTRL.A.4.1.1.A8.Norm	CTRL.A.4.3.1.A10.Norm	CTRL.A.5.1.1.B11.Norm	CTRL.A.5.2.1.B12.Norm	CTRL.A.5.2.1.H10.Norm	CTRL.A.5.2.1.H9.Norm	CTRL.A.5.3.1.C1.Norm	CTRL.A.6.1.1.C9.Norm	CTRL.A.6.2.1.C10.Norm	CTRL.A.6.3.1.C11.Norm	CTRL.A.7.1.1.E3.Norm	CTRL.A.7.2.1.E4.Norm	CTRL.A.8.1.1.F11.Norm	TRS+LOP.A.4.10.1.B4.Norm	TRS+LOP.A.4.11.1.B5.Norm	TRS+LOP.A.4.12.1.B6.Norm
A1BG	27	31	26	13	16	23	15	19	27	34	20	27	21	30	24	22	18.3675666071501	23.2194360595626	18.7987984986446	10.5938129328571	15.2599241920512	16.6103752993625	23.71553724844	14.5619096735464	22.5142665404831	18.1044112547566	17.8436312429421	24.9383716499519	14.4856958178748	20.7559907588292	20.1418557379058	18.30776711382
A1BG-AS1	1	2	3	0	0	0	1	2	2	4	0	0	0	2	1	3	0.680280244709264	1.49802813287501	2.169092134459	0	0	0	1.58103581656266	1.53283259721541	1.6677234474432	2.12993073585372	0	0	0	1.38373271725528	0.839243989079407	2.49651369733909
A2M	9	2	10	9	5	4	6	8	4	7	10	8	14	12	7	6	6.12252220238338	1.49802813287501	7.23030711486332	7.33417818428569	4.768726310016	2.88876092162826	9.48621489937599	6.13133038886163	3.33544689488639	3.72737878774402	8.92181562147107	7.38914715554132	9.6571305452499	8.30239630353169	5.87470792355585	4.99302739467819
A2M-AS1	0	0	0	2	0	2	0	0	0	4	1	0	2	1	2	0	0	0	0	1.62981737428571	0	1.44438046081413	0	0	0	2.12993073585372	0.892181562147107	0	1.37959007789284	0.691866358627641	1.67848797815881	0
A2ML1	6	12	7	5	4	8	4	8	7	10	4	7	8	11	5	3	4.08168146825559	8.98816879725005	5.06121498040432	4.07454343571427	3.8149810480128	5.77752184325651	6.32414326625066	6.13133038886163	5.83703206605119	5.32482683963431	3.56872624858843	6.46550376109865	5.51836031157137	7.61052994490405	4.19621994539703	2.49651369733909
A4GALT	2	1	0	3	1	6	1	3	1	5	2	2	2	2	2	1	1.36056048941853	0.749014066437505	0	2.44472606142856	0.9537452620032	4.33314138244239	1.58103581656266	2.29924889582311	0.833861723721598	2.66241341981715	1.78436312429421	1.84728678888533	1.37959007789284	1.38373271725528	1.67848797815881	0.832171232446364
AAAS	26	22	29	18	27	25	15	29	22	36	20	14	28	37	39	20	17.6872863624409	16.4783094616251	20.9678906331036	14.6683563685714	25.7511220740864	18.0547557601766	23.71553724844	22.2260726596234	18.3449579218752	19.1693766226835	17.8436312429421	12.9310075221973	19.3142610904998	25.5990552692227	32.7305155740969	16.6434246489273
AACS	4	5	3	4	2	8	0	10	8	6	0	3	3	5	9	3	2.72112097883706	3.74507033218752	2.169092134459	3.25963474857142	1.9074905240064	5.77752184325651	0	7.66416298607704	6.67089378977278	3.19489610378058	0	2.77093018332799	2.06938511683926	3.45933179313821	7.55319590171466	2.49651369733909
AADAT	2	2	1	0	1	0	0	5	2	4	1	2	1	2	4	1	1.36056048941853	1.49802813287501	0.723030711486332	0	0.9537452620032	0	0	3.83208149303852	1.6677234474432	2.12993073585372	0.892181562147107	1.84728678888533	0.689795038946421	1.38373271725528	3.35697595631763	0.832171232446364
AAED1	8	10	4	9	5	11	3	8	8	12	8	6	10	7	9	5	5.44224195767411	7.49014066437505	2.89212284594533	7.33417818428569	4.768726310016	7.94409253447771	4.74310744968799	6.13133038886163	6.67089378977278	6.38979220756117	7.13745249717686	5.54186036665599	6.89795038946421	4.84306451039349	7.55319590171466	4.16085616223182
