Gene	SUN+ALE.A.7.19.1.F9	SUN+ALE.A.7.20.1.F10	SUN+ALE.A.8.14.1.G11	Min	Max	Median	Mean	Std
A1BG	21	22	20	20	22	21	21	1
A1BG-AS1	3	0	4	0	4	3	2.33333333333333	2.08166599946613
A1CF	0	0	0	0	0	0	0	0
A2M	9	10	4	4	10	9	7.66666666666667	3.21455025366432
A2M-AS1	1	0	2	0	2	1	1	1
A2ML1	3	6	0	0	6	3	3	3
A4GALT	0	0	3	0	3	0	1	1.73205080756888
A4GNT	0	0	0	0	0	0	0	0
AAAS	28	28	25	25	28	28	27	1.73205080756888
AACS	5	5	3	3	5	5	4.33333333333333	1.15470053837925
AADAC	0	0	0	0	0	0	0	0
AADAT	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AAED1	8	9	7	7	9	8	8	1
AAGAB	59	63	43	43	63	59	55	10.5830052442584
AAK1	29	30	18	18	30	29	25.6666666666667	6.65832811847939
AAMDC	106	109	100	100	109	106	105	4.58257569495584
AAMP	9	34	13	9	34	13	18.6666666666667	13.4288247189891
AANAT	0	0	0	0	0	0	0	0
AAR2	31	38	18	18	38	31	29	10.1488915650922
AARD	2	3	1	1	3	2	2	1
AARS	32	23	14	14	32	23	23	9
AARS2	2	4	7	2	7	4	4.33333333333333	2.51661147842358
AARSD1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AASDH	12	23	9	9	23	12	14.6666666666667	7.37111479583199
AASDHPPT	77	88	60	60	88	77	75	14.1067359796659
AASS	11	14	7	7	14	11	10.6666666666667	3.51188458428425
AATF	16	15	5	5	16	15	12	6.08276253029822
AATK	0	0	0	0	0	0	0	0
ABAT	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ABCA1	205	219	232	205	232	219	218.666666666667	13.5030860670194
ABCA10	9	8	9	8	9	9	8.66666666666667	0.577350269189626
ABCA11P	8	5	12	5	12	8	8.33333333333333	3.51188458428425
ABCA12	1	0	1	0	1	1	0.666666666666667	0.577350269189626
ABCA13	5	3	1	1	5	3	3	2
ABCA17P	0	0	0	0	0	0	0	0
ABCA2	3	1	1	1	3	1	1.66666666666667	1.15470053837925
ABCA3	2	1	0	0	2	1	1	1
ABCA4	3	3	2	2	3	3	2.66666666666667	0.577350269189626
ABCA5	11	13	9	9	13	11	11	2
ABCA6	32	39	26	26	39	32	32.3333333333333	6.50640709864771
ABCA7	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ABCA8	24	47	22	22	47	24	31	13.8924439894498
ABCA9	47	61	45	45	61	47	51	8.71779788708135
ABCB1	0	0	0	0	0	0	0	0
ABCB10	3	8	1	1	8	3	4	3.60555127546399
ABCB5	7	11	9	7	11	9	9	2
ABCB6	7	10	12	7	12	10	9.66666666666667	2.51661147842358
ABCB7	17	26	14	14	26	17	19	6.2449979983984
ABCB8	2	2	3	2	3	2	2.33333333333333	0.577350269189626
ABCB9	0	0	0	0	0	0	0	0
ABCC1	10	21	17	10	21	17	16	5.56776436283002
ABCC10	2	6	3	2	6	3	3.66666666666667	2.08166599946613
ABCC11	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0
ABCC13	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ABCC2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ABCC3	3	1	4	1	4	3	2.66666666666667	1.52752523165195
ABCC4	3	8	5	3	8	5	5.33333333333333	2.51661147842358
ABCC5	18	9	17	9	18	17	14.6666666666667	4.93288286231625
ABCC5-AS1	0	0	0	0	0	0	0	0
ABCC6	0	0	0	0	0	0	0	0
ABCC9	0	3	2	0	3	2	1.66666666666667	1.52752523165195
ABCD1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ABCD2	0	0	0	0	0	0	0	0
ABCD3	14	21	14	14	21	14	16.3333333333333	4.04145188432738
ABCD4	13	10	12	10	13	12	11.6666666666667	1.52752523165195
ABCE1	70	64	61	61	70	64	65	4.58257569495584
ABCF1	72	75	80	72	80	75	75.6666666666667	4.04145188432738
ABCF2	40	46	49	40	49	46	45	4.58257569495584
ABCF3	14	18	11	11	18	14	14.3333333333333	3.51188458428425
ABCG1	1	3	3	1	3	3	2.33333333333333	1.15470053837925
ABCG2	0	0	0	0	0	0	0	0
ABCG4	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ABCG5	0	0	0	0	0	0	0	0
ABHD1	0	0	0	0	0	0	0	0
ABHD10	13	13	18	13	18	13	14.6666666666667	2.88675134594813
ABHD11	7	6	6	6	7	6	6.33333333333333	0.577350269189626
ABHD12	5	7	6	5	7	6	6	1
ABHD12B	0	0	0	0	0	0	0	0
ABHD13	18	14	15	14	18	15	15.6666666666667	2.08166599946613
ABHD14A	1	4	4	1	4	4	3	1.73205080756888
ABHD14A-ACY1	0	0	0	0	0	0	0	0
ABHD14B	5	13	10	5	13	10	9.33333333333333	4.04145188432738
ABHD15	6	10	2	2	10	6	6	4
ABHD16A	7	10	14	7	14	10	10.3333333333333	3.51188458428425
ABHD16B	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ABHD17A	3	4	7	3	7	4	4.66666666666667	2.08166599946613
ABHD17B	4	4	2	2	4	4	3.33333333333333	1.15470053837925
ABHD17C	7	7	5	5	7	7	6.33333333333333	1.15470053837925
ABHD2	19	15	10	10	19	15	14.6666666666667	4.50924975282289
ABHD3	1	2	1	1	2	1	1.33333333333333	0.577350269189626
ABHD4	68	64	59	59	68	64	63.6666666666667	4.50924975282289
ABHD5	16	14	26	14	26	16	18.6666666666667	6.42910050732864
ABHD6	2	4	3	2	4	3	3	1
ABHD8	0	3	1	0	3	1	1.33333333333333	1.52752523165195
ABI1	50	65	43	43	65	50	52.6666666666667	11.2398102000582
ABI2	27	43	19	19	43	27	29.6666666666667	12.2202018532156
ABI3BP	73	76	75	73	76	75	74.6666666666667	1.52752523165195
ABL1	11	18	4	4	18	11	11	7
ABL2	32	22	24	22	32	24	26	5.29150262212918
ABLIM1	66	75	73	66	75	73	71.3333333333333	4.72581562625261
ABLIM2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ABLIM3	17	12	16	12	17	16	15	2.64575131106459
ABR	7	4	7	4	7	7	6	1.73205080756888
ABRA	0	0	0	0	0	0	0	0
ABRACL	52	57	22	22	57	52	43.6666666666667	18.9296944860009
ABT1	8	19	11	8	19	11	12.6666666666667	5.68624070307733
ABTB1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ABTB2	1	1	1	1	1	1	1	0
ACAA1	13	7	8	7	13	8	9.33333333333333	3.21455025366432
ACAA2	68	72	66	66	72	68	68.6666666666667	3.05505046330389
ACACA	6	6	10	6	10	6	7.33333333333333	2.3094010767585
ACACB	0	1	1	0	1	1	0.666666666666667	0.577350269189626
ACAD10	3	4	3	3	4	3	3.33333333333333	0.577350269189626
ACAD11	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACAD8	7	7	5	5	7	7	6.33333333333333	1.15470053837925
ACAD9	9	6	6	6	9	6	7	1.73205080756888
ACADL	0	2	1	0	2	1	1	1
ACADM	53	52	62	52	62	53	55.6666666666667	5.5075705472861
ACADS	0	3	0	0	3	0	1	1.73205080756888
ACADSB	9	8	4	4	9	8	7	2.64575131106459
ACADVL	29	28	18	18	29	28	25	6.08276253029822
ACAN	0	0	0	0	0	0	0	0
ACAP1	5	3	3	3	5	3	3.66666666666667	1.15470053837925
ACAP2	38	57	46	38	57	46	47	9.53939201416946
ACAP3	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACAT1	80	94	97	80	97	94	90.3333333333333	9.07377172587747
ACAT2	6	6	4	4	6	6	5.33333333333333	1.15470053837925
ACBD3	14	26	20	14	26	20	20	6
ACBD4	1	3	2	1	3	2	2	1
ACBD5	16	23	24	16	24	23	21	4.35889894354067
ACBD6	19	18	21	18	21	19	19.3333333333333	1.52752523165195
ACBD7	3	8	3	3	8	3	4.66666666666667	2.88675134594813
ACCS	1	0	2	0	2	1	1	1
ACD	3	3	4	3	4	3	3.33333333333333	0.577350269189626
ACE	0	0	0	0	0	0	0	0
ACE2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACER1	0	0	0	0	0	0	0	0
ACER2	0	0	0	0	0	0	0	0
ACER3	2	3	1	1	3	2	2	1
ACIN1	67	73	63	63	73	67	67.6666666666667	5.03322295684717
ACLY	42	44	27	27	44	42	37.6666666666667	9.29157324317757
ACMSD	0	0	0	0	0	0	0	0
ACN9	49	44	54	44	54	49	49	5
ACO1	11	27	14	11	27	14	17.3333333333333	8.50490054811538
ACO2	5	4	6	4	6	5	5	1
ACOT1	0	0	0	0	0	0	0	0
ACOT11	0	0	0	0	0	0	0	0
ACOT13	93	125	121	93	125	121	113	17.4355957741627
ACOT2	3	2	3	2	3	3	2.66666666666667	0.577350269189626
ACOT4	2	1	0	0	2	1	1	1
ACOT6	0	0	0	0	0	0	0	0
ACOT7	5	10	9	5	10	9	8	2.64575131106459
ACOT8	8	6	6	6	8	6	6.66666666666667	1.15470053837925
ACOT9	50	73	53	50	73	53	58.6666666666667	12.5033328890074
ACOX1	40	45	31	31	45	40	38.6666666666667	7.09459888459759
ACOX2	10	10	10	10	10	10	10	0
ACOX3	13	7	7	7	13	7	9	3.46410161513775
ACOXL	0	0	0	0	0	0	0	0
ACP1	313	353	378	313	378	353	348	32.78719262151
ACP2	10	7	10	7	10	10	9	1.73205080756888
ACP5	0	0	0	0	0	0	0	0
ACP6	1	2	2	1	2	2	1.66666666666667	0.577350269189626
ACPL2	6	9	5	5	9	6	6.66666666666667	2.08166599946613
ACPP	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACRBP	0	0	0	0	0	0	0	0
ACRC	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ACRV1	0	0	0	0	0	0	0	0
ACSBG1	0	3	0	0	3	0	1	1.73205080756888
ACSBG2	0	0	0	0	0	0	0	0
ACSF2	2	6	4	2	6	4	4	2
ACSF3	0	3	1	0	3	1	1.33333333333333	1.52752523165195
ACSL1	24	35	36	24	36	35	31.6666666666667	6.65832811847939
ACSL3	29	30	20	20	30	29	26.3333333333333	5.5075705472861
ACSL4	22	33	16	16	33	22	23.6666666666667	8.62167810425171
ACSL5	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ACSL6	7	21	14	7	21	14	14	7
ACSM1	0	0	0	0	0	0	0	0
ACSM2A	0	0	0	0	0	0	0	0
ACSM3	0	0	0	0	0	0	0	0
ACSM5	0	1	1	0	1	1	0.666666666666667	0.577350269189626
ACSS1	0	0	0	0	0	0	0	0
ACSS2	5	11	3	3	11	5	6.33333333333333	4.16333199893227
ACSS3	3	0	1	0	3	1	1.33333333333333	1.52752523165195
ACTA2	4455	4679	4173	4173	4679	4455	4435.66666666667	253.553413176264
ACTB	1282	1363	1128	1128	1363	1282	1257.66666666667	119.374760034663
ACTBL2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACTC1	0	0	0	0	0	0	0	0
ACTG1	4013	4214	3162	3162	4214	4013	3796.33333333333	558.466053877345
ACTG1P4	0	0	0	0	0	0	0	0
ACTG2	1	1	1	1	1	1	1	0
ACTL10	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ACTL6A	54	75	63	54	75	63	64	10.5356537528527
ACTL8	0	0	0	0	0	0	0	0
ACTN1	166	199	166	166	199	166	177	19.0525588832576
ACTN1-AS1	0	0	0	0	0	0	0	0
ACTN2	0	0	0	0	0	0	0	0
ACTN4	54	66	48	48	66	54	56	9.16515138991168
ACTR10	136	172	155	136	172	155	154.333333333333	18.0092568789868
ACTR1A	67	100	83	67	100	83	83.3333333333333	16.5025250593154
ACTR1B	13	23	18	13	23	18	18	5
ACTR2	127	161	114	114	161	127	134	24.2693221990232
ACTR3	79	84	61	61	84	79	74.6666666666667	12.0968315410827
ACTR3B	0	1	2	0	2	1	1	1
ACTR3C	0	0	0	0	0	0	0	0
ACTR5	0	2	0	0	2	0	0.666666666666667	1.15470053837925
ACTR6	43	40	30	30	43	40	37.6666666666667	6.80685928555405
ACTR8	12	13	9	9	13	12	11.3333333333333	2.08166599946613
ACTRT3	0	1	2	0	2	1	1	1
ACVR1	25	26	17	17	26	25	22.6666666666667	4.93288286231625
ACVR1B	3	4	5	3	5	4	4	1
ACVR1C	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ACVR2A	30	11	33	11	33	30	24.6666666666667	11.9303534454489
ACVR2B	4	1	0	0	4	1	1.66666666666667	2.08166599946613
ACVR2B-AS1	0	1	1	0	1	1	0.666666666666667	0.577350269189626
ACVRL1	1	0	3	0	3	1	1.33333333333333	1.52752523165195
ACY1	0	0	0	0	0	0	0	0
ACYP1	6	4	9	4	9	6	6.33333333333333	2.51661147842358
ACYP2	32	23	34	23	34	32	29.6666666666667	5.85946527708232
ADA	2	2	2	2	2	2	2	0
ADAL	11	10	15	10	15	11	12	2.64575131106459
ADAM10	33	36	28	28	36	33	32.3333333333333	4.04145188432738
ADAM11	0	0	0	0	0	0	0	0
ADAM12	14	12	15	12	15	14	13.6666666666667	1.52752523165195
ADAM15	1	4	1	1	4	1	2	1.73205080756888
ADAM17	24	28	34	24	34	28	28.6666666666667	5.03322295684717
ADAM18	0	0	0	0	0	0	0	0
ADAM19	3	8	1	1	8	3	4	3.60555127546399
ADAM1A	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ADAM20	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAM20P1	0	0	0	0	0	0	0	0
ADAM21	3	2	1	1	3	2	2	1
ADAM22	0	0	0	0	0	0	0	0
ADAM23	2	1	2	1	2	2	1.66666666666667	0.577350269189626
ADAM28	0	0	0	0	0	0	0	0
ADAM29	0	0	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0	0	0
ADAM32	0	0	0	0	0	0	0	0
ADAM33	2	4	0	0	4	2	2	2
ADAM7	0	0	0	0	0	0	0	0
ADAM8	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ADAM9	63	75	80	63	80	75	72.6666666666667	8.73689494805411
ADAMTS1	26	46	39	26	46	39	37	10.1488915650922
ADAMTS10	2	1	2	1	2	2	1.66666666666667	0.577350269189626
ADAMTS12	14	21	12	12	21	14	15.6666666666667	4.72581562625261
ADAMTS13	1	3	0	0	3	1	1.33333333333333	1.52752523165195
ADAMTS14	0	0	0	0	0	0	0	0
ADAMTS15	1	1	1	1	1	1	1	0
ADAMTS16	0	0	0	0	0	0	0	0
ADAMTS17	4	5	1	1	5	4	3.33333333333333	2.08166599946613
ADAMTS18	0	0	0	0	0	0	0	0
ADAMTS19	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADAMTS2	21	29	23	21	29	23	24.3333333333333	4.16333199893227
ADAMTS3	3	2	2	2	3	2	2.33333333333333	0.577350269189626
ADAMTS4	6	11	3	3	11	6	6.66666666666667	4.04145188432738
ADAMTS5	45	38	45	38	45	45	42.6666666666667	4.04145188432738
ADAMTS6	19	17	4	4	19	17	13.3333333333333	8.14452781524708
ADAMTS7	3	0	1	0	3	1	1.33333333333333	1.52752523165195
ADAMTS8	0	0	0	0	0	0	0	0
ADAMTS9	0	0	0	0	0	0	0	0
ADAMTS9-AS2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADAMTSL1	6	4	4	4	6	4	4.66666666666667	1.15470053837925
ADAMTSL2	1	4	1	1	4	1	2	1.73205080756888
ADAMTSL3	16	9	3	3	16	9	9.33333333333333	6.50640709864771
ADAMTSL4	0	4	1	0	4	1	1.66666666666667	2.08166599946613
ADAMTSL5	2	1	2	1	2	2	1.66666666666667	0.577350269189626
ADAP1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADAP2	0	0	0	0	0	0	0	0
ADAR	45	41	39	39	45	41	41.6666666666667	3.05505046330389
ADARB1	9	7	7	7	9	7	7.66666666666667	1.15470053837925
ADARB2	0	0	0	0	0	0	0	0
ADAT1	14	22	7	7	22	14	14.3333333333333	7.50555349946513
ADAT2	3	5	3	3	5	3	3.66666666666667	1.15470053837925
ADAT3	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ADC	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADCK1	4	3	5	3	5	4	4	1
ADCK2	5	4	4	4	5	4	4.33333333333333	0.577350269189626
ADCK3	2	2	0	0	2	2	1.33333333333333	1.15470053837925
ADCK4	2	1	4	1	4	2	2.33333333333333	1.52752523165195
ADCK5	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADCY1	1	4	2	1	4	2	2.33333333333333	1.52752523165195
ADCY10	0	0	0	0	0	0	0	0
ADCY10P1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ADCY2	0	0	0	0	0	0	0	0
ADCY3	1	1	1	1	1	1	1	0
ADCY4	0	0	0	0	0	0	0	0
ADCY5	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ADCY6	21	19	8	8	21	19	16	7
ADCY7	27	19	14	14	27	19	20	6.557438524302
ADCY8	0	0	0	0	0	0	0	0
ADCY9	3	1	3	1	3	3	2.33333333333333	1.15470053837925
ADCYAP1R1	0	0	0	0	0	0	0	0
ADD1	35	38	37	35	38	37	36.6666666666667	1.52752523165195
ADD3	140	147	124	124	147	140	137	11.7898261225516
ADD3-AS1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ADH1A	0	0	0	0	0	0	0	0
ADH1B	1	11	8	1	11	8	6.66666666666667	5.13160143944688
ADH1C	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ADH4	0	0	0	0	0	0	0	0
ADH5	241	337	290	241	337	290	289.333333333333	48.0034720966446
ADH6	0	0	0	0	0	0	0	0
ADHFE1	4	4	5	4	5	4	4.33333333333333	0.577350269189626
ADI1	21	37	34	21	37	34	30.6666666666667	8.50490054811538
ADIPOQ	6	8	8	6	8	8	7.33333333333333	1.15470053837925
ADIPOQ-AS1	0	0	0	0	0	0	0	0
ADIPOR1	43	59	38	38	59	43	46.6666666666667	10.9696551146029
ADIPOR2	3	9	11	3	11	9	7.66666666666667	4.16333199893227
ADIRF	16	22	17	16	22	17	18.3333333333333	3.21455025366432
ADK	50	36	41	36	50	41	42.3333333333333	7.09459888459759
ADM	22	22	35	22	35	22	26.3333333333333	7.50555349946513
