Gene	SUN+DOM.A.6.22.1.D12	SUN+DOM.A.6.23.1.E1	SUN+DOM.A.6.24.1.E2	Min	Max	Median	Mean	Std
A1BG	22	17	13	13	22	17	17.3333333333333	4.50924975282289
A1BG-AS1	1	3	0	0	3	1	1.33333333333333	1.52752523165195
A1CF	0	0	0	0	0	0	0	0
A2M	6	2	1	1	6	2	3	2.64575131106459
A2M-AS1	2	0	1	0	2	1	1	1
A2ML1	8	3	1	1	8	3	4	3.60555127546399
A4GALT	1	3	1	1	3	1	1.66666666666667	1.15470053837925
A4GNT	0	0	0	0	0	0	0	0
AAAS	28	17	22	17	28	22	22.3333333333333	5.5075705472861
AACS	9	1	3	1	9	3	4.33333333333333	4.16333199893227
AADAC	0	0	1	0	1	0	0.333333333333333	0.577350269189626
AADAT	3	0	2	0	3	2	1.66666666666667	1.52752523165195
AAED1	6	6	7	6	7	6	6.33333333333333	0.577350269189626
AAGAB	71	41	41	41	71	41	51	17.3205080756888
AAK1	43	19	20	19	43	20	27.3333333333333	13.5769412362775
AAMDC	181	96	120	96	181	120	132.333333333333	43.8216080642111
AAMP	20	24	27	20	27	24	23.6666666666667	3.51188458428425
AANAT	0	0	0	0	0	0	0	0
AAR2	39	26	33	26	39	33	32.6666666666667	6.50640709864771
AARD	1	2	2	1	2	2	1.66666666666667	0.577350269189626
AARS	30	19	31	19	31	30	26.6666666666667	6.65832811847939
AARS2	8	4	5	4	8	5	5.66666666666667	2.08166599946613
AARSD1	0	0	2	0	2	0	0.666666666666667	1.15470053837925
AASDH	12	9	6	6	12	9	9	3
AASDHPPT	71	58	79	58	79	71	69.3333333333333	10.5987420637231
AASS	12	11	8	8	12	11	10.3333333333333	2.08166599946613
AATF	13	10	11	10	13	11	11.3333333333333	1.52752523165195
AATK	0	0	0	0	0	0	0	0
ABAT	1	0	1	0	1	1	0.666666666666667	0.577350269189626
ABCA1	249	171	183	171	249	183	201	42
ABCA10	12	9	10	9	12	10	10.3333333333333	1.52752523165195
ABCA11P	5	7	3	3	7	5	5	2
ABCA12	0	0	0	0	0	0	0	0
ABCA13	3	3	3	3	3	3	3	0
ABCA17P	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ABCA2	4	1	0	0	4	1	1.66666666666667	2.08166599946613
ABCA3	1	1	1	1	1	1	1	0
ABCA4	3	1	1	1	3	1	1.66666666666667	1.15470053837925
ABCA5	10	17	12	10	17	12	13	3.60555127546399
ABCA6	23	21	26	21	26	23	23.3333333333333	2.51661147842358
ABCA7	0	0	0	0	0	0	0	0
ABCA8	36	26	21	21	36	26	27.6666666666667	7.63762615825973
ABCA9	56	43	43	43	56	43	47.3333333333333	7.50555349946513
ABCB1	0	0	0	0	0	0	0	0
ABCB10	6	3	4	3	6	4	4.33333333333333	1.52752523165195
ABCB5	5	3	4	3	5	4	4	1
ABCB6	17	13	10	10	17	13	13.3333333333333	3.51188458428425
ABCB7	16	10	18	10	18	16	14.6666666666667	4.16333199893227
