Gene	SUN+LOP.A.7.15.1.F5	SUN+LOP.A.7.16.1.F6	SUN+LOP.A.8.12.1.G9	Min	Max	Median	Mean	Std
A1BG	25	15	4	4	25	15	14.6666666666667	10.5039675043925
A1BG-AS1	1	0	1	0	1	1	0.666666666666667	0.577350269189626
A1CF	0	0	0	0	0	0	0	0
A2M	9	6	0	0	9	6	5	4.58257569495584
A2M-AS1	0	0	0	0	0	0	0	0
A2ML1	2	2	3	2	3	2	2.33333333333333	0.577350269189626
A4GALT	1	2	1	1	2	1	1.33333333333333	0.577350269189626
A4GNT	0	0	0	0	0	0	0	0
AAAS	30	12	7	7	30	12	16.3333333333333	12.0968315410827
AACS	6	5	1	1	6	5	4	2.64575131106459
AADAC	1	0	1	0	1	1	0.666666666666667	0.577350269189626
AADAT	0	1	0	0	1	0	0.333333333333333	0.577350269189626
AAED1	5	4	0	0	5	4	3	2.64575131106459
AAGAB	63	43	3	3	63	43	36.3333333333333	30.5505046330389
AAK1	24	18	4	4	24	18	15.3333333333333	10.2632028788938
AAMDC	115	78	17	17	115	78	70	49.4873721266345
AAMP	16	14	3	3	16	14	11	7
AANAT	0	0	0	0	0	0	0	0
AAR2	48	24	6	6	48	24	26	21.0713075057055
AARD	4	3	0	0	4	3	2.33333333333333	2.08166599946613
AARS	32	11	4	4	32	11	15.6666666666667	14.5716619962629
AARS2	7	4	0	0	7	4	3.66666666666667	3.51188458428425
AARSD1	0	0	0	0	0	0	0	0
AASDH	11	15	0	0	15	11	8.66666666666667	7.76745346515403
AASDHPPT	96	54	10	10	96	54	53.3333333333333	43.0038757943204
AASS	7	3	0	0	7	3	3.33333333333333	3.51188458428425
AATF	14	4	5	4	14	5	7.66666666666667	5.5075705472861
AATK	0	0	0	0	0	0	0	0
ABAT	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ABCA1	210	124	34	34	210	124	122.666666666667	88.0075754315123
ABCA10	9	4	2	2	9	4	5	3.60555127546399
ABCA11P	3	2	0	0	3	2	1.66666666666667	1.52752523165195
ABCA12	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ABCA13	4	4	0	0	4	4	2.66666666666667	2.3094010767585
ABCA17P	0	0	0	0	0	0	0	0
ABCA2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ABCA3	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ABCA4	2	1	0	0	2	1	1	1
ABCA5	9	7	3	3	9	7	6.33333333333333	3.05505046330389
ABCA6	27	16	2	2	27	16	15	12.5299640861417
ABCA7	0	0	0	0	0	0	0	0
ABCA8	41	35	5	5	41	35	27	19.2873015219859
ABCA9	65	41	7	7	65	41	37.6666666666667	29.1433239925259
ABCB1	0	0	0	0	0	0	0	0
ABCB10	2	5	1	1	5	2	2.66666666666667	2.08166599946613
ABCB5	5	6	0	0	6	5	3.66666666666667	3.21455025366432
ABCB6	10	3	2	2	10	3	5	4.35889894354067
ABCB7	23	12	1	1	23	12	12	11
ABCB8	1	2	0	0	2	1	1	1
ABCB9	0	0	0	0	0	0	0	0
ABCC1	11	17	2	2	17	11	10	7.54983443527075
ABCC10	4	3	0	0	4	3	2.33333333333333	2.08166599946613
ABCC11	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0
ABCC13	3	1	0	0	3	1	1.33333333333333	1.52752523165195
ABCC2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ABCC3	3	4	1	1	4	3	2.66666666666667	1.52752523165195
ABCC4	5	5	3	3	5	5	4.33333333333333	1.15470053837925
ABCC5	21	5	3	3	21	5	9.66666666666667	9.86576572463249
ABCC5-AS1	0	0	0	0	0	0	0	0
ABCC6	0	0	0	0	0	0	0	0
ABCC9	2	0	1	0	2	1	1	1
ABCD1	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ABCD2	0	0	0	0	0	0	0	0
ABCD3	25	15	4	4	25	15	14.6666666666667	10.5039675043925
ABCD4	15	13	4	4	15	13	10.6666666666667	5.85946527708231
ABCE1	67	58	10	10	67	58	45	30.6431068920891
ABCF1	94	61	7	7	94	61	54	43.9203825119955
ABCF2	58	31	2	2	58	31	30.3333333333333	28.0059517483933
ABCF3	11	7	2	2	11	7	6.66666666666667	4.50924975282289
ABCG1	3	0	0	0	3	0	1	1.73205080756888
ABCG2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ABCG4	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ABCG5	0	0	0	0	0	0	0	0
ABHD1	0	0	0	0	0	0	0	0
ABHD10	11	6	6	6	11	6	7.66666666666667	2.88675134594813
ABHD11	10	1	1	1	10	1	4	5.19615242270663
ABHD12	2	3	1	1	3	2	2	1
ABHD12B	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ABHD13	18	14	3	3	18	14	11.6666666666667	7.76745346515403
ABHD14A	3	2	1	1	3	2	2	1
ABHD14A-ACY1	0	0	0	0	0	0	0	0
ABHD14B	12	9	5	5	12	9	8.66666666666667	3.51188458428425
ABHD15	11	8	3	3	11	8	7.33333333333333	4.04145188432738
ABHD16A	11	6	0	0	11	6	5.66666666666667	5.5075705472861
ABHD16B	0	0	0	0	0	0	0	0
ABHD17A	7	0	2	0	7	2	3	3.60555127546399
ABHD17B	4	3	1	1	4	3	2.66666666666667	1.52752523165195
ABHD17C	3	6	1	1	6	3	3.33333333333333	2.51661147842358
ABHD2	12	8	1	1	12	8	7	5.56776436283002
ABHD3	0	0	0	0	0	0	0	0
ABHD4	70	46	10	10	70	46	42	30.199337741083
ABHD5	9	13	1	1	13	9	7.66666666666667	6.11010092660779
ABHD6	4	0	0	0	4	0	1.33333333333333	2.3094010767585
ABHD8	1	5	0	0	5	1	2	2.64575131106459
ABI1	53	43	7	7	53	43	34.3333333333333	24.1936630821654
ABI2	34	25	0	0	34	25	19.6666666666667	17.6162803489651
ABI3BP	61	59	16	16	61	59	45.3333333333333	25.4230866208911
ABL1	15	8	0	0	15	8	7.66666666666667	7.50555349946513
ABL2	29	18	4	4	29	18	17	12.5299640861417
ABLIM1	91	43	13	13	91	43	49	39.344631145812
ABLIM2	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ABLIM3	13	8	4	4	13	8	8.33333333333333	4.50924975282289
ABR	6	2	1	1	6	2	3	2.64575131106459
ABRA	0	0	0	0	0	0	0	0
ABRACL	34	18	7	7	34	18	19.6666666666667	13.5769412362775
ABT1	22	8	0	0	22	8	10	11.13552872566
ABTB1	0	1	1	0	1	1	0.666666666666667	0.577350269189626
ABTB2	2	1	0	0	2	1	1	1
ACAA1	3	2	2	2	3	2	2.33333333333333	0.577350269189626
ACAA2	77	43	11	11	77	43	43.6666666666667	33.0050501186308
ACACA	6	6	1	1	6	6	4.33333333333333	2.88675134594813
ACACB	2	2	1	1	2	2	1.66666666666667	0.577350269189626
ACAD10	5	2	0	0	5	2	2.33333333333333	2.51661147842358
ACAD11	0	0	0	0	0	0	0	0
ACAD8	3	5	2	2	5	3	3.33333333333333	1.52752523165195
ACAD9	14	4	0	0	14	4	6	7.21110255092798
ACADL	0	2	1	0	2	1	1	1
ACADM	74	48	5	5	74	48	42.3333333333333	34.847285881878
ACADS	0	0	0	0	0	0	0	0
ACADSB	6	2	1	1	6	2	3	2.64575131106459
ACADVL	28	13	2	2	28	13	14.3333333333333	13.0511813003013
ACAN	0	1	0	0	1	0	0.333333333333333	0.577350269189626
