Gene	SUN.A.6.7.1.D2	SUN.A.6.8.1.D3	SUN.A.6.9.1.D4	SUN.A.7.13.1.F3	SUN.A.7.14.1.F4	Min	Max	Median	Mean	Std
A1BG	38	22	21	28	18	18	38	22	25.4	7.92464510246358
A1BG-AS1	1	1	2	1	2	1	2	1	1.4	0.547722557505166
A1CF	0	0	0	0	1	0	1	0	0.2	0.447213595499958
A2M	14	9	3	10	20	3	20	10	11.2	6.30079360080935
A2M-AS1	3	0	2	1	1	0	3	1	1.4	1.14017542509914
A2ML1	11	6	7	4	2	2	11	6	6	3.39116499156263
A4GALT	1	0	4	2	1	0	4	1	1.6	1.51657508881031
A4GNT	0	0	0	0	0	0	0	0	0	0
AAAS	41	22	29	26	20	20	41	26	27.6	8.26438140455775
AACS	7	5	3	1	4	1	7	4	4	2.23606797749979
AADAC	0	0	0	0	0	0	0	0	0	0
AADAT	1	1	1	0	2	0	2	1	1	0.707106781186548
AAED1	11	11	11	6	8	6	11	11	9.4	2.30217288664427
AAGAB	83	56	68	65	70	56	83	68	68.4	9.76217188949263
AAK1	38	18	27	44	29	18	44	29	31.2	10.084641788383
AAMDC	195	130	150	141	123	123	195	141	147.8	28.331960751067
AAMP	34	30	39	29	33	29	39	33	33	3.93700393700591
AANAT	0	3	0	0	0	0	3	0	0.6	1.34164078649987
AAR2	80	51	33	38	42	33	80	42	48.8	18.6467155284785
AARD	4	2	3	2	3	2	4	3	2.8	0.836660026534076
AARS	25	30	30	28	34	25	34	30	29.4	3.286335345031
AARS2	6	2	6	2	6	2	6	6	4.4	2.19089023002066
AARSD1	0	0	0	0	1	0	1	0	0.2	0.447213595499958
AASDH	17	10	18	12	15	10	18	15	14.4	3.36154726279432
AASDHPPT	120	110	83	88	86	83	120	88	97.4	16.5469030334984
AASS	14	7	15	12	11	7	15	12	11.8	3.11448230047949
AATF	12	10	22	9	20	9	22	12	14.6	5.98331012066064
AATK	0	0	0	0	0	0	0	0	0	0
ABAT	0	1	1	4	0	0	4	1	1.2	1.6431676725155
ABCA1	489	291	359	240	278	240	489	291	331.4	98.027037086714
ABCA10	10	9	7	15	16	7	16	10	11.4	3.91152144312159
ABCA11P	9	4	6	4	2	2	9	4	5	2.64575131106459
ABCA12	1	0	0	0	0	0	1	0	0.2	0.447213595499958
ABCA13	2	2	5	7	5	2	7	5	4.2	2.16794833886788
ABCA17P	0	0	0	0	2	0	2	0	0.4	0.894427190999916
ABCA2	3	3	3	1	0	0	3	3	2	1.4142135623731
ABCA3	1	0	1	2	0	0	2	1	0.8	0.836660026534076
ABCA4	1	5	5	3	2	1	5	3	3.2	1.78885438199983
ABCA5	17	14	14	9	14	9	17	14	13.6	2.88097205817759
ABCA6	42	19	21	22	34	19	42	22	27.6	9.96493853468249
ABCA7	2	0	1	0	0	0	2	0	0.6	0.894427190999916
ABCA8	52	57	40	42	44	40	57	44	47	7.21110255092798
ABCA9	70	58	61	74	61	58	74	61	64.8	6.83373982530795
ABCB1	0	0	0	0	0	0	0	0	0	0
ABCB10	8	8	6	2	3	2	8	6	5.4	2.79284800875379
ABCB5	11	6	5	7	4	4	11	6	6.6	2.70185121722126
ABCB6	7	10	6	12	11	6	12	10	9.2	2.58843582110896
ABCB7	32	15	19	16	30	15	32	19	22.4	8.01872807869178
ABCB8	3	2	3	4	3	2	4	3	3	0.707106781186548
ABCB9	1	0	0	0	0	0	1	0	0.2	0.447213595499958
ABCC1	28	14	13	22	20	13	28	20	19.4	6.14817045957576
