Gene	TRS+DOM.A.4.15.1.B9	TRS+DOM.A.4.16.1.B10	TRS+DOM.A.5.12.1.C8	Min	Max	Median	Mean	Std
A1BG	128	13	7	7	128	13	49.3333333333333	68.1933525597131
A1BG-AS1	4	3	1	1	4	3	2.66666666666667	1.52752523165195
A1CF	0	0	0	0	0	0	0	0
A2M	38	9	0	0	38	9	15.6666666666667	19.8578280114753
A2M-AS1	3	0	1	0	3	1	1.33333333333333	1.52752523165195
A2ML1	31	9	2	2	31	9	14	15.1327459504216
A4GALT	5	2	1	1	5	2	2.66666666666667	2.08166599946613
A4GNT	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AAAS	164	39	9	9	164	39	70.6666666666667	82.2090830342568
AACS	20	5	3	3	20	5	9.33333333333333	9.29157324317757
AADAC	0	0	0	0	0	0	0	0
AADAT	9	2	1	1	9	2	4	4.35889894354067
AAED1	44	9	4	4	44	9	19	21.7944947177034
AAGAB	250	46	22	22	250	46	106	125.283678106927
AAK1	157	30	19	19	157	30	68.6666666666667	76.6963710571324
AAMDC	797	148	51	51	797	148	332	405.611883455108
AAMP	157	32	7	7	157	32	65.3333333333333	80.363756341608
AANAT	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AAR2	280	54	10	10	280	54	114.666666666667	144.863153815362
AARD	17	2	3	2	17	3	7.33333333333333	8.38649708360608
AARS	127	28	13	13	127	28	56	61.9435226637943
AARS2	21	9	2	2	21	9	10.6666666666667	9.60902353693305
AARSD1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
AASDH	67	23	5	5	67	23	31.6666666666667	31.8956632370818
AASDHPPT	465	74	39	39	465	74	192.666666666667	236.495947815884
AASS	56	11	5	5	56	11	24	27.8747197295327
AATF	59	13	1	1	59	13	24.3333333333333	30.6159000085468
AATK	0	0	0	0	0	0	0	0
ABAT	6	1	2	1	6	2	3	2.64575131106459
ABCA1	1545	227	126	126	1545	227	632.666666666667	791.716068634036
ABCA10	38	5	4	4	38	5	15.6666666666667	19.3476958145753
