Gene	TRS+LOP.A.4.10.1.B4	TRS+LOP.A.4.11.1.B5	TRS+LOP.A.4.12.1.B6	Min	Max	Median	Mean	Std
A1BG	30	24	22	22	30	24	25.3333333333333	4.16333199893227
A1BG-AS1	2	1	3	1	3	2	2	1
A1CF	0	0	0	0	0	0	0	0
A2M	12	7	6	6	12	7	8.33333333333333	3.21455025366432
A2M-AS1	1	2	0	0	2	1	1	1
A2ML1	11	5	3	3	11	5	6.33333333333333	4.16333199893227
A4GALT	2	2	1	1	2	2	1.66666666666667	0.577350269189626
A4GNT	0	0	0	0	0	0	0	0
AAAS	37	39	20	20	39	37	32	10.4403065089106
AACS	5	9	3	3	9	5	5.66666666666667	3.05505046330389
AADAC	0	0	0	0	0	0	0	0
AADAT	2	4	1	1	4	2	2.33333333333333	1.52752523165195
AAED1	7	9	5	5	9	7	7	2
AAGAB	56	54	48	48	56	54	52.6666666666667	4.16333199893227
AAK1	45	31	20	20	45	31	32	12.5299640861417
AAMDC	129	94	113	94	129	113	112	17.5214154679352
AAMP	28	29	16	16	29	28	24.3333333333333	7.23417813807024
AANAT	0	0	0	0	0	0	0	0
AAR2	47	32	39	32	47	39	39.3333333333333	7.50555349946513
AARD	5	2	5	2	5	5	4	1.73205080756888
AARS	32	34	17	17	34	32	27.6666666666667	9.29157324317757
AARS2	3	3	4	3	4	3	3.33333333333333	0.577350269189626
AARSD1	0	0	0	0	0	0	0	0
AASDH	11	14	17	11	17	14	14	3
AASDHPPT	79	83	51	51	83	79	71	17.4355957741627
AASS	7	4	7	4	7	7	6	1.73205080756888
AATF	17	15	11	11	17	15	14.3333333333333	3.05505046330389
AATK	0	0	0	0	0	0	0	0
ABAT	0	0	2	0	2	0	0.666666666666667	1.15470053837925
ABCA1	277	251	220	220	277	251	249.333333333333	28.5365263010993
ABCA10	8	8	6	6	8	8	7.33333333333333	1.15470053837925
ABCA11P	3	7	5	3	7	5	5	2
ABCA12	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ABCA13	2	5	3	2	5	3	3.33333333333333	1.52752523165195
ABCA17P	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ABCA2	4	2	3	2	4	3	3	1
ABCA3	2	2	0	0	2	2	1.33333333333333	1.15470053837925
ABCA4	7	1	0	0	7	1	2.66666666666667	3.78593889720018
ABCA5	15	10	7	7	15	10	10.6666666666667	4.04145188432738
ABCA6	19	14	26	14	26	19	19.6666666666667	6.02771377334171
ABCA7	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ABCA8	64	44	37	37	64	44	48.3333333333333	14.0118997046558
ABCA9	52	37	33	33	52	37	40.6666666666667	10.0166528008778
ABCB1	0	0	0	0	0	0	0	0
ABCB10	6	8	7	6	8	7	7	1
ABCB5	4	1	7	1	7	4	4	3
ABCB6	15	18	10	10	18	15	14.3333333333333	4.04145188432738
ABCB7	26	13	19	13	26	19	19.3333333333333	6.50640709864771
