Cell	Plate	Condition1	Condition2	Gene	logFC	logCPM	PValue
A	1	CTRL	DOM	HBB	1.12421228272511	7.17741267415335	3.54435597149153e-20
A	1	CTRL	DOM	VIM	0.429791577195556	11.1538896669311	1.59396503715e-06
A	1	CTRL	DOM	COL14A1	0.453583290846322	7.39183852966541	8.3210117561204e-05
A	1	CTRL	DOM	MYH11	1.00253431168975	3.66184338439985	0.000101827799042578
A	1	CTRL	DOM	ZNF449	1.28595935309703	2.79731191016422	0.000135722837117425
A	1	CTRL	DOM	HSD17B14	2.16088547023359	1.63851753782901	0.00015769811962817
A	1	CTRL	DOM	FKBP9L	-4.92616577592704	2.00578088775635	0.000220021370564628
A	1	CTRL	DOM	PITPNA	0.77759116480402	4.13605217692907	0.000454958663125237
A	1	CTRL	DOM	ANTXR2	0.479962469204623	6.14863746820951	0.000492378219376774
A	1	CTRL	DOM	LINC00883	-1.2120018316357	3.66720437557979	0.000520558472324073
A	1	CTRL	DOM	KDM5B	0.508300568014386	5.65972368950449	0.000550634940617445
A	1	CTRL	DOM	RNLS	1.10796617651575	2.95507739300681	0.000603247246699793
A	1	CTRL	DOM	PRUNE2	0.853015854014734	3.66475138742981	0.000656863487240513
A	1	CTRL	DOM	PIWIL3	-3.05111649898857	2.09560746591717	0.000691544596607209
A	1	CTRL	DOM	THAP4	-1.54143184169782	3.08926848641473	0.000862647634087469
A	1	CTRL	DOM	CCL2	-0.393612390867479	7.61954998656913	0.000942482136127735
A	1	CTRL	DOM	GNG2	-1.78178446019211	2.82667671956994	0.00110675460361056
A	1	CTRL	DOM	SNX17	-0.754484514429463	4.6487673534452	0.00130750146346819
A	1	CTRL	DOM	SFI1	1.81644378981321	1.69002383372372	0.00138473337960252
A	1	CTRL	DOM	PLIN2	-0.407866742194964	7.1731575471167	0.00141015107693405
A	1	CTRL	DOM	TNFAIP6	0.354212491716184	7.60750820863423	0.00149604294672031
A	1	CTRL	DOM	JAKMIP2	-2.4340029442319	2.22338563599811	0.00156482664526345
A	1	CTRL	DOM	DCAF6	0.585920183907935	4.74118995420758	0.00167544855018819
A	1	CTRL	DOM	POLD2	-0.62174106700811	5.06017293545087	0.00174668746749414
A	1	CTRL	DOM	IFI27L2	-0.438831408286533	6.48019452207757	0.00210865124921938
A	1	CTRL	DOM	SULT1C2	2.11769190054757	1.43931130476978	0.00256066022608976
A	1	CTRL	DOM	PTPN18	-1.83208959271169	2.66502199294372	0.00258309395779026
A	1	CTRL	DOM	WDR52	-1.8192153380546	2.65848962615949	0.00258803372467286
A	1	CTRL	DOM	SF3A1	0.773282880698708	3.67828100238202	0.00274789729297781
A	1	CTRL	DOM	DHRS3	-0.411486468023904	6.76292630520315	0.00283292183602638
A	1	CTRL	DOM	PCOLCE2	-1.48211531072404	2.91234878693322	0.00308967718179934
A	1	CTRL	DOM	TLN1	0.395530168805398	6.20032774011372	0.00312397340006965
A	1	CTRL	DOM	LBR	0.771236894272406	3.64824813741618	0.00319809847273752
A	1	CTRL	DOM	ERP29	-0.373360510589966	7.17736542264562	0.00320613222501985
A	1	CTRL	DOM	C3	-1.11438354416209	3.50109706171306	0.00323688942717864
A	1	CTRL	DOM	ABCB10	-1.77368112173926	2.62922205475614	0.00336732514003918
A	1	CTRL	DOM	DCHS1	-4.3849314529384	1.69701623883011	0.0033767179093533
A	1	CTRL	DOM	LRIG2	0.973011427708485	2.86935809615316	0.00357629036785243
A	1	CTRL	DOM	ZNF586	1.64485297616619	1.56119695690458	0.00372879972928147
A	1	CTRL	DOM	ZFP91	0.605284762690791	4.4666529598726	0.00373901915276891
