Cell	Plate	Condition1	Condition2	Gene	logFC	logCPM	PValue
A	1	CTRL	DTP	NSA2	1.21507654587054	7.29043205566916	1.00746332347276e-26
A	1	CTRL	DTP	RPS9	0.944993255401475	9.68327297960263	9.22014514416818e-22
A	1	CTRL	DTP	FABP4	-1.49048888003606	5.22622075572272	1.42884522161608e-11
A	1	CTRL	DTP	WNK1	0.766058094904065	6.35832317056844	3.99523038764492e-09
A	1	CTRL	DTP	SAA1	-3.48474637622594	2.76985017954931	3.83125210604145e-08
A	1	CTRL	DTP	HMGB2	0.609785206489571	7.59501109823662	8.08111793723197e-08
A	1	CTRL	DTP	RPL18	0.575261018991507	8.493662094676	8.33180572058608e-08
A	1	CTRL	DTP	MSC	0.909651283058433	4.86082627029239	1.02456656937903e-07
A	1	CTRL	DTP	VIM	0.473355862519275	11.1583912048111	1.48982462508637e-06
A	1	CTRL	DTP	BHLHE41	0.577683958808409	6.95359560664753	1.79178255574295e-06
A	1	CTRL	DTP	RPL28	0.473725661610593	10.3954493983272	1.95464655244936e-06
A	1	CTRL	DTP	RAC1	-0.589668921396334	7.37675205895995	2.39140103380218e-06
A	1	CTRL	DTP	TNFRSF1A	0.793024342683101	4.91655351394503	3.13326618698324e-06
A	1	CTRL	DTP	KLF10	0.706416358926117	5.21887589305961	1.14012359483562e-05
A	1	CTRL	DTP	C12orf57	0.453424019199515	8.87661525887635	1.63117471442054e-05
A	1	CTRL	DTP	CCL2	0.484154666158093	7.78151503382577	1.96502700961846e-05
A	1	CTRL	DTP	VEGFA	0.562964859869036	6.23490366824951	1.98412270709927e-05
A	1	CTRL	DTP	CCL11	0.524016447679695	6.59291749859506	3.74568093491849e-05
A	1	CTRL	DTP	SLFN5	0.660347572795689	5.21486241170236	8.00131217909209e-05
A	1	CTRL	DTP	ZNHIT1	-0.576266646491917	6.28281744143818	8.49515304997371e-05
A	1	CTRL	DTP	MYPOP	-1.53059436007552	3.12410060453649	0.00012580533655084
A	1	CTRL	DTP	SERPING1	0.518589172419276	6.11581277924835	0.000154226001575637
A	1	CTRL	DTP	GPCPD1	1.09301018973968	3.15287243963555	0.000210673408678092
A	1	CTRL	DTP	PITPNA	0.757633829582715	4.13139599758453	0.000258858264380234
A	1	CTRL	DTP	C12orf23	-0.531546821369656	6.56737319161807	0.000263068064554483
A	1	CTRL	DTP	ANTXR2	0.509839568431236	6.14750382348521	0.000300283010288818
A	1	CTRL	DTP	JUND	0.672816163566764	4.69219707022515	0.000307472552222537
A	1	CTRL	DTP	PLIN1	-4.75901717384116	1.83879984465351	0.000337488726310495
A	1	CTRL	DTP	WNT3	2.26141927935174	1.35387372698277	0.00034162148749665
A	1	CTRL	DTP	PTK2B	1.53199408119879	2.01240559284754	0.000384590727386759
A	1	CTRL	DTP	ARRDC3	0.519315625236963	5.58926312423933	0.000432212892650206
A	1	CTRL	DTP	ACBD3	-0.681861029372346	5.08207239919252	0.000458368537083927
A	1	CTRL	DTP	PTX3	0.440915002713733	6.85223407677891	0.000593547746163856
A	1	CTRL	DTP	PPP3CA	-0.562446134831876	5.59836964823433	0.000636939314680493
A	1	CTRL	DTP	CBR1	-0.470909885921362	6.58795304925212	0.000664830577323764
A	1	CTRL	DTP	CHORDC1	-0.796997924591397	4.20836500637027	0.000678052039549783
A	1	CTRL	DTP	TNFRSF12A	-0.575857586772113	5.26730756183963	0.000682715278101237
A	1	CTRL	DTP	HJURP	-2.94412848938259	1.832447900544	0.000718623221205756
A	1	CTRL	DTP	PNO1	0.860725980993418	3.41973546434353	0.00076809130948634
A	1	CTRL	DTP	PLIN2	0.392567508815072	7.31963121081959	0.000789614052674764
