Cell	Plate	Condition1	Condition2	Gene	logFC	logCPM	PValue
A	1	CTRL	LOP	HBB	-1.60650501047684	6.72356476779679	7.8710164879388e-26
A	1	CTRL	LOP	JUND	1.13757060155213	4.8240745448898	1.47306261502013e-10
A	1	CTRL	LOP	DDIT3	0.606473215443967	7.79390132692336	1.60748298725085e-08
A	1	CTRL	LOP	RPS9	0.533577990658615	9.57489433377205	4.05321552290435e-08
A	1	CTRL	LOP	NTM	0.623538752611428	6.1243072800422	3.84274107638317e-06
A	1	CTRL	LOP	TNFRSF1A	0.720173765389446	4.89945861250358	6.3498048206337e-05
A	1	CTRL	LOP	TMEM67	-2.44401692289667	2.84018664957172	7.50042665280137e-05
A	1	CTRL	LOP	LOC284950	1.4120510424078	2.46007529188917	0.000129519220132135
A	1	CTRL	LOP	UTP18	-1.57554718076822	3.18095750170449	0.000220991172726904
A	1	CTRL	LOP	RPL18	0.369135706698459	8.45078852629742	0.000472145133170242
A	1	CTRL	LOP	RAC1	-0.443846090677864	7.4083728777029	0.000473768424134779
A	1	CTRL	LOP	ANKRD1	0.437221274251151	6.68443930416178	0.000486321127731145
A	1	CTRL	LOP	CCL11	0.441860350872777	6.57780745282845	0.000609260663377033
A	1	CTRL	LOP	CHPT1	0.850300548434314	3.71496101471315	0.000611842368825901
A	1	CTRL	LOP	IFT57	-0.70057668940128	4.92849611852372	0.000721199128497797
A	1	CTRL	LOP	TNFAIP6	0.384218437698407	7.61634578176572	0.000751062124194188
A	1	CTRL	LOP	DDIT4	0.583334000483841	4.89040870082972	0.000753232514129467
A	1	CTRL	LOP	CCDC110	-2.25814017664132	2.41995248767426	0.000841433158153138
A	1	CTRL	LOP	RCOR1	1.01773396686032	3.06118461796837	0.000979861331187419
A	1	CTRL	LOP	ABHD13	-0.862895080363433	4.21233153672994	0.0010685444207037
A	1	CTRL	LOP	PPAP2B	0.474549523385224	5.77946848337043	0.001336803647917
A	1	CTRL	LOP	MTFMT	-0.866005368909171	4.10595964412985	0.00140840710285065
A	1	CTRL	LOP	RPS27A	0.293066923481416	12.2663954023913	0.00151699547839538
A	1	CTRL	LOP	PTPMT1	-0.729305737985262	4.61909871890024	0.00154336131099747
A	1	CTRL	LOP	AKR1C3	-0.422149247821124	6.96373424497361	0.00155781757692981
A	1	CTRL	LOP	SNF8	-0.479952902437533	6.299819710118	0.00168072738393337
A	1	CTRL	LOP	MAEA	-0.451206393164597	6.54615774334241	0.00178032444584336
A	1	CTRL	LOP	COPG2	-1.30989440652677	3.09343741937242	0.00181554171375148
A	1	CTRL	LOP	COL16A1	0.516329908636787	5.11726454818786	0.00196345395670334
A	1	CTRL	LOP	TTC7A	-2.953904697828	1.99064460098469	0.00196865089219222
A	1	CTRL	LOP	FAM135A	1.54647395191219	1.90101810518597	0.00214633347164963
A	1	CTRL	LOP	CTBP2	-0.597589782596167	5.22681454497128	0.00214859481765436
A	1	CTRL	LOP	CD276	-1.53348206703611	2.76026156502564	0.00217499424102964
A	1	CTRL	LOP	CSTA	0.433472917449803	5.93532412032285	0.00223884815290452
A	1	CTRL	LOP	COMMD4	0.621126228193426	4.27030655060321	0.00265176419301899
A	1	CTRL	LOP	RPS4X	0.277431133621877	11.9460238843684	0.00280942151480163
A	1	CTRL	LOP	IMMP2L	0.596427427332526	4.47242191457039	0.00297728029573225
A	1	CTRL	LOP	TAB1	1.35799133203278	2.16498778573948	0.00357640424390382
A	1	CTRL	LOP	TMEM18	0.38671042949625	6.38525212945903	0.00377152586867347
A	1	CTRL	LOP	PEG10	1.30522451284626	2.04738156976044	0.00378061131443253
