Cell	Plate	Condition1	Condition2	Gene	logFC	logCPM	PValue
A	1	CTRL	TRS+URS	HBB	-1.53757427954711	6.77086823670814	1.77751475665043e-21
A	1	CTRL	TRS+URS	CCL2	-1.1948692492205	7.56962234349239	5.56313288255909e-17
A	1	CTRL	TRS+URS	HMCN1	1.10593953405647	6.00033478814893	1.23956791566742e-15
A	1	CTRL	TRS+URS	MYH11	1.7000749854938	3.95797783573777	3.77212482080772e-15
A	1	CTRL	TRS+URS	POSTN	0.998760339921524	6.1472287824474	1.93285306349225e-13
A	1	CTRL	TRS+URS	COL4A1	0.812707959773446	8.61235982151124	5.4807524273926e-13
A	1	CTRL	TRS+URS	S100A4	-0.840383059329927	9.67129319558664	1.06610096178872e-11
A	1	CTRL	TRS+URS	MACF1	0.811456382651171	7.2965100987643	2.86648470750532e-11
A	1	CTRL	TRS+URS	FAM162A	-0.804984487789881	8.5259010144896	4.88612665306224e-10
A	1	CTRL	TRS+URS	LOC645638	-1.00962024037762	6.30867566816753	7.4588478351861e-10
A	1	CTRL	TRS+URS	CHAC1	1.54115860202011	3.37262787359455	1.13283412036886e-09
A	1	CTRL	TRS+URS	SLC7A11	0.987840392413255	5.1613020965928	1.2019519495454e-09
A	1	CTRL	TRS+URS	MMP16	1.38545731661428	3.80696389441175	2.14028933946398e-09
A	1	CTRL	TRS+URS	PGK1	-0.7291568009042	9.78655993348639	2.58462248554837e-09
A	1	CTRL	TRS+URS	TRIB3	1.04981442260674	4.74664350139843	4.44324672387159e-09
A	1	CTRL	TRS+URS	SAT1	-0.777942529534102	7.90928237061442	5.87976466758537e-09
A	1	CTRL	TRS+URS	IL32	-1.52405676570495	4.48456775875531	7.52124520673747e-09
A	1	CTRL	TRS+URS	SESN2	1.22271137797808	4.02125950229314	8.12750223053601e-09
A	1	CTRL	TRS+URS	NPC2	-0.697421183821259	9.55182227218705	1.37234642083221e-08
A	1	CTRL	TRS+URS	MIR143HG	0.909915118707972	5.17373818776737	1.52068957617324e-08
A	1	CTRL	TRS+URS	AKT3	0.890261378620029	5.31883740142765	1.72139097991041e-08
A	1	CTRL	TRS+URS	SEC61G	-0.676225644222612	10.1238693754376	2.46344510669153e-08
A	1	CTRL	TRS+URS	SRSF5	-0.787404687968773	7.14204442701782	2.82268551855297e-08
A	1	CTRL	TRS+URS	DLC1	0.820933182938776	5.74797704821753	3.93585937415513e-08
A	1	CTRL	TRS+URS	HSPB11	-0.932667228164265	5.98141065563243	4.52806598075246e-08
A	1	CTRL	TRS+URS	DMD	0.86643593115681	5.24051008135273	4.80148170838275e-08
A	1	CTRL	TRS+URS	LDHA	-0.64266276804557	11.1590168378505	7.66317861753977e-08
A	1	CTRL	TRS+URS	FBN1	0.597200828435322	9.58306331005491	7.67020432341854e-08
A	1	CTRL	TRS+URS	HNMT	-0.811552134183037	6.64956443489271	7.85775009605656e-08
A	1	CTRL	TRS+URS	RPL6	-0.637136485267128	12.1969462529056	8.33788703563105e-08
A	1	CTRL	TRS+URS	P4HA2	-0.65602725757164	9.19289081418019	1.10403074558181e-07
A	1	CTRL	TRS+URS	TMSB10	-0.628149860960278	12.6661287823463	1.19700974251269e-07
A	1	CTRL	TRS+URS	ITLN2	-1.07315790000634	5.27868263699099	1.22488631813228e-07
A	1	CTRL	TRS+URS	BACE1	0.892370321265628	4.93831425658983	1.26835798186622e-07
A	1	CTRL	TRS+URS	GALNT10	0.802079858369209	5.52279754601991	1.40462572928348e-07
A	1	CTRL	TRS+URS	CCL11	-0.81468275817765	6.40788590120207	1.57830324023305e-07
A	1	CTRL	TRS+URS	RGS5	0.707114388300543	6.26295010119696	1.65060131812099e-07
A	1	CTRL	TRS+URS	SH3BGRL3	-0.637385458382377	9.52730892050752	1.85325367579684e-07
A	1	CTRL	TRS+URS	FAM229B	-0.758044376010504	6.98272436570252	1.8670224522559e-07
A	1	CTRL	TRS+URS	TPI1	-0.623822875530746	10.4936009751047	2.11590649994228e-07
